Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2016,2016-09-18,21.34,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2016,2016-11-20,22.037,17.0,31.0,54.84,134.0,0.0,0.0,65.8,1.0,9.0,4.32,4.32
2016,2016-11-27,22.044,20.0,32.0,62.5,214.0,3.0,1.0,100.3,3.0,36.0,6.69,7.16
2016,2016-12-04,22.051,14.0,32.0,43.75,161.0,1.0,2.0,43.9,4.0,35.0,5.03,2.84
2016,2016-12-11,22.058000000000003,24.0,41.0,58.54,235.0,0.0,2.0,54.4,3.0,27.0,5.73,3.54
2016,2016-12-15,22.061999999999998,13.0,25.0,52.0,135.0,0.0,0.0,67.9,4.0,31.0,5.4,5.4
2016,2016-12-24,22.070999999999998,11.0,24.0,45.83,90.0,1.0,2.0,35.1,4.0,12.0,3.75,0.83
2016,2017-01-01,22.079,13.0,20.0,65.0,120.0,0.0,0.0,81.2,7.0,72.0,6.0,6.0
2017,2017-09-10,22.331,21.0,29.0,72.41,306.0,1.0,0.0,117.9,1.0,8.0,10.55,11.24
2017,2017-09-17,22.338,14.0,24.0,58.33,219.0,1.0,1.0,85.2,2.0,12.0,9.13,8.08
2017,2017-09-21,22.342,22.0,28.0,78.57,292.0,3.0,0.0,145.8,0.0,0.0,10.43,12.57
2017,2017-10-01,22.351999999999997,21.0,36.0,58.33,255.0,2.0,0.0,98.7,1.0,11.0,7.08,8.19
2017,2017-10-08,22.359,22.0,47.0,46.81,288.0,0.0,2.0,48.9,2.0,13.0,6.13,4.21
2017,2017-10-15,23.000999999999998,11.0,21.0,52.38,124.0,1.0,0.0,86.2,3.0,17.0,5.9,6.86
2017,2017-10-22,23.008000000000003,22.0,37.0,59.46,235.0,1.0,1.0,75.8,1.0,7.0,6.35,5.68
2017,2017-11-05,23.022,14.0,22.0,63.64,311.0,4.0,0.0,146.8,0.0,0.0,14.14,17.77
2017,2017-11-12,23.029,25.0,37.0,67.57,355.0,3.0,0.0,125.4,3.0,22.0,9.59,11.22
2017,2017-11-19,23.035999999999998,23.0,37.0,62.16,225.0,0.0,0.0,79.2,2.0,16.0,6.08,6.08
2017,2017-11-26,23.043000000000003,28.0,43.0,65.12,354.0,2.0,1.0,96.5,4.0,27.0,8.23,8.12
2017,2017-12-03,23.05,21.0,31.0,67.74,220.0,2.0,1.0,96.2,1.0,7.0,7.1,6.94
2017,2017-12-10,23.057,16.0,26.0,61.54,199.0,2.0,0.0,110.9,2.0,1.0,7.65,9.19
2017,2017-12-17,23.064,14.0,21.0,66.67,120.0,2.0,1.0,93.4,2.0,16.0,5.71,5.48
2017,2017-12-24,23.070999999999998,22.0,38.0,57.89,301.0,4.0,0.0,118.4,1.0,15.0,7.92,10.03
2018,2018-09-10,23.331,18.0,33.0,54.55,233.0,2.0,0.0,97.2,1.0,8.0,7.06,8.27
2018,2018-09-16,23.337,24.0,32.0,75.0,354.0,1.0,1.0,108.1,2.0,12.0,11.06,10.28
2018,2018-09-23,23.344,29.0,36.0,80.56,354.0,3.0,1.0,123.8,1.0,4.0,9.83,10.25
2018,2018-09-27,23.348000000000003,26.0,33.0,78.79,465.0,5.0,0.0,158.3,1.0,9.0,14.09,17.12
2018,2018-10-07,23.358,23.0,32.0,71.88,321.0,1.0,2.0,88.2,1.0,8.0,10.03,7.84
2018,2018-10-14,24.0,14.0,28.0,50.0,201.0,0.0,1.0,58.8,5.0,27.0,7.18,5.57
2018,2018-10-21,24.006999999999998,18.0,24.0,75.0,202.0,2.0,0.0,127.4,1.0,9.0,8.42,10.08
2018,2018-10-28,24.014,19.0,35.0,54.29,295.0,3.0,0.0,111.0,5.0,26.0,8.43,10.14
2018,2018-11-04,24.021,28.0,40.0,70.0,391.0,3.0,1.0,115.7,0.0,0.0,9.78,10.15
2018,2018-11-11,24.028000000000002,28.0,39.0,71.79,318.0,2.0,0.0,113.0,2.0,11.0,8.15,9.18
2018,2018-11-19,24.035999999999998,31.0,49.0,63.27,413.0,4.0,0.0,117.1,5.0,34.0,8.43,10.06
2018,2018-12-02,24.049,17.0,33.0,51.52,207.0,1.0,1.0,68.6,2.0,12.0,6.27,5.52
2018,2018-12-09,24.055999999999997,20.0,44.0,45.45,180.0,0.0,4.0,19.1,3.0,25.0,4.09,0.0
2018,2018-12-16,24.063000000000002,35.0,53.0,66.04,339.0,0.0,1.0,75.9,2.0,14.0,6.4,5.55
2018,2018-12-23,24.07,19.0,24.0,79.17,216.0,1.0,0.0,118.1,2.0,24.0,9.0,9.83
2018,2018-12-30,24.076999999999998,15.0,26.0,57.69,199.0,4.0,0.0,121.6,0.0,0.0,7.65,10.73
2019,2019-09-08,24.329,23.0,39.0,58.97,186.0,1.0,1.0,69.0,1.0,3.0,4.77,4.13
2019,2019-09-15,24.336,19.0,28.0,67.86,283.0,1.0,0.0,112.6,3.0,18.0,10.11,10.82
2019,2019-09-22,24.343000000000004,24.0,38.0,63.16,268.0,2.0,2.0,79.7,2.0,14.0,7.05,5.74
2019,2019-09-29,24.35,45.0,68.0,66.18,517.0,2.0,3.0,80.3,2.0,27.0,7.6,6.21
2019,2019-10-03,24.354,29.0,49.0,59.18,395.0,1.0,1.0,83.3,0.0,0.0,8.06,7.55
2019,2019-10-13,24.364,13.0,24.0,54.17,78.0,0.0,0.0,60.8,4.0,30.0,3.25,3.25
2019,2019-10-20,25.006,22.0,37.0,59.46,268.0,2.0,0.0,99.8,0.0,0.0,7.24,8.32
