Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-11-19,24.323,19.0,34.0,55.88,196.0,2.0,0.0,92.3,1.0,3.0,5.76,6.94
2006,2006-11-26,24.33,11.0,23.0,47.83,118.0,2.0,1.0,74.2,1.0,8.0,5.13,4.91
2006,2006-12-03,24.337,18.0,38.0,47.37,217.0,1.0,2.0,52.2,1.0,13.0,5.71,3.87
2006,2006-12-10,24.344,15.0,27.0,55.56,182.0,1.0,2.0,57.9,2.0,17.0,6.74,4.15
2006,2006-12-17,24.351,13.0,28.0,46.43,204.0,1.0,0.0,83.0,1.0,11.0,7.29,8.0
2006,2006-12-24,24.358,13.0,26.0,50.0,160.0,1.0,0.0,82.2,0.0,0.0,6.15,6.92
2006,2006-12-30,24.364,21.0,31.0,67.74,220.0,2.0,1.0,96.2,1.0,3.0,7.1,6.94
2007,2007-09-09,25.252,12.0,21.0,57.14,222.0,0.0,2.0,54.2,2.0,13.0,10.57,6.29
2007,2007-09-17,25.26,16.0,29.0,55.17,209.0,1.0,1.0,75.2,1.0,2.0,7.21,6.34
2007,2007-09-23,25.266,16.0,34.0,47.06,190.0,1.0,0.0,74.4,2.0,12.0,5.59,6.18
2007,2007-10-07,25.28,23.0,29.0,79.31,248.0,2.0,0.0,125.3,0.0,0.0,8.55,9.93
2007,2007-10-14,25.287,21.0,37.0,56.76,217.0,1.0,1.0,71.6,3.0,7.0,5.86,5.19
2007,2007-10-21,25.294,12.0,18.0,66.67,95.0,0.0,1.0,56.5,1.0,8.0,5.28,2.78
2007,2007-10-28,25.301,21.0,36.0,58.33,197.0,1.0,1.0,71.2,3.0,20.0,5.47,4.78
2007,2007-11-04,25.308000000000003,12.0,23.0,52.17,142.0,0.0,1.0,53.2,1.0,7.0,6.17,4.22
2007,2007-11-11,25.315,23.0,34.0,67.65,215.0,3.0,0.0,114.2,1.0,12.0,6.32,8.09
2007,2007-11-18,25.322,33.0,54.0,61.11,348.0,2.0,1.0,84.5,1.0,6.0,6.44,6.35
2007,2007-11-25,25.329,30.0,49.0,61.22,301.0,1.0,2.0,68.5,2.0,9.0,6.14,4.71
2007,2007-12-02,25.336,21.0,37.0,56.76,216.0,0.0,1.0,62.4,4.0,14.0,5.84,4.62
2007,2007-12-06,25.34,10.0,16.0,62.5,100.0,0.0,0.0,80.2,0.0,0.0,6.25,6.25
2008,2008-09-04,26.248,15.0,27.0,55.56,133.0,1.0,0.0,81.2,1.0,8.0,4.93,5.67
2008,2008-09-14,26.258000000000003,24.0,36.0,66.67,321.0,1.0,0.0,104.1,2.0,15.0,8.92,9.47
2008,2008-09-21,26.265,22.0,30.0,73.33,193.0,2.0,0.0,112.2,2.0,17.0,6.43,7.77
2008,2008-09-28,26.272,20.0,31.0,64.52,231.0,2.0,0.0,108.4,2.0,11.0,7.45,8.74
2008,2008-10-05,26.279,16.0,29.0,55.17,176.0,0.0,0.0,73.3,1.0,9.0,6.07,6.07
2008,2008-10-12,26.285999999999998,18.0,26.0,69.23,208.0,0.0,0.0,93.1,4.0,21.0,8.0,8.0
2008,2008-10-19,26.293000000000003,14.0,23.0,60.87,164.0,1.0,0.0,97.0,1.0,6.0,7.13,8.0
2008,2008-10-26,26.3,23.0,28.0,82.14,328.0,1.0,0.0,127.4,3.0,24.0,11.71,12.43
2008,2008-11-03,26.308000000000003,24.0,43.0,55.81,206.0,0.0,2.0,49.2,7.0,45.0,4.79,2.7
2008,2008-11-16,26.320999999999998,22.0,34.0,64.71,162.0,1.0,1.0,73.4,3.0,26.0,4.76,4.03
2008,2008-11-23,26.328000000000003,20.0,33.0,60.61,206.0,1.0,0.0,88.7,2.0,7.0,6.24,6.85
2008,2008-11-30,26.335,23.0,38.0,60.53,232.0,0.0,1.0,67.0,4.0,21.0,6.11,4.92
2008,2008-12-07,26.342,21.0,37.0,56.76,218.0,1.0,2.0,60.4,2.0,26.0,5.89,4.0
2008,2008-12-14,26.349,17.0,28.0,60.71,167.0,1.0,0.0,89.4,0.0,0.0,5.96,6.68
