Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-10-18,26.293000000000003,2.0,4.0,50.0,29.0,0.0,0.0,74.0,0.0,0.0,7.25,7.25
1998,1998-10-25,26.3,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-11-15,26.320999999999998,1.0,2.0,50.0,12.0,0.0,1.0,29.2,0.0,0.0,6.0,-16.5
1998,1998-12-06,26.342,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
1998,1998-12-13,26.349,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-09-12,27.256999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-10-17,27.291999999999998,12.0,14.0,85.71,113.0,1.0,0.0,124.1,0.0,0.0,8.07,9.5
1999,1999-10-31,27.305999999999997,6.0,9.0,66.67,69.0,0.0,0.0,89.6,1.0,10.0,7.67,7.67
1999,1999-11-07,27.313000000000002,5.0,7.0,71.43,35.0,0.0,0.0,82.4,1.0,7.0,5.0,5.0
1999,1999-11-21,27.326999999999998,2.0,2.0,100.0,21.0,0.0,0.0,110.4,0.0,0.0,10.5,10.5
1999,1999-12-26,27.362,8.0,22.0,36.36,101.0,0.0,2.0,13.6,3.0,18.0,4.59,0.5
1999,2000-01-02,28.004,28.0,39.0,71.79,317.0,1.0,0.0,104.3,2.0,12.0,8.13,8.64
2000,2000-09-03,28.249000000000002,15.0,24.0,62.5,134.0,1.0,0.0,91.3,2.0,7.0,5.58,6.42
2000,2000-09-10,28.256,12.0,31.0,38.71,175.0,1.0,1.0,55.2,3.0,15.0,5.65,4.84
2000,2000-09-17,28.263,11.0,16.0,68.75,160.0,1.0,1.0,95.8,1.0,8.0,10.0,8.44
2000,2000-09-24,28.27,12.0,24.0,50.0,153.0,1.0,2.0,49.5,1.0,10.0,6.38,3.46
2000,2000-10-01,28.276999999999997,14.0,21.0,66.67,155.0,2.0,1.0,100.3,2.0,12.0,7.38,7.14
2000,2000-10-08,28.284000000000002,14.0,24.0,58.33,142.0,1.0,1.0,71.9,1.0,8.0,5.92,4.88
2000,2000-10-23,28.299,16.0,35.0,45.71,250.0,2.0,3.0,53.3,1.0,13.0,7.14,4.43
2000,2000-10-29,28.305,16.0,25.0,64.0,158.0,1.0,0.0,95.1,1.0,2.0,6.32,7.12
2000,2000-11-05,28.311999999999998,13.0,18.0,72.22,112.0,0.0,0.0,88.2,1.0,8.0,6.22,6.22
2000,2000-11-12,28.319000000000003,13.0,20.0,65.0,160.0,0.0,0.0,89.6,0.0,0.0,8.0,8.0
2000,2000-11-19,28.326,0.0,0.0,,0.0,0.0,,,1.0,1.0,,
2000,2000-12-03,28.34,13.0,21.0,61.9,214.0,3.0,0.0,135.7,2.0,14.0,10.19,13.05
2000,2000-12-10,28.346999999999998,13.0,28.0,46.43,175.0,0.0,4.0,27.2,1.0,5.0,6.25,-0.18
2000,2000-12-17,28.354,12.0,25.0,48.0,150.0,0.0,1.0,50.4,4.0,18.0,6.0,4.2
2000,2000-12-24,28.361,30.0,45.0,66.67,264.0,1.0,0.0,89.5,2.0,8.0,5.87,6.31
2001,2001-09-09,29.254,12.0,20.0,60.0,225.0,2.0,0.0,132.3,0.0,0.0,11.25,13.25
2001,2001-09-23,29.268,16.0,34.0,47.06,217.0,0.0,2.0,43.4,1.0,2.0,6.38,3.74
2001,2001-09-30,29.275,19.0,27.0,70.37,204.0,1.0,2.0,73.7,2.0,15.0,7.56,4.96
2001,2001-10-07,29.281999999999996,11.0,21.0,52.38,87.0,1.0,1.0,59.0,0.0,0.0,4.14,2.95
2001,2001-10-14,29.289,23.0,34.0,67.65,213.0,1.0,2.0,69.9,2.0,8.0,6.26,4.21
2001,2001-10-28,29.303,15.0,21.0,71.43,213.0,1.0,2.0,80.2,0.0,0.0,10.14,6.81
2001,2001-11-04,29.31,20.0,33.0,60.61,287.0,1.0,1.0,86.3,1.0,9.0,8.7,7.94
2001,2001-11-11,29.316999999999997,17.0,29.0,58.62,259.0,2.0,2.0,82.4,1.0,18.0,8.93,7.21
2001,2001-11-18,29.324,24.0,36.0,66.67,188.0,0.0,3.0,44.7,3.0,12.0,5.22,1.47
2001,2001-11-25,29.331,18.0,31.0,58.06,260.0,3.0,0.0,117.7,2.0,16.0,8.39,10.32
2001,2001-12-02,29.338,18.0,28.0,64.29,176.0,1.0,0.0,93.7,0.0,0.0,6.29,7.0
2001,2001-12-10,29.346,18.0,26.0,69.23,191.0,3.0,0.0,128.8,1.0,8.0,7.35,9.65
2001,2001-12-16,29.351999999999997,16.0,28.0,57.14,149.0,0.0,3.0,32.3,6.0,42.0,5.32,0.5
2001,2001-12-22,29.358,21.0,37.0,56.76,320.0,1.0,0.0,94.4,2.0,10.0,8.65,9.19
2001,2001-12-30,30.000999999999998,16.0,29.0,55.17,191.0,2.0,1.0,84.1,3.0,15.0,6.59,6.41
2001,2002-01-06,30.008000000000003,9.0,16.0,56.25,110.0,1.0,0.0,98.4,3.0,23.0,6.88,8.13
2002,2002-09-08,30.253,18.0,27.0,66.67,207.0,3.0,0.0,126.6,0.0,0.0,7.67,9.89
2002,2002-09-15,30.26,13.0,18.0,72.22,187.0,2.0,1.0,119.4,1.0,8.0,10.39,10.11
2002,2002-09-22,30.267,16.0,30.0,53.33,185.0,1.0,0.0,83.3,1.0,2.0,6.17,6.83
2002,2002-09-29,30.274,29.0,45.0,64.44,310.0,1.0,4.0,54.9,2.0,16.0,6.89,3.33
2002,2002-10-06,30.281,17.0,27.0,62.96,190.0,2.0,0.0,108.6,1.0,8.0,7.04,8.52
2002,2002-10-13,30.288,19.0,29.0,65.52,210.0,0.0,1.0,72.5,1.0,9.0,7.24,5.69
2002,2002-12-01,30.337,5.0,9.0,55.56,15.0,0.0,1.0,21.3,0.0,0.0,1.67,-3.33
2002,2002-12-09,30.345,15.0,29.0,51.72,196.0,1.0,1.0,70.5,1.0,8.0,6.76,5.9
2002,2002-12-15,30.351,21.0,32.0,65.63,237.0,1.0,0.0,98.0,3.0,24.0,7.41,8.03
2002,2002-12-21,30.357,15.0,21.0,71.43,177.0,2.0,1.0,108.6,1.0,7.0,8.43,8.19
2002,2002-12-29,31.0,11.0,25.0,44.0,110.0,1.0,0.0,70.4,2.0,7.0,4.4,5.2
2003,2003-09-07,31.252,17.0,32.0,53.13,227.0,3.0,2.0,81.1,2.0,12.0,7.09,6.16
2003,2003-09-14,31.259,14.0,19.0,73.68,190.0,1.0,0.0,122.7,1.0,1.0,10.0,11.05
2003,2003-09-21,31.266,16.0,28.0,57.14,154.0,1.0,2.0,54.8,1.0,7.0,5.5,3.0
2003,2003-10-05,31.28,14.0,26.0,53.85,167.0,0.0,0.0,73.7,2.0,16.0,6.42,6.42
2003,2003-10-12,31.287,14.0,27.0,51.85,147.0,0.0,1.0,52.5,1.0,4.0,5.44,3.78
2003,2003-10-19,31.294,20.0,35.0,57.14,230.0,1.0,2.0,62.8,1.0,1.0,6.57,4.57
2003,2003-11-23,31.329,5.0,10.0,50.0,59.0,0.0,0.0,68.3,0.0,0.0,5.9,5.9
2003,2003-11-27,31.333000000000002,16.0,20.0,80.0,239.0,3.0,0.0,156.0,0.0,0.0,11.95,14.95
2003,2003-12-07,31.343000000000004,13.0,31.0,41.94,111.0,0.0,2.0,25.1,5.0,45.0,3.58,0.68
2003,2003-12-15,31.351,21.0,40.0,52.5,240.0,0.0,2.0,50.0,2.0,19.0,6.0,3.75
2003,2003-12-21,31.357,8.0,17.0,47.06,46.0,1.0,1.0,48.9,2.0,9.0,2.71,1.24
2003,2003-12-28,31.364,21.0,29.0,72.41,328.0,1.0,1.0,106.7,2.0,12.0,11.31,10.45
2004,2004-09-11,32.257,5.0,13.0,38.46,42.0,0.0,2.0,8.0,1.0,1.0,3.23,-3.69
2004,2004-10-03,32.279,18.0,33.0,54.55,206.0,0.0,2.0,48.3,4.0,10.0,6.24,3.52
2004,2004-10-10,32.286,20.0,41.0,48.78,251.0,1.0,1.0,66.2,3.0,29.0,6.12,5.51
2004,2004-10-17,32.293,12.0,23.0,52.17,136.0,1.0,1.0,66.6,5.0,35.0,5.91,4.83
2004,2004-10-24,32.3,13.0,17.0,76.47,203.0,2.0,0.0,154.8,5.0,36.0,11.94,14.29
2004,2004-11-01,32.308,20.0,41.0,48.78,218.0,2.0,2.0,60.8,4.0,37.0,5.32,4.1
2004,2004-11-07,32.314,12.0,21.0,57.14,129.0,1.0,0.0,91.2,2.0,17.0,6.14,7.1
2004,2004-11-21,32.328,1.0,1.0,100.0,1.0,0.0,0.0,79.2,1.0,0.0,1.0,1.0
2005,2005-09-11,33.256,6.0,10.0,60.0,88.0,1.0,0.0,122.1,0.0,0.0,8.8,10.8
2005,2005-09-25,33.27,2.0,3.0,66.67,19.0,0.0,0.0,84.0,0.0,0.0,6.33,6.33
