Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-09-09,24.073,4.0,8.0,50.0,51.0,0.0,1.0,30.7,1.0,2.0,6.38,0.75
1985,1985-09-29,24.093000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-03,24.128,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-18,24.143,13.0,20.0,65.0,221.0,1.0,0.0,119.0,1.0,4.0,11.05,12.05
1985,1985-11-24,24.149,15.0,28.0,53.57,176.0,1.0,0.0,84.8,0.0,0.0,6.29,7.0
1985,1985-12-01,24.156,30.0,58.0,51.72,348.0,0.0,2.0,55.8,4.0,37.0,6.0,4.45
1985,1985-12-08,24.163,16.0,29.0,55.17,175.0,1.0,1.0,70.3,4.0,31.0,6.03,5.17
1985,1985-12-15,24.17,18.0,35.0,51.43,273.0,1.0,1.0,75.1,2.0,18.0,7.8,7.09
1985,1985-12-21,24.176,16.0,31.0,51.61,214.0,1.0,0.0,84.6,3.0,22.0,6.9,7.55
1986,1986-09-07,25.070999999999998,19.0,38.0,50.0,289.0,2.0,1.0,82.0,2.0,15.0,7.61,7.47
1986,1986-09-14,25.078000000000003,12.0,19.0,63.16,213.0,0.0,1.0,79.5,4.0,38.0,11.21,8.84
1986,1986-09-21,25.085,16.0,36.0,44.44,341.0,1.0,0.0,87.8,1.0,8.0,9.47,10.03
1986,1986-09-28,25.092,14.0,26.0,53.85,195.0,0.0,0.0,78.2,0.0,0.0,7.5,7.5
1986,1986-10-05,25.099,14.0,27.0,51.85,170.0,1.0,0.0,83.9,1.0,1.0,6.3,7.04
1986,1986-10-12,25.105999999999998,12.0,29.0,41.38,132.0,0.0,1.0,41.2,4.0,19.0,4.55,3.0
1986,1986-10-19,25.113000000000003,13.0,23.0,56.52,232.0,3.0,1.0,112.7,0.0,0.0,10.09,10.74
1986,1986-10-27,25.121,22.0,40.0,55.0,420.0,1.0,2.0,79.2,4.0,42.0,10.5,8.75
1986,1986-11-02,25.127,24.0,47.0,51.06,378.0,2.0,1.0,83.5,1.0,0.0,8.04,7.94
1986,1986-11-09,25.134,13.0,23.0,56.52,167.0,2.0,0.0,108.4,0.0,0.0,7.26,9.0
1986,1986-11-17,25.142,17.0,40.0,42.5,170.0,1.0,2.0,42.7,3.0,40.0,4.25,2.5
1986,1986-11-23,25.148000000000003,16.0,31.0,51.61,325.0,2.0,1.0,96.8,1.0,9.0,10.48,10.32
1986,1986-11-30,25.155,23.0,44.0,52.27,256.0,2.0,1.0,75.6,0.0,0.0,5.82,5.7
1986,1986-12-07,25.162,28.0,51.0,54.9,309.0,1.0,6.0,40.0,4.0,33.0,6.06,1.16
1986,1986-12-13,25.168000000000003,15.0,33.0,45.45,285.0,2.0,2.0,70.9,0.0,0.0,8.64,7.12
1986,1986-12-21,25.176,18.0,34.0,52.94,227.0,2.0,3.0,56.9,3.0,35.0,6.68,3.88
1987,1987-09-13,26.076999999999998,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1987,1987-10-25,26.119,15.0,38.0,39.47,275.0,2.0,1.0,71.7,0.0,0.0,7.24,7.11
1987,1987-11-01,26.125999999999998,11.0,18.0,61.11,132.0,2.0,0.0,120.6,2.0,25.0,7.33,9.56
1987,1987-11-08,26.133000000000003,16.0,46.0,34.78,265.0,2.0,2.0,51.4,3.0,34.0,5.76,4.67
1987,1987-11-15,26.14,5.0,10.0,50.0,33.0,0.0,0.0,57.5,1.0,14.0,3.3,3.3
1987,1987-11-23,26.148000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-29,26.154,28.0,46.0,60.87,331.0,3.0,2.0,86.4,6.0,56.0,7.2,6.54
1987,1987-12-06,26.160999999999998,13.0,25.0,52.0,235.0,2.0,1.0,94.6,1.0,4.0,9.4,9.2
1987,1987-12-13,26.168000000000003,13.0,26.0,50.0,250.0,1.0,1.0,80.6,2.0,1.0,9.62,8.65
1987,1987-12-20,26.175,19.0,38.0,50.0,272.0,0.0,1.0,62.6,1.0,4.0,7.16,5.97
1987,1987-12-26,26.180999999999997,9.0,17.0,52.94,85.0,0.0,2.0,27.5,1.0,11.0,5.0,-0.29
1988,1988-09-26,27.09,13.0,35.0,37.14,242.0,2.0,1.0,69.0,1.0,7.0,6.91,6.77
1988,1988-10-02,27.096,17.0,44.0,38.64,324.0,2.0,4.0,42.2,2.0,15.0,7.36,4.18
1988,1988-10-09,27.103,21.0,37.0,56.76,293.0,2.0,4.0,60.8,3.0,27.0,7.92,4.14
