Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1992,1992-11-29,21.361,3.0,3.0,100.0,37.0,0.0,0.0,118.1,1.0,7.0,12.33,12.33
1992,1992-12-06,22.002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-26,22.022,1.0,6.0,16.67,3.0,0.0,1.0,0.0,1.0,0.0,0.5,-7.0
1994,1994-10-23,23.323,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1994,1994-10-30,23.33,14.0,32.0,43.75,247.0,2.0,0.0,91.5,1.0,4.0,7.72,8.97
1994,1994-11-06,23.337,31.0,43.0,72.09,387.0,0.0,1.0,90.0,2.0,10.0,9.0,7.95
1994,1994-11-13,23.344,23.0,33.0,69.7,354.0,4.0,0.0,144.4,1.0,6.0,10.73,13.15
1994,1994-11-20,23.351,21.0,37.0,56.76,207.0,1.0,1.0,70.4,1.0,10.0,5.59,4.92
1994,1994-11-27,23.358,15.0,33.0,45.45,215.0,1.0,1.0,64.6,3.0,20.0,6.52,5.76
1994,1994-12-04,24.0,8.0,19.0,42.11,156.0,1.0,2.0,49.3,5.0,37.0,8.21,4.53
1994,1994-12-11,24.006999999999998,17.0,37.0,45.95,200.0,2.0,0.0,80.9,1.0,3.0,5.41,6.49
1994,1994-12-18,24.014,10.0,28.0,35.71,149.0,1.0,1.0,51.0,4.0,24.0,5.32,4.43
1994,1994-12-24,24.02,17.0,42.0,40.48,239.0,2.0,3.0,45.6,1.0,6.0,5.69,3.43
1995,1995-09-03,24.273000000000003,19.0,33.0,57.58,249.0,1.0,0.0,91.6,0.0,0.0,7.55,8.15
1995,1995-09-10,24.28,20.0,30.0,66.67,247.0,2.0,0.0,114.2,3.0,19.0,8.23,9.57
1995,1995-09-17,24.287,22.0,42.0,52.38,286.0,2.0,1.0,80.1,1.0,0.0,6.81,6.69
1995,1995-09-24,24.294,24.0,46.0,52.17,356.0,3.0,0.0,99.5,1.0,9.0,7.74,9.04
1995,1995-10-01,24.301,18.0,34.0,52.94,201.0,3.0,0.0,100.2,1.0,3.0,5.91,7.68
1995,1995-10-08,24.308000000000003,16.0,31.0,51.61,210.0,1.0,3.0,44.5,1.0,6.0,6.77,3.06
1995,1995-10-19,24.319000000000003,18.0,22.0,81.82,275.0,3.0,0.0,158.3,0.0,0.0,12.5,15.23
1995,1995-10-29,24.329,20.0,35.0,57.14,249.0,2.0,2.0,74.6,4.0,20.0,7.11,5.69
1995,1995-11-05,24.336,16.0,31.0,51.61,159.0,1.0,2.0,50.3,4.0,38.0,5.13,2.87
1995,1995-11-12,24.343000000000004,21.0,34.0,61.76,220.0,2.0,1.0,87.9,0.0,0.0,6.47,6.32
1995,1995-11-19,24.35,19.0,28.0,67.86,217.0,3.0,0.0,126.6,3.0,24.0,7.75,9.89
1995,1995-11-26,24.357,19.0,39.0,48.72,210.0,1.0,3.0,41.6,0.0,0.0,5.38,2.44
1995,1995-12-03,24.364,19.0,35.0,54.29,202.0,1.0,2.0,57.1,3.0,16.0,5.77,3.77
1995,1995-12-10,25.006,30.0,41.0,73.17,253.0,1.0,0.0,96.9,1.0,7.0,6.17,6.66
1995,1995-12-17,25.013,22.0,46.0,47.83,257.0,0.0,1.0,56.2,2.0,10.0,5.59,4.61
1995,1995-12-24,25.02,23.0,40.0,57.5,231.0,2.0,2.0,69.9,0.0,0.0,5.78,4.53
1996,1996-09-01,25.272,23.0,40.0,57.5,226.0,1.0,2.0,61.0,3.0,21.0,5.65,3.9
1996,1996-09-08,25.279,14.0,33.0,42.42,163.0,1.0,1.0,55.5,0.0,0.0,4.94,4.18
1996,1996-09-15,25.285999999999998,22.0,39.0,56.41,225.0,1.0,0.0,81.7,2.0,7.0,5.77,6.28
1996,1996-09-29,25.3,15.0,29.0,51.72,166.0,0.0,1.0,54.7,4.0,19.0,5.72,4.17
1996,1996-10-06,25.307,18.0,37.0,48.65,170.0,1.0,0.0,70.8,4.0,18.0,4.59,5.14
1996,1996-10-13,25.314,23.0,30.0,76.67,229.0,1.0,1.0,95.0,10.0,71.0,7.63,6.8
