Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-12,29.2,5.0,9.0,55.56,45.0,0.0,1.0,29.6,2.0,14.0,5.0,0.0
1999,1999-09-27,29.215,5.0,6.0,83.33,30.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
1999,1999-10-03,29.221,21.0,33.0,63.64,243.0,2.0,0.0,106.0,1.0,0.0,7.36,8.58
1999,1999-10-10,29.228,22.0,36.0,61.11,233.0,0.0,3.0,45.3,0.0,0.0,6.47,2.72
1999,1999-10-17,29.235,22.0,45.0,48.89,236.0,1.0,0.0,72.1,2.0,19.0,5.24,5.69
1999,1999-10-24,29.241999999999997,14.0,31.0,45.16,188.0,0.0,2.0,38.1,2.0,17.0,6.06,3.16
1999,1999-11-07,29.256,7.0,18.0,38.89,39.0,0.0,0.0,47.0,0.0,0.0,2.17,2.17
1999,1999-11-21,29.27,8.0,15.0,53.33,89.0,0.0,2.0,31.7,3.0,22.0,5.93,-0.07
1999,1999-12-05,29.284000000000002,33.0,49.0,67.35,437.0,3.0,1.0,107.3,0.0,0.0,8.92,9.22
1999,1999-12-12,29.291,16.0,24.0,66.67,160.0,0.0,0.0,85.4,2.0,16.0,6.67,6.67
1999,1999-12-18,29.296999999999997,29.0,46.0,63.04,303.0,2.0,1.0,87.5,2.0,6.0,6.59,6.48
1999,1999-12-26,29.305,17.0,29.0,58.62,168.0,1.0,1.0,72.2,0.0,0.0,5.79,4.93
1999,2000-01-03,29.313000000000002,26.0,34.0,76.47,373.0,2.0,0.0,131.1,1.0,10.0,10.97,12.15
2000,2000-09-03,30.191999999999997,23.0,36.0,63.89,253.0,3.0,1.0,100.8,1.0,6.0,7.03,7.44
2000,2000-09-10,30.199,12.0,20.0,60.0,181.0,0.0,1.0,69.0,0.0,0.0,9.05,6.8
2000,2000-09-17,30.206,21.0,34.0,61.76,290.0,3.0,2.0,94.0,0.0,0.0,8.53,7.65
2000,2000-09-24,30.213,16.0,26.0,61.54,178.0,4.0,0.0,121.5,0.0,0.0,6.85,9.92
2000,2000-10-01,30.22,22.0,33.0,66.67,220.0,1.0,0.0,95.5,1.0,5.0,6.67,7.27
2000,2000-10-08,30.226999999999997,28.0,41.0,68.29,336.0,4.0,0.0,125.7,0.0,0.0,8.2,10.15
2000,2000-10-15,30.234,27.0,42.0,64.29,336.0,4.0,0.0,120.7,2.0,17.0,8.0,9.9
2000,2000-10-22,30.241,25.0,39.0,64.1,307.0,2.0,1.0,94.7,3.0,24.0,7.87,7.74
2000,2000-10-29,30.248,26.0,44.0,59.09,243.0,2.0,0.0,89.5,2.0,10.0,5.52,6.43
2000,2000-11-05,30.255,22.0,36.0,61.11,262.0,1.0,2.0,69.4,0.0,0.0,7.28,5.33
2000,2000-11-12,30.261999999999997,20.0,25.0,80.0,244.0,0.0,0.0,107.3,1.0,4.0,9.76,9.76
2000,2000-11-19,30.269000000000002,16.0,31.0,51.61,210.0,0.0,0.0,73.3,0.0,0.0,6.77,6.77
2000,2000-12-03,30.283,18.0,32.0,56.25,323.0,2.0,0.0,111.8,2.0,7.0,10.09,11.34
2000,2000-12-10,30.29,25.0,38.0,65.79,305.0,2.0,2.0,86.0,2.0,17.0,8.03,6.71
2000,2000-12-17,30.296999999999997,36.0,44.0,81.82,402.0,2.0,0.0,119.9,4.0,23.0,9.14,10.05
2000,2000-12-23,30.303,18.0,40.0,45.0,188.0,1.0,1.0,57.1,6.0,42.0,4.7,4.08
2001,2001-09-09,31.197,26.0,40.0,65.0,335.0,1.0,1.0,89.1,2.0,11.0,8.38,7.75
2001,2001-09-23,31.211,19.0,34.0,55.88,121.0,1.0,1.0,61.0,1.0,5.0,3.56,2.82
2001,2001-10-01,31.219,16.0,20.0,80.0,141.0,1.0,0.0,112.7,2.0,15.0,7.05,8.05
2001,2001-10-07,31.225,17.0,31.0,54.84,212.0,2.0,1.0,84.3,1.0,9.0,6.84,6.68
2001,2001-10-14,31.232,27.0,41.0,65.85,332.0,3.0,0.0,115.1,1.0,2.0,8.1,9.56
2001,2001-10-28,31.246,21.0,29.0,72.41,269.0,2.0,2.0,95.3,3.0,2.0,9.28,7.55
