Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1990,1990-09-09,22.275,13.0,24.0,54.17,160.0,1.0,0.0,88.9,3.0,25.0,6.67,7.5
1990,1990-09-16,22.281999999999996,12.0,24.0,50.0,160.0,1.0,4.0,45.8,2.0,17.0,6.67,0.0
1990,1990-09-23,22.289,5.0,14.0,35.71,42.0,0.0,1.0,14.6,2.0,18.0,3.0,-0.21
1990,1990-10-28,22.324,8.0,15.0,53.33,77.0,0.0,1.0,40.1,2.0,16.0,5.13,2.13
1990,1990-11-05,22.331999999999997,23.0,37.0,62.16,160.0,0.0,0.0,71.9,3.0,34.0,4.32,4.32
1990,1990-11-11,22.338,6.0,24.0,25.0,106.0,1.0,0.0,59.4,1.0,5.0,4.42,5.25
1990,1990-11-18,22.345,14.0,22.0,63.64,249.0,2.0,1.0,113.6,4.0,24.0,11.32,11.09
1990,1990-11-25,22.351999999999997,21.0,31.0,67.74,251.0,3.0,0.0,124.5,1.0,14.0,8.1,10.03
1990,1990-12-02,22.359,13.0,28.0,46.43,168.0,2.0,1.0,74.7,4.0,26.0,6.0,5.82
1990,1990-12-09,23.000999999999998,13.0,25.0,52.0,93.0,0.0,3.0,21.3,5.0,41.0,3.72,-1.68
1990,1990-12-16,23.008000000000003,17.0,27.0,62.96,212.0,1.0,0.0,99.6,3.0,35.0,7.85,8.59
1990,1990-12-22,23.014,18.0,33.0,54.55,252.0,3.0,0.0,109.7,4.0,36.0,7.64,9.45
1990,1990-12-30,23.022,18.0,30.0,60.0,222.0,2.0,2.0,77.4,3.0,29.0,7.4,5.73
1991,1991-09-01,23.267,27.0,42.0,64.29,301.0,1.0,2.0,73.6,4.0,30.0,7.17,5.5
1991,1991-09-08,23.274,17.0,31.0,54.84,98.0,0.0,0.0,61.0,2.0,17.0,3.16,3.16
1991,1991-09-15,23.281,21.0,32.0,65.63,220.0,0.0,0.0,85.4,3.0,27.0,6.88,6.88
1991,1991-09-22,23.288,29.0,40.0,72.5,348.0,2.0,1.0,105.0,4.0,24.0,8.7,8.58
1991,1991-09-29,23.295,17.0,31.0,54.84,144.0,0.0,2.0,40.3,4.0,51.0,4.65,1.74
1991,1991-10-06,23.302,22.0,28.0,78.57,191.0,0.0,0.0,95.1,5.0,44.0,6.82,6.82
1991,1991-10-13,23.309,22.0,33.0,66.67,168.0,0.0,1.0,66.2,1.0,5.0,5.09,3.73
1991,1991-10-20,23.316,14.0,22.0,63.64,107.0,0.0,0.0,75.4,4.0,28.0,4.86,4.86
1991,1991-11-03,23.33,18.0,34.0,52.94,189.0,0.0,1.0,57.1,1.0,6.0,5.56,4.24
1991,1991-11-10,23.337,16.0,26.0,61.54,239.0,3.0,2.0,98.1,0.0,0.0,9.19,8.04
1991,1991-11-17,23.344,16.0,33.0,48.48,176.0,2.0,0.0,84.9,5.0,36.0,5.33,6.55
1991,1991-11-24,23.351,21.0,40.0,52.5,184.0,1.0,1.0,62.9,7.0,67.0,4.6,3.98
1991,1991-12-01,23.358,10.0,21.0,47.62,100.0,0.0,2.0,22.0,6.0,72.0,4.76,0.48
1991,1991-12-08,24.0,15.0,24.0,62.5,159.0,1.0,0.0,95.7,3.0,12.0,6.63,7.46
