Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-09-08,25.139,,,,,,,,,,,
1986,1986-09-14,25.145,,,,,,,,,,,
1986,1986-09-21,25.151999999999997,0.0,0.0,,0.0,0.0,0.0,,,,,
1986,1986-09-28,25.159000000000002,,,,,,,,,,,
1986,1986-10-05,25.166,,,,,,,,,,,
1986,1986-10-12,25.173000000000002,,,,,,,,,,,
1986,1986-10-19,25.18,,,,,,,,,,,
1986,1986-10-27,25.188000000000002,,,,,,,,,,,
1986,1986-11-02,25.194000000000003,,,,,,,,,,,
1986,1986-11-09,25.201,,,,,,,,,,,
1986,1986-11-16,25.208000000000002,,,,,,,,,,,
1986,1986-11-23,25.215,,,,,,,,,,,
1986,1986-12-01,25.223000000000003,,,,,,,,,,,
1988,1988-09-05,27.136,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-11,27.142,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-18,27.149,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-25,27.156,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-02,27.163,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-10,27.171,4.0,6.0,66.67,33.0,0.0,0.0,80.6,0.0,0.0,5.5,5.5
1988,1988-10-16,27.177,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-23,27.184,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-30,27.191,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-11-06,27.198,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-11-13,27.205,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-11-20,27.212,7.0,13.0,53.85,83.0,0.0,2.0,34.0,3.0,9.0,6.38,-0.54
1988,1988-11-27,27.219,5.0,10.0,50.0,128.0,1.0,0.0,129.2,2.0,22.0,12.8,14.8
1988,1988-12-04,27.226,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-12-11,27.233,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-12-18,27.24,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-09-11,28.142,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-09-17,28.148000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-09-24,28.155,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
1989,1989-10-01,28.162,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-08,28.169,1.0,1.0,100.0,22.0,1.0,0.0,158.3,0.0,0.0,22.0,42.0
1989,1989-10-15,28.176,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-22,28.183000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-30,28.191,6.0,13.0,46.15,87.0,1.0,0.0,94.1,4.0,27.0,6.69,8.23
1989,1989-11-05,28.197,12.0,24.0,50.0,177.0,1.0,2.0,53.6,1.0,3.0,7.38,4.46
1989,1989-11-12,28.204,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-19,28.211,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-27,28.219,0.0,0.0,,0.0,0.0,0.0,,1.0,7.0,,
1989,1989-12-03,28.225,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-12-10,28.232,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-12-16,28.238000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-12-24,28.246,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-09,29.14,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-16,29.147,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-23,29.154,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-30,29.160999999999998,2.0,2.0,100.0,24.0,0.0,0.0,116.7,0.0,0.0,12.0,12.0
1990,1990-10-14,29.175,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-10-21,29.182,11.0,21.0,52.38,180.0,1.0,1.0,77.5,4.0,21.0,8.57,7.38
1990,1990-10-28,29.189,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-11-05,29.197,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-11-11,29.203000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-11-18,29.21,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-11-25,29.217,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-03,29.225,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-09,29.230999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-15,29.237,9.0,16.0,56.25,97.0,0.0,0.0,74.2,0.0,0.0,6.06,6.06
1990,1990-12-23,29.245,13.0,23.0,56.52,190.0,1.0,0.0,98.1,2.0,5.0,8.26,9.13
1990,1990-12-30,29.252,12.0,23.0,52.17,123.0,1.0,0.0,82.3,3.0,12.0,5.35,6.22
1991,1991-09-02,30.133000000000003,17.0,31.0,54.84,228.0,0.0,0.0,78.4,3.0,27.0,7.35,7.35
1991,1991-09-08,30.139,17.0,32.0,53.13,187.0,1.0,1.0,68.1,2.0,10.0,5.84,5.06
1991,1991-09-15,30.146,25.0,35.0,71.43,209.0,0.0,1.0,74.6,1.0,4.0,5.97,4.69
1991,1991-09-22,30.153000000000002,9.0,15.0,60.0,65.0,0.0,0.0,70.1,4.0,13.0,4.33,4.33
1991,1991-09-29,30.16,28.0,34.0,82.35,368.0,1.0,1.0,109.3,0.0,0.0,10.82,10.09
1991,1991-10-06,30.166999999999998,14.0,18.0,77.78,200.0,1.0,0.0,131.5,0.0,0.0,11.11,12.22
1991,1991-10-14,30.175,14.0,25.0,56.0,116.0,1.0,0.0,81.4,2.0,2.0,4.64,5.44
1991,1991-10-27,30.188000000000002,14.0,21.0,66.67,137.0,0.0,1.0,65.0,0.0,0.0,6.52,4.38
1991,1991-11-04,30.195999999999998,9.0,17.0,52.94,142.0,0.0,0.0,81.0,4.0,17.0,8.35,8.35
1991,1991-11-10,30.201999999999998,12.0,21.0,57.14,124.0,0.0,0.0,74.3,2.0,14.0,5.9,5.9
1991,1991-11-17,30.209,14.0,22.0,63.64,182.0,1.0,0.0,104.7,1.0,5.0,8.27,9.18
1991,1991-11-24,30.215999999999998,6.0,14.0,42.86,74.0,0.0,0.0,59.8,1.0,8.0,5.29,5.29
1992,1992-09-06,31.136999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-13,31.144000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-09-21,31.151999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
