Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1981,1981-12-20,22.162,2.0,6.0,33.33,25.0,0.0,1.0,7.6,2.0,13.0,4.17,-3.33
1983,1983-11-14,24.125999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-11-20,24.131999999999998,4.0,12.0,33.33,26.0,1.0,0.0,70.1,0.0,0.0,2.17,3.83
1983,1983-11-27,24.139,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1983,1983-12-11,24.153000000000002,8.0,13.0,61.54,109.0,0.0,0.0,88.3,2.0,12.0,8.38,8.38
1984,1984-09-16,25.066999999999997,9.0,17.0,52.94,127.0,1.0,1.0,72.4,3.0,30.0,7.47,6.0
1984,1984-09-23,25.074,13.0,23.0,56.52,205.0,1.0,0.0,100.8,2.0,0.0,8.91,9.78
1984,1984-09-30,25.081,8.0,17.0,47.06,113.0,1.0,0.0,88.6,2.0,8.0,6.65,7.82
1984,1984-10-07,25.088,11.0,19.0,57.89,168.0,1.0,0.0,104.7,1.0,15.0,8.84,9.89
1984,1984-10-14,25.095,8.0,19.0,42.11,142.0,3.0,0.0,107.9,1.0,4.0,7.47,10.63
1984,1984-10-22,25.103,14.0,19.0,73.68,129.0,1.0,0.0,109.3,3.0,16.0,6.79,7.84
1984,1984-10-28,25.109,14.0,30.0,46.67,180.0,0.0,2.0,38.2,5.0,46.0,6.0,3.0
1984,1984-11-04,25.116,5.0,14.0,35.71,90.0,1.0,0.0,82.4,3.0,30.0,6.43,7.86
1984,1984-11-11,25.123,7.0,15.0,46.67,175.0,1.0,0.0,111.8,0.0,0.0,11.67,13.0
1984,1984-11-18,25.13,14.0,32.0,43.75,118.0,0.0,2.0,27.9,1.0,9.0,3.69,0.88
1984,1984-11-25,25.136999999999997,7.0,10.0,70.0,68.0,0.0,0.0,88.7,0.0,0.0,6.8,6.8
1984,1984-12-02,25.144000000000002,10.0,24.0,41.67,127.0,2.0,2.0,51.9,0.0,0.0,5.29,3.21
1984,1984-12-09,25.151,12.0,23.0,52.17,199.0,1.0,0.0,96.1,2.0,22.0,8.65,9.52
1984,1984-12-14,25.156,11.0,22.0,50.0,180.0,0.0,0.0,77.8,1.0,10.0,8.18,8.18
1985,1985-11-03,26.115,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-10,26.122,10.0,25.0,40.0,130.0,0.0,1.0,40.4,3.0,27.0,5.2,3.4
1985,1985-11-17,26.129,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1985,1985-12-01,26.143,5.0,8.0,62.5,82.0,0.0,0.0,96.9,3.0,31.0,10.25,10.25
