Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-11-16,23.316999999999997,12.0,19.0,63.16,193.0,3.0,0.0,136.6,1.0,6.0,10.16,13.32
1986,1986-11-23,23.324,7.0,20.0,35.0,56.0,0.0,2.0,4.2,0.0,0.0,2.8,-1.7
1986,1986-11-30,23.331,9.0,17.0,52.94,155.0,1.0,2.0,64.2,0.0,0.0,9.12,5.0
1986,1986-12-07,23.338,14.0,25.0,56.0,212.0,1.0,1.0,80.7,1.0,0.0,8.48,7.48
1986,1986-12-14,23.345,18.0,31.0,58.06,251.0,2.0,0.0,105.7,3.0,21.0,8.1,9.39
1986,1986-12-19,23.35,13.0,35.0,37.14,151.0,1.0,3.0,24.8,3.0,23.0,4.31,1.03
1987,1987-09-13,24.253,9.0,26.0,34.62,125.0,0.0,2.0,18.9,3.0,28.0,4.81,1.35
1987,1987-09-20,24.26,15.0,25.0,60.0,105.0,0.0,1.0,52.9,2.0,17.0,4.2,2.4
1987,1987-10-26,24.296,21.0,50.0,42.0,227.0,0.0,3.0,31.0,0.0,0.0,4.54,1.84
1987,1987-11-01,24.302,20.0,35.0,57.14,231.0,1.0,0.0,86.7,3.0,13.0,6.6,7.17
1987,1987-11-08,24.309,17.0,34.0,50.0,202.0,2.0,2.0,63.6,0.0,0.0,5.94,4.47
1987,1987-11-15,24.316,14.0,26.0,53.85,154.0,1.0,1.0,68.4,1.0,10.0,5.92,4.96
1987,1987-11-23,24.324,7.0,13.0,53.85,106.0,1.0,1.0,74.5,1.0,10.0,8.15,6.23
1987,1987-11-29,24.33,14.0,19.0,73.68,208.0,2.0,0.0,144.2,3.0,25.0,10.95,13.05
1987,1987-12-06,24.337,20.0,26.0,76.92,324.0,2.0,1.0,127.7,1.0,11.0,12.46,12.27
1987,1987-12-13,24.344,13.0,24.0,54.17,193.0,1.0,0.0,94.6,0.0,0.0,8.04,8.88
1987,1987-12-21,24.351999999999997,12.0,24.0,50.0,189.0,0.0,2.0,41.8,3.0,25.0,7.88,4.13
1988,1988-09-04,25.245,19.0,28.0,67.86,184.0,2.0,0.0,109.8,1.0,8.0,6.57,8.0
1988,1988-09-11,25.252,17.0,27.0,62.96,141.0,1.0,1.0,73.2,3.0,17.0,5.22,4.3
1988,1988-09-18,25.259,13.0,24.0,54.17,178.0,1.0,0.0,92.0,3.0,28.0,7.42,8.25
1988,1988-09-25,25.266,14.0,24.0,58.33,236.0,5.0,1.0,113.9,1.0,4.0,9.83,12.13
1988,1988-10-02,25.273000000000003,25.0,33.0,75.76,300.0,1.0,0.0,113.2,3.0,32.0,9.09,9.7
1988,1988-10-09,25.28,15.0,24.0,62.5,234.0,3.0,1.0,117.0,1.0,0.0,9.75,10.38
1988,1988-10-16,25.287,20.0,33.0,60.61,199.0,3.0,2.0,82.8,1.0,5.0,6.03,5.12
1988,1988-10-23,25.294,20.0,27.0,74.07,311.0,3.0,0.0,148.8,0.0,0.0,11.52,13.74
1988,1988-10-30,25.301,21.0,34.0,61.76,243.0,0.0,0.0,83.3,1.0,7.0,7.15,7.15
1988,1988-11-06,25.308000000000003,24.0,45.0,53.33,377.0,2.0,4.0,59.2,3.0,19.0,8.38,5.27
1988,1988-11-13,25.315,18.0,35.0,51.43,198.0,0.0,2.0,44.7,1.0,2.0,5.66,3.09
1988,1988-11-20,25.322,17.0,34.0,50.0,243.0,2.0,1.0,80.9,5.0,31.0,7.15,7.0
1988,1988-11-27,25.329,25.0,47.0,53.19,365.0,2.0,1.0,84.1,2.0,13.0,7.77,7.66
1988,1988-12-05,25.337,17.0,31.0,54.84,251.0,1.0,3.0,52.7,2.0,19.0,8.1,4.39
1988,1988-12-11,25.343000000000004,24.0,33.0,72.73,303.0,1.0,1.0,98.4,1.0,12.0,9.18,8.42
1988,1988-12-18,25.35,19.0,38.0,50.0,201.0,4.0,1.0,89.9,0.0,0.0,5.29,6.21
1989,1989-09-10,26.25,14.0,25.0,56.0,206.0,1.0,0.0,96.4,1.0,11.0,8.24,9.04
1989,1989-09-17,26.256999999999998,28.0,35.0,80.0,368.0,3.0,1.0,127.1,3.0,16.0,10.51,10.94
1989,1989-09-24,26.264,19.0,31.0,61.29,238.0,2.0,2.0,79.8,2.0,15.0,7.68,6.06
1989,1989-10-01,26.271,16.0,25.0,64.0,250.0,1.0,0.0,110.4,0.0,0.0,10.0,10.8
1989,1989-10-08,26.278000000000002,16.0,28.0,57.14,290.0,2.0,1.0,101.8,2.0,17.0,10.36,10.18
1989,1989-10-16,26.285999999999998,15.0,36.0,41.67,219.0,2.0,1.0,69.1,2.0,12.0,6.08,5.94
1989,1989-10-22,26.291999999999998,24.0,42.0,57.14,263.0,3.0,2.0,79.8,5.0,41.0,6.26,5.55
1989,1989-10-29,26.299,13.0,35.0,37.14,185.0,0.0,2.0,31.3,3.0,17.0,5.29,2.71
1989,1989-11-05,26.305999999999997,18.0,30.0,60.0,200.0,1.0,1.0,77.1,1.0,15.0,6.67,5.83
1989,1989-11-12,26.313000000000002,23.0,33.0,69.7,295.0,2.0,2.0,92.4,0.0,0.0,8.94,7.42
1989,1989-11-19,26.32,15.0,24.0,62.5,308.0,2.0,0.0,134.0,1.0,7.0,12.83,14.5
1989,1989-11-26,26.326999999999998,29.0,51.0,56.86,454.0,1.0,2.0,76.8,6.0,39.0,8.9,7.53
1989,1989-12-03,26.334,27.0,37.0,72.97,341.0,4.0,1.0,126.1,2.0,16.0,9.22,10.16
1989,1989-12-11,26.342,18.0,31.0,58.06,239.0,2.0,0.0,104.1,1.0,8.0,7.71,9.0
1989,1989-12-17,26.348000000000003,16.0,26.0,61.54,273.0,2.0,0.0,122.8,0.0,0.0,10.5,12.04
1989,1989-12-24,26.355,13.0,29.0,44.83,181.0,1.0,2.0,48.2,0.0,0.0,6.24,3.83
1990,1990-09-09,27.249000000000002,24.0,40.0,60.0,340.0,2.0,2.0,83.3,3.0,19.0,8.5,7.25
1990,1990-09-16,27.256,18.0,25.0,72.0,269.0,4.0,0.0,146.5,2.0,16.0,10.76,13.96
1990,1990-09-23,27.263,17.0,35.0,48.57,260.0,2.0,1.0,80.7,2.0,14.0,7.43,7.29
