Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1987,1987-09-14,23.265,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-09-20,23.271,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-10-25,23.305999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1987,1987-11-22,23.334,0.0,0.0,,0.0,0.0,0.0,,1.0,15.0,,
1987,1987-12-14,23.355999999999998,8.0,11.0,72.73,62.0,0.0,0.0,86.2,3.0,30.0,5.64,5.64
1987,1987-12-27,24.004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-09-18,24.27,4.0,9.0,44.44,38.0,0.0,0.0,56.7,1.0,13.0,4.22,4.22
1988,1988-10-09,24.291,2.0,3.0,66.67,10.0,0.0,0.0,71.5,0.0,0.0,3.33,3.33
1988,1988-10-16,24.298000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-24,24.305999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1988,1988-10-30,24.311999999999998,0.0,5.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1988,1988-11-13,24.326,1.0,1.0,100.0,56.0,0.0,0.0,118.7,0.0,0.0,56.0,56.0
1988,1988-11-20,24.333000000000002,1.0,4.0,25.0,30.0,0.0,0.0,58.3,1.0,9.0,7.5,7.5
1988,1988-11-27,24.34,10.0,19.0,52.63,98.0,0.0,0.0,67.4,1.0,12.0,5.16,5.16
1988,1988-12-05,24.348000000000003,11.0,30.0,36.67,108.0,0.0,2.0,19.9,2.0,9.0,3.6,0.6
1988,1988-12-11,24.354,18.0,26.0,69.23,174.0,0.0,0.0,87.7,1.0,6.0,6.69,6.69
1989,1989-09-17,25.268,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-09-24,25.275,1.0,1.0,100.0,21.0,0.0,0.0,118.7,0.0,0.0,21.0,21.0
1989,1989-10-08,25.289,6.0,8.0,75.0,65.0,0.0,0.0,98.4,1.0,5.0,8.13,8.13
1989,1989-10-23,25.304000000000002,9.0,16.0,56.25,93.0,1.0,0.0,94.0,1.0,9.0,5.81,7.06
1989,1989-10-29,25.31,10.0,13.0,76.92,157.0,0.0,0.0,116.5,2.0,9.0,12.08,12.08
1989,1989-11-05,25.316999999999997,16.0,30.0,53.33,203.0,0.0,0.0,74.7,2.0,15.0,6.77,6.77
1989,1989-11-12,25.324,13.0,25.0,52.0,125.0,1.0,1.0,62.9,2.0,1.0,5.0,4.0
1989,1989-11-19,25.331,12.0,24.0,50.0,126.0,0.0,3.0,26.0,3.0,16.0,5.25,-0.38
1989,1989-12-03,25.345,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,,
1989,1989-12-10,25.351999999999997,21.0,29.0,72.41,179.0,0.0,1.0,73.8,4.0,41.0,6.17,4.62
1989,1989-12-17,25.359,20.0,28.0,71.43,205.0,3.0,3.0,88.2,2.0,8.0,7.32,4.64
1989,1989-12-24,26.000999999999998,3.0,4.0,75.0,30.0,0.0,1.0,56.2,0.0,0.0,7.5,-3.75
1990,1990-09-09,26.26,21.0,29.0,72.41,203.0,0.0,1.0,77.2,1.0,8.0,7.0,5.45
1990,1990-09-16,26.267,11.0,14.0,78.57,161.0,2.0,1.0,124.4,2.0,4.0,11.5,11.14
1990,1990-09-23,26.274,5.0,16.0,31.25,43.0,0.0,1.0,14.6,1.0,3.0,2.69,-0.13
1990,1990-09-30,26.281,8.0,18.0,44.44,149.0,1.0,0.0,92.1,4.0,51.0,8.28,9.39
1990,1990-10-07,26.288,6.0,8.0,75.0,73.0,0.0,0.0,102.6,1.0,1.0,9.13,9.13
1990,1990-10-14,26.295,18.0,25.0,72.0,248.0,2.0,0.0,130.1,0.0,0.0,9.92,11.52
1990,1990-10-28,26.309,9.0,14.0,64.29,166.0,1.0,1.0,99.1,1.0,7.0,11.86,10.07
1990,1990-11-04,26.316,14.0,23.0,60.87,213.0,1.0,0.0,105.9,3.0,22.0,9.26,10.13
1990,1990-11-11,26.323,14.0,28.0,50.0,195.0,1.0,0.0,84.7,1.0,8.0,6.96,7.68
1990,1990-11-18,26.33,13.0,28.0,46.43,147.0,0.0,0.0,62.6,2.0,8.0,5.25,5.25
1990,1990-11-25,26.337,17.0,26.0,65.38,157.0,1.0,0.0,94.6,7.0,41.0,6.04,6.81
1990,1990-12-02,26.344,23.0,39.0,58.97,208.0,1.0,0.0,82.0,2.0,11.0,5.33,5.85
1990,1990-12-09,26.351,17.0,33.0,51.52,187.0,0.0,2.0,43.4,2.0,6.0,5.67,2.94
1990,1990-12-16,26.358,4.0,11.0,36.36,28.0,0.0,0.0,44.9,4.0,36.0,2.55,2.55
1991,1991-09-01,27.252,17.0,24.0,70.83,186.0,1.0,0.0,107.3,0.0,0.0,7.75,8.58
1991,1991-09-08,27.259,13.0,20.0,65.0,153.0,2.0,1.0,100.6,1.0,6.0,7.65,7.4
1991,1991-09-15,27.266,15.0,25.0,60.0,221.0,1.0,1.0,85.6,2.0,15.0,8.84,7.84
1991,1991-09-23,27.274,28.0,42.0,66.67,303.0,1.0,0.0,95.6,2.0,14.0,7.21,7.69
1991,1991-09-29,27.28,17.0,35.0,48.57,203.0,0.0,1.0,54.8,0.0,0.0,5.8,4.51
1991,1991-10-06,27.287,17.0,41.0,41.46,206.0,0.0,3.0,27.1,1.0,7.0,5.02,1.73
1991,1991-10-17,27.298000000000002,18.0,29.0,62.07,142.0,1.0,1.0,71.3,2.0,5.0,4.9,4.03
1991,1991-10-27,27.308000000000003,5.0,22.0,22.73,61.0,1.0,2.0,16.9,3.0,25.0,2.77,-0.41
1991,1991-11-03,27.315,17.0,31.0,54.84,205.0,2.0,0.0,96.8,3.0,18.0,6.61,7.9
1991,1991-11-11,27.323,18.0,27.0,66.67,180.0,1.0,1.0,82.3,0.0,0.0,6.67,5.74
1991,1991-11-17,27.329,18.0,32.0,56.25,287.0,2.0,1.0,94.1,3.0,14.0,8.97,8.81
1991,1991-11-24,27.336,25.0,40.0,62.5,210.0,0.0,0.0,76.0,1.0,6.0,5.25,5.25
1991,1991-11-28,27.34,27.0,47.0,57.45,244.0,0.0,4.0,36.1,1.0,13.0,5.19,1.36
1991,1991-12-08,27.35,16.0,25.0,64.0,209.0,2.0,1.0,100.2,2.0,14.0,8.36,8.16
1991,1991-12-14,27.355999999999998,7.0,14.0,50.0,99.0,0.0,0.0,73.2,2.0,18.0,7.07,7.07
1991,1991-12-23,28.0,17.0,24.0,70.83,212.0,1.0,0.0,111.8,1.0,8.0,8.83,9.67
1992,1992-09-06,28.258000000000003,19.0,30.0,63.33,227.0,2.0,0.0,108.6,0.0,0.0,7.57,8.9
1992,1992-09-13,28.265,25.0,45.0,55.56,260.0,0.0,2.0,53.9,2.0,20.0,5.78,3.78
1992,1992-09-21,28.273000000000003,17.0,28.0,60.71,183.0,2.0,1.0,88.8,1.0,8.0,6.54,6.36
1992,1992-09-27,28.279,18.0,24.0,75.0,280.0,2.0,0.0,141.0,2.0,8.0,11.67,13.33
1992,1992-10-04,28.285999999999998,20.0,34.0,58.82,201.0,1.0,2.0,61.0,1.0,12.0,5.91,3.85
1992,1992-10-18,28.3,13.0,26.0,50.0,304.0,2.0,1.0,102.1,2.0,6.0,11.69,11.5
1992,1992-10-25,28.307,16.0,23.0,69.57,194.0,1.0,0.0,109.7,2.0,11.0,8.43,9.3
1992,1992-11-02,28.315,16.0,24.0,66.67,149.0,0.0,2.0,48.8,4.0,24.0,6.21,2.46
1992,1992-11-08,28.320999999999998,11.0,28.0,39.29,168.0,1.0,2.0,42.0,4.0,19.0,6.0,3.5
1992,1992-11-15,28.328000000000003,17.0,33.0,51.52,225.0,1.0,0.0,83.5,3.0,14.0,6.82,7.42
1992,1992-11-22,28.335,8.0,18.0,44.44,97.0,0.0,1.0,38.4,1.0,6.0,5.39,2.89
1992,1992-11-29,28.342,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1992,1992-12-07,28.35,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,,
1992,1992-12-13,28.355999999999998,11.0,21.0,52.38,90.0,1.0,0.0,79.5,4.0,19.0,4.29,5.24
1992,1992-12-20,28.363000000000003,11.0,24.0,45.83,108.0,0.0,1.0,41.7,4.0,18.0,4.5,2.63
1992,1992-12-27,29.004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-05,29.256,16.0,28.0,57.14,178.0,1.0,1.0,73.2,4.0,12.0,6.36,5.46
1993,1993-09-12,29.263,11.0,20.0,55.0,83.0,0.0,1.0,44.4,4.0,31.0,4.15,1.9
1993,1993-09-26,29.276999999999997,17.0,22.0,77.27,192.0,2.0,0.0,133.1,2.0,14.0,8.73,10.55
1993,1993-10-03,29.284000000000002,16.0,23.0,69.57,122.0,0.0,0.0,82.2,1.0,8.0,5.3,5.3
1993,1993-10-10,29.291,14.0,27.0,51.85,165.0,1.0,1.0,67.7,1.0,6.0,6.11,5.19
1993,1993-10-25,29.305999999999997,20.0,31.0,64.52,202.0,0.0,2.0,56.1,9.0,43.0,6.52,3.61
1993,1993-10-31,29.311999999999998,15.0,19.0,78.95,149.0,0.0,0.0,99.3,7.0,37.0,7.84,7.84
1993,1993-11-07,29.319000000000003,12.0,24.0,50.0,140.0,1.0,1.0,64.6,1.0,3.0,5.83,4.79
1993,1993-11-14,29.326,13.0,24.0,54.17,159.0,1.0,1.0,71.4,2.0,19.0,6.63,5.58
1993,1993-11-21,29.333000000000002,13.0,20.0,65.0,98.0,0.0,2.0,37.1,1.0,2.0,4.9,0.4
1993,1993-11-25,29.337,9.0,16.0,56.25,123.0,1.0,1.0,75.8,4.0,10.0,7.69,6.13
1993,1993-12-05,29.346999999999998,10.0,20.0,50.0,141.0,0.0,1.0,52.3,1.0,0.0,7.05,4.8
1993,1993-12-12,29.354,11.0,18.0,61.11,81.0,0.0,0.0,71.8,1.0,0.0,4.5,4.5
1993,1993-12-26,30.003,14.0,23.0,60.87,107.0,0.0,0.0,72.2,2.0,4.0,4.65,4.65
1993,1994-01-02,30.01,9.0,10.0,90.0,62.0,0.0,0.0,92.5,3.0,21.0,6.2,6.2
1994,1994-09-04,30.255,9.0,12.0,75.0,105.0,2.0,1.0,105.9,2.0,6.0,8.75,8.33
1994,1994-09-11,30.261999999999997,19.0,24.0,79.17,206.0,0.0,1.0,85.1,1.0,5.0,8.58,6.71
1994,1994-09-18,30.269000000000002,9.0,19.0,47.37,120.0,1.0,0.0,85.4,4.0,18.0,6.32,7.37
1994,1994-09-25,30.276,16.0,26.0,61.54,194.0,1.0,1.0,81.3,1.0,5.0,7.46,6.5
1994,1994-10-02,30.283,15.0,27.0,55.56,181.0,0.0,0.0,76.3,2.0,13.0,6.7,6.7
1994,1994-10-09,30.29,12.0,21.0,57.14,95.0,0.0,0.0,68.6,1.0,5.0,4.52,4.52
1994,1994-10-16,30.296999999999997,18.0,22.0,81.82,206.0,2.0,0.0,136.0,0.0,0.0,9.36,11.18
1994,1994-10-23,30.304000000000002,11.0,18.0,61.11,186.0,2.0,2.0,93.5,2.0,11.0,10.33,7.56
1994,1994-11-06,30.318,3.0,7.0,42.86,23.0,0.0,1.0,11.9,2.0,3.0,3.29,-3.14
1994,1994-12-04,30.346,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-18,30.36,9.0,19.0,47.37,75.0,0.0,0.0,58.0,2.0,6.0,3.95,3.95
1994,1994-12-24,31.000999999999998,4.0,7.0,57.14,49.0,1.0,0.0,118.5,0.0,0.0,7.0,9.86
1995,1995-09-03,31.254,9.0,13.0,69.23,86.0,1.0,0.0,113.0,2.0,23.0,6.62,8.15
1995,1995-09-10,31.261,11.0,16.0,68.75,123.0,2.0,0.0,131.0,1.0,0.0,7.69,10.19
1995,1995-09-17,31.268,19.0,33.0,57.58,241.0,1.0,0.0,90.6,5.0,36.0,7.3,7.91
1995,1995-10-01,31.281999999999996,11.0,19.0,57.89,146.0,0.0,1.0,60.4,0.0,0.0,7.68,5.32
