Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1966,1966-12-17,22.232,4.0,11.0,36.36,29.0,0.0,0.0,44.9,,,2.64,2.64
1967,1967-09-17,23.141,10.0,30.0,33.33,166.0,1.0,4.0,24.4,,,5.53,0.2
1967,1967-09-24,23.148000000000003,8.0,25.0,32.0,137.0,0.0,1.0,34.9,,,5.48,3.68
1967,1967-10-01,23.155,19.0,27.0,70.37,313.0,2.0,1.0,118.3,,,11.59,11.41
1967,1967-10-08,23.162,14.0,27.0,51.85,247.0,2.0,2.0,77.2,,,9.15,7.3
1967,1967-10-15,23.169,15.0,35.0,42.86,228.0,0.0,3.0,29.2,,,6.51,2.66
1967,1967-10-22,23.176,16.0,29.0,55.17,267.0,4.0,0.0,126.0,,,9.21,11.97
1967,1967-10-30,23.184,16.0,29.0,55.17,317.0,2.0,2.0,87.9,,,10.93,9.21
1967,1967-11-05,23.19,16.0,32.0,50.0,252.0,1.0,2.0,60.9,,,7.88,5.69
1967,1967-11-12,23.197,15.0,29.0,51.72,193.0,1.0,3.0,44.8,,,6.66,2.69
1967,1967-11-19,23.204,10.0,33.0,30.3,126.0,0.0,5.0,3.7,,,3.82,-3.0
1967,1967-11-23,23.208000000000002,7.0,13.0,53.85,180.0,2.0,1.0,106.6,,,13.85,13.46
1967,1967-12-03,23.218000000000004,6.0,14.0,42.86,106.0,2.0,3.0,69.3,,,7.57,0.79
1967,1967-12-10,23.225,18.0,36.0,50.0,182.0,1.0,1.0,62.5,,,5.06,4.36
1967,1967-12-17,23.232,22.0,38.0,57.89,294.0,1.0,2.0,69.4,,,7.74,5.89
1968,1968-09-16,24.14,17.0,40.0,42.5,211.0,1.0,3.0,36.6,,,5.28,2.4
1968,1968-09-22,24.146,8.0,20.0,40.0,143.0,1.0,0.0,81.9,,,7.15,8.15
1968,1968-10-06,24.16,10.0,16.0,62.5,132.0,1.0,2.0,69.8,,,8.25,3.88
1968,1968-10-13,24.166999999999998,9.0,24.0,37.5,140.0,1.0,2.0,36.8,,,5.83,2.92
1968,1968-10-20,24.174,14.0,21.0,66.67,148.0,2.0,0.0,118.7,,,7.05,8.95
1968,1968-10-27,24.180999999999997,9.0,22.0,40.91,226.0,2.0,0.0,109.3,,,10.27,12.09
1968,1968-11-03,24.188000000000002,7.0,13.0,53.85,147.0,1.0,0.0,119.7,,,11.31,12.85
1968,1968-11-10,24.195,17.0,40.0,42.5,353.0,3.0,2.0,78.4,,,8.83,8.08
1968,1968-11-17,24.201999999999998,17.0,47.0,36.17,163.0,0.0,4.0,11.2,,,3.47,-0.36
1968,1968-11-24,24.209,10.0,22.0,45.45,136.0,1.0,2.0,43.0,,,6.18,3.0
1968,1968-12-01,24.215999999999998,6.0,20.0,30.0,65.0,0.0,2.0,1.0,,,3.25,-1.25
