Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1986,1986-09-07,26.205,20.0,33.0,60.61,292.0,3.0,0.0,119.8,1.0,3.0,8.85,10.67
1986,1986-09-14,26.212,13.0,22.0,59.09,228.0,1.0,2.0,71.8,2.0,21.0,10.36,7.18
1986,1986-09-21,26.219,6.0,10.0,60.0,105.0,0.0,0.0,95.8,4.0,23.0,10.5,10.5
1986,1986-09-28,26.226,24.0,38.0,63.16,291.0,1.0,3.0,62.5,2.0,21.0,7.66,4.63
1986,1986-10-05,26.233,18.0,35.0,51.43,211.0,1.0,1.0,67.7,3.0,17.0,6.03,5.31
1986,1986-10-12,26.24,20.0,28.0,71.43,218.0,1.0,2.0,76.2,2.0,21.0,7.79,5.29
1986,1986-10-19,26.247,20.0,31.0,64.52,252.0,2.0,2.0,84.3,1.0,9.0,8.13,6.52
1986,1986-10-26,26.254,13.0,26.0,50.0,166.0,0.0,2.0,38.3,5.0,34.0,6.38,2.92
1986,1986-11-02,26.261,29.0,39.0,74.36,342.0,3.0,0.0,126.2,1.0,18.0,8.77,10.31
1986,1986-11-09,26.268,11.0,22.0,50.0,95.0,1.0,0.0,76.9,4.0,19.0,4.32,5.23
1986,1986-11-16,26.275,17.0,33.0,51.52,189.0,2.0,0.0,89.1,1.0,8.0,5.73,6.94
1986,1986-11-23,26.281999999999996,22.0,32.0,68.75,250.0,1.0,2.0,76.3,6.0,58.0,7.81,5.63
1986,1986-11-30,26.289,17.0,34.0,50.0,190.0,2.0,1.0,74.4,2.0,18.0,5.59,5.44
1986,1986-12-07,26.296,20.0,39.0,51.28,315.0,2.0,0.0,95.6,2.0,7.0,8.08,9.1
1986,1986-12-14,26.303,11.0,19.0,57.89,188.0,1.0,1.0,87.2,1.0,10.0,9.89,8.58
1986,1986-12-21,26.31,24.0,39.0,61.54,261.0,1.0,1.0,79.1,6.0,43.0,6.69,6.05
1987,1987-09-13,27.211,25.0,42.0,59.52,305.0,3.0,1.0,95.8,2.0,13.0,7.26,7.62
1987,1987-09-20,27.218000000000004,26.0,43.0,60.47,293.0,3.0,2.0,84.7,5.0,45.0,6.81,6.12
1987,1987-10-25,27.253,29.0,39.0,74.36,359.0,2.0,0.0,119.5,3.0,29.0,9.21,10.23
1987,1987-11-01,27.26,25.0,43.0,58.14,292.0,1.0,3.0,57.5,3.0,33.0,6.79,4.12
1987,1987-11-08,27.267,14.0,23.0,60.87,135.0,1.0,1.0,73.6,0.0,0.0,5.87,4.78
1987,1987-11-15,27.274,22.0,35.0,62.86,222.0,2.0,0.0,99.9,3.0,16.0,6.34,7.49
1987,1987-11-22,27.281,21.0,33.0,63.64,214.0,1.0,1.0,79.6,2.0,10.0,6.48,5.73
1987,1987-11-29,27.288,15.0,21.0,71.43,217.0,2.0,0.0,136.4,0.0,0.0,10.33,12.24
1987,1987-12-06,27.295,22.0,36.0,61.11,315.0,1.0,0.0,98.7,2.0,12.0,8.75,9.31
1987,1987-12-13,27.302,18.0,34.0,52.94,167.0,2.0,0.0,86.3,0.0,0.0,4.91,6.09
1987,1987-12-20,27.309,13.0,31.0,41.94,125.0,0.0,1.0,40.4,5.0,61.0,4.03,2.58
1987,1987-12-27,27.316,20.0,39.0,51.28,154.0,1.0,2.0,48.5,2.0,20.0,3.95,2.15
1988,1988-09-04,28.203000000000003,17.0,31.0,54.84,204.0,0.0,1.0,61.8,1.0,8.0,6.58,5.13
1988,1988-09-11,28.21,15.0,24.0,62.5,231.0,0.0,1.0,76.9,3.0,16.0,9.63,7.75
1988,1988-09-18,28.217,21.0,33.0,63.64,170.0,1.0,2.0,61.4,3.0,21.0,5.15,3.03
1988,1988-09-25,28.224,20.0,32.0,62.5,288.0,1.0,1.0,89.1,1.0,6.0,9.0,8.22
1988,1988-10-02,28.230999999999998,20.0,37.0,54.05,273.0,0.0,1.0,66.6,6.0,56.0,7.38,6.16
1988,1988-10-09,28.238000000000003,21.0,39.0,53.85,315.0,3.0,1.0,95.6,0.0,0.0,8.08,8.46
1988,1988-10-17,28.246,16.0,27.0,59.26,302.0,3.0,1.0,119.7,1.0,10.0,11.19,11.74
1988,1988-10-23,28.252,12.0,18.0,66.67,165.0,1.0,1.0,91.2,2.0,16.0,9.17,7.78
1988,1988-10-30,28.259,10.0,14.0,71.43,80.0,1.0,2.0,69.6,3.0,14.0,5.71,0.71
1988,1988-11-06,28.266,16.0,25.0,64.0,180.0,0.0,1.0,68.7,1.0,12.0,7.2,5.4
1988,1988-11-14,28.274,18.0,26.0,69.23,211.0,1.0,0.0,106.4,0.0,0.0,8.12,8.88
1988,1988-11-20,28.28,8.0,18.0,44.44,115.0,0.0,1.0,42.6,2.0,8.0,6.39,3.89
1988,1988-11-27,28.287,24.0,35.0,68.57,265.0,1.0,2.0,76.5,2.0,22.0,7.57,5.57
1988,1988-12-04,28.294,23.0,40.0,57.5,249.0,0.0,2.0,55.1,2.0,15.0,6.23,3.98
1988,1988-12-11,28.301,11.0,24.0,45.83,128.0,1.0,0.0,76.4,2.0,16.0,5.33,6.17
1988,1988-12-18,28.308000000000003,17.0,29.0,58.62,204.0,2.0,0.0,103.2,1.0,9.0,7.03,8.41
1989,1989-09-10,29.208000000000002,25.0,40.0,62.5,265.0,1.0,0.0,90.1,4.0,39.0,6.63,7.13
1989,1989-09-18,29.215999999999998,26.0,44.0,59.09,298.0,1.0,3.0,58.7,3.0,21.0,6.77,4.16
1989,1989-09-24,29.221999999999998,17.0,29.0,58.62,363.0,5.0,1.0,128.2,3.0,26.0,12.52,14.41
1989,1989-10-01,29.229,12.0,17.0,70.59,278.0,3.0,0.0,152.6,3.0,22.0,16.35,19.88
1989,1989-10-08,29.236,20.0,32.0,62.5,216.0,1.0,3.0,53.6,3.0,31.0,6.75,3.16
1989,1989-11-05,29.264,17.0,22.0,77.27,231.0,2.0,1.0,121.6,3.0,18.0,10.5,10.27
1989,1989-11-12,29.271,14.0,30.0,46.67,172.0,3.0,0.0,98.2,2.0,11.0,5.73,7.73
1989,1989-11-19,29.278000000000002,21.0,41.0,51.22,356.0,1.0,2.0,68.8,3.0,16.0,8.68,6.98
1989,1989-11-26,29.285,10.0,15.0,66.67,123.0,3.0,0.0,131.4,1.0,6.0,8.2,12.2
1989,1989-12-04,29.293000000000003,10.0,23.0,43.48,144.0,1.0,1.0,60.8,1.0,9.0,6.26,5.17
1989,1989-12-10,29.299,17.0,35.0,48.57,211.0,2.0,3.0,51.0,2.0,7.0,6.03,3.31
1989,1989-12-17,29.305999999999997,26.0,42.0,61.9,265.0,0.0,3.0,50.2,2.0,10.0,6.31,3.1
1989,1989-12-23,29.311999999999998,13.0,21.0,61.9,208.0,2.0,1.0,106.8,0.0,0.0,9.9,9.67
1990,1990-09-09,30.206999999999997,28.0,37.0,75.68,283.0,1.0,0.0,106.0,0.0,0.0,7.65,8.19
1990,1990-09-16,30.214000000000002,14.0,23.0,60.87,140.0,0.0,1.0,60.1,2.0,13.0,6.09,4.13
1990,1990-09-24,30.221999999999998,16.0,26.0,61.54,174.0,2.0,1.0,90.9,2.0,15.0,6.69,6.5
1990,1990-09-30,30.228,18.0,34.0,52.94,167.0,0.0,1.0,54.4,4.0,34.0,4.91,3.59
1990,1990-10-07,30.235,13.0,21.0,61.9,182.0,3.0,2.0,89.8,0.0,0.0,8.67,7.24
1990,1990-10-21,30.249000000000002,19.0,32.0,59.38,297.0,4.0,1.0,116.8,2.0,21.0,9.28,10.38
1990,1990-10-28,30.256,14.0,20.0,70.0,208.0,1.0,0.0,120.4,2.0,16.0,10.4,11.4
1990,1990-11-04,30.263,14.0,19.0,73.68,200.0,1.0,0.0,124.9,1.0,8.0,10.53,11.58
1990,1990-11-11,30.27,11.0,16.0,68.75,165.0,4.0,1.0,115.9,1.0,11.0,10.31,12.5
1990,1990-11-18,30.276999999999997,5.0,15.0,33.33,79.0,0.0,0.0,51.8,2.0,12.0,5.27,5.27
1990,1990-11-26,30.285,23.0,34.0,67.65,224.0,2.0,1.0,93.3,2.0,14.0,6.59,6.44
1990,1990-12-02,30.291,19.0,32.0,59.38,334.0,3.0,1.0,113.3,0.0,0.0,10.44,10.91
1990,1990-12-09,30.298000000000002,18.0,26.0,69.23,261.0,2.0,0.0,127.2,2.0,14.0,10.04,11.58
1990,1990-12-15,30.304000000000002,7.0,11.0,63.64,115.0,1.0,0.0,129.0,0.0,0.0,10.45,12.27
1991,1991-09-01,31.199,29.0,39.0,74.36,381.0,2.0,1.0,111.2,0.0,0.0,9.77,9.64
1991,1991-09-08,31.206,31.0,43.0,72.09,363.0,6.0,2.0,117.5,2.0,20.0,8.44,9.14
1991,1991-09-15,31.213,27.0,37.0,72.97,275.0,2.0,1.0,100.6,4.0,35.0,7.43,7.3
1991,1991-09-22,31.22,20.0,35.0,57.14,322.0,1.0,1.0,85.7,2.0,21.0,9.2,8.49
1991,1991-09-29,31.226999999999997,19.0,29.0,65.52,303.0,3.0,0.0,134.7,3.0,23.0,10.45,12.52
1991,1991-10-07,31.235,17.0,23.0,73.91,189.0,0.0,0.0,97.9,6.0,43.0,8.22,8.22
1991,1991-10-13,31.241,3.0,5.0,60.0,44.0,0.0,0.0,88.7,0.0,0.0,8.8,8.8
1991,1991-10-21,31.249000000000002,18.0,27.0,66.67,392.0,5.0,3.0,109.7,0.0,0.0,14.52,13.22
1991,1991-11-03,31.261999999999997,14.0,28.0,50.0,237.0,1.0,2.0,61.2,1.0,2.0,8.46,5.96
1991,1991-11-10,31.269000000000002,17.0,35.0,48.57,232.0,2.0,0.0,89.2,2.0,9.0,6.63,7.77
1991,1991-11-18,31.276999999999997,20.0,28.0,71.43,185.0,3.0,0.0,124.9,2.0,14.0,6.61,8.75
1991,1991-11-24,31.283,26.0,44.0,59.09,204.0,1.0,4.0,40.3,4.0,36.0,4.64,1.0
1991,1991-12-01,31.29,21.0,38.0,55.26,251.0,2.0,2.0,71.3,1.0,0.0,6.61,5.29
1991,1991-12-08,31.296999999999997,33.0,52.0,63.46,347.0,2.0,1.0,87.6,3.0,17.0,6.67,6.58
1991,1991-12-15,31.304000000000002,9.0,11.0,81.82,119.0,3.0,0.0,151.3,1.0,7.0,10.82,16.27
1992,1992-09-06,32.205,13.0,19.0,68.42,106.0,2.0,1.0,95.5,1.0,0.0,5.58,5.32
1992,1992-09-13,32.211999999999996,22.0,33.0,66.67,403.0,3.0,1.0,126.2,3.0,22.0,12.21,12.67
1992,1992-09-20,32.219,17.0,27.0,62.96,211.0,2.0,0.0,111.8,0.0,0.0,7.81,9.3
1992,1992-09-27,32.226,15.0,20.0,75.0,308.0,3.0,0.0,156.2,0.0,0.0,15.4,18.4
1992,1992-10-04,32.233000000000004,25.0,48.0,52.08,306.0,1.0,4.0,44.3,1.0,10.0,6.38,3.04
1992,1992-10-11,32.24,26.0,45.0,57.78,302.0,0.0,1.0,68.9,5.0,44.0,6.71,5.71
1992,1992-10-26,32.255,15.0,29.0,51.72,226.0,2.0,1.0,86.3,2.0,18.0,7.79,7.62
1992,1992-11-01,32.260999999999996,22.0,33.0,66.67,205.0,2.0,2.0,78.5,2.0,6.0,6.21,4.7
1992,1992-11-08,32.268,26.0,33.0,78.79,290.0,3.0,0.0,133.6,1.0,6.0,8.79,10.61
1992,1992-11-16,32.275999999999996,19.0,32.0,59.38,212.0,0.0,0.0,79.2,0.0,0.0,6.63,6.63
1992,1992-11-22,32.282,7.0,15.0,46.67,93.0,2.0,1.0,78.6,0.0,0.0,6.2,5.87
1992,1992-11-29,32.289,11.0,33.0,33.33,184.0,1.0,2.0,37.9,1.0,8.0,5.58,3.45
1992,1992-12-06,32.296,20.0,35.0,57.14,216.0,1.0,2.0,61.1,1.0,12.0,6.17,4.17
1992,1992-12-12,32.302,13.0,23.0,56.52,213.0,1.0,2.0,66.0,1.0,3.0,9.26,6.22
1992,1992-12-20,32.31,13.0,28.0,46.43,135.0,0.0,1.0,46.0,1.0,9.0,4.82,3.21
1992,1992-12-27,32.317,5.0,9.0,55.56,47.0,0.0,1.0,30.6,1.0,7.0,5.22,0.22
1993,1993-09-05,33.203,13.0,22.0,59.09,167.0,4.0,1.0,103.6,1.0,10.0,7.59,9.18
1993,1993-09-12,33.21,16.0,27.0,59.26,155.0,1.0,1.0,72.3,4.0,26.0,5.74,4.81
1993,1993-09-26,33.224000000000004,20.0,39.0,51.28,199.0,1.0,2.0,53.3,4.0,23.0,5.1,3.31
1993,1993-10-03,33.231,14.0,25.0,56.0,142.0,1.0,1.0,69.1,5.0,30.0,5.68,4.68
1993,1993-10-11,33.239000000000004,15.0,25.0,60.0,247.0,3.0,0.0,132.8,2.0,6.0,9.88,12.28
1993,1993-10-24,33.251999999999995,22.0,35.0,62.86,224.0,0.0,2.0,57.3,1.0,8.0,6.4,3.83
1993,1993-11-01,33.26,18.0,24.0,75.0,238.0,2.0,1.0,116.3,0.0,0.0,9.92,9.71
1993,1993-11-07,33.266,29.0,46.0,63.04,317.0,1.0,0.0,90.6,2.0,19.0,6.89,7.33
1993,1993-11-15,33.274,7.0,19.0,36.84,93.0,0.0,0.0,53.2,1.0,11.0,4.89,4.89
1993,1993-11-21,33.28,19.0,27.0,70.37,274.0,2.0,1.0,112.3,1.0,6.0,10.15,9.96
1993,1993-11-28,33.287,23.0,36.0,63.89,214.0,0.0,3.0,45.4,2.0,19.0,5.94,2.19
1993,1993-12-05,33.294000000000004,20.0,30.0,66.67,276.0,1.0,1.0,93.2,0.0,0.0,9.2,8.37
1993,1993-12-12,33.301,17.0,27.0,62.96,210.0,0.0,2.0,56.1,1.0,6.0,7.78,4.44
1993,1993-12-19,33.308,20.0,30.0,66.67,245.0,1.0,1.0,88.9,0.0,0.0,8.17,7.33
1993,1993-12-26,33.315,20.0,31.0,64.52,256.0,0.0,2.0,63.4,0.0,0.0,8.26,5.35
1993,1994-01-02,33.321999999999996,15.0,27.0,55.56,125.0,1.0,0.0,80.0,1.0,7.0,4.63,5.37
1994,1994-09-04,34.202,20.0,35.0,57.14,179.0,0.0,1.0,59.1,4.0,29.0,5.11,3.83
1994,1994-09-11,34.209,25.0,41.0,60.98,328.0,4.0,3.0,88.3,2.0,6.0,8.0,6.66
1994,1994-09-18,34.216,18.0,28.0,64.29,190.0,0.0,1.0,69.0,1.0,7.0,6.79,5.18
1994,1994-09-26,34.224000000000004,16.0,26.0,61.54,178.0,0.0,1.0,65.9,2.0,12.0,6.85,5.12
1994,1994-10-02,34.23,19.0,33.0,57.58,116.0,1.0,2.0,49.6,2.0,17.0,3.52,1.39
1994,1994-10-09,34.236999999999995,13.0,22.0,59.09,130.0,0.0,1.0,57.0,0.0,0.0,5.91,3.86
1994,1994-10-16,34.244,25.0,34.0,73.53,286.0,1.0,0.0,108.2,4.0,36.0,8.41,9.0
1994,1994-10-30,34.258,14.0,22.0,63.64,184.0,4.0,0.0,129.5,1.0,4.0,8.36,12.0
1994,1994-11-06,34.265,19.0,31.0,61.29,201.0,1.0,1.0,77.5,3.0,14.0,6.48,5.68
1994,1994-11-14,34.273,22.0,43.0,51.16,212.0,1.0,2.0,53.6,6.0,54.0,4.93,3.3
1994,1994-11-20,34.279,32.0,44.0,72.73,365.0,2.0,1.0,102.9,2.0,18.0,8.3,8.18
1994,1994-11-24,34.283,29.0,35.0,82.86,273.0,2.0,2.0,94.4,2.0,18.0,7.8,6.37
1994,1994-12-04,34.293,18.0,28.0,64.29,299.0,4.0,1.0,124.9,2.0,9.0,10.68,11.93
1994,1994-12-11,34.3,15.0,26.0,57.69,173.0,2.0,1.0,87.5,3.0,20.0,6.65,6.46
1995,1995-09-03,35.201,12.0,28.0,42.86,154.0,1.0,0.0,72.6,2.0,16.0,5.5,6.21
1995,1995-09-10,35.208,4.0,21.0,19.05,176.0,1.0,3.0,38.3,0.0,0.0,8.38,2.9
1995,1995-09-17,35.215,19.0,35.0,54.29,201.0,0.0,0.0,71.2,1.0,0.0,5.74,5.74
1995,1995-10-02,35.23,27.0,34.0,79.41,256.0,2.0,1.0,105.4,1.0,10.0,7.53,7.38
1995,1995-10-08,35.236,9.0,22.0,40.91,101.0,1.0,1.0,51.5,1.0,3.0,4.59,3.45
1995,1995-10-15,35.243,21.0,36.0,58.33,275.0,3.0,0.0,110.3,2.0,16.0,7.64,9.31
1995,1995-10-23,35.251,20.0,31.0,64.52,211.0,1.0,0.0,95.0,4.0,25.0,6.81,7.45
1995,1995-10-29,35.257,17.0,32.0,53.13,147.0,0.0,0.0,65.5,2.0,11.0,4.59,4.59
1995,1995-11-05,35.264,15.0,24.0,62.5,250.0,1.0,0.0,111.5,1.0,6.0,10.42,11.25
1995,1995-11-12,35.271,22.0,36.0,61.11,272.0,2.0,1.0,91.4,2.0,11.0,7.56,7.42
1995,1995-11-19,35.278,22.0,37.0,59.46,316.0,2.0,0.0,105.2,3.0,31.0,8.54,9.62
1995,1995-11-26,35.285,14.0,28.0,50.0,181.0,1.0,2.0,52.8,2.0,15.0,6.46,3.96
1995,1995-12-03,35.292,18.0,41.0,43.9,214.0,2.0,3.0,46.2,3.0,27.0,5.22,2.9
1995,1995-12-10,35.299,19.0,25.0,76.0,237.0,4.0,1.0,127.8,1.0,5.0,9.48,10.88
1995,1995-12-17,35.306,16.0,28.0,57.14,139.0,1.0,1.0,67.4,1.0,5.0,4.96,4.07
1996,1996-09-01,36.2,24.0,41.0,58.54,313.0,1.0,1.0,80.6,7.0,56.0,7.63,7.02
1996,1996-09-08,36.207,14.0,27.0,51.85,173.0,1.0,3.0,44.8,2.0,19.0,6.41,2.15
1996,1996-09-16,36.215,15.0,31.0,48.39,116.0,0.0,4.0,18.4,2.0,17.0,3.74,-2.06
