Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-09-03,24.206,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
1995,1995-09-18,24.221,17.0,28.0,60.71,202.0,1.0,1.0,79.8,1.0,8.0,7.21,6.32
1995,1995-09-24,24.226999999999997,15.0,27.0,55.56,195.0,1.0,3.0,51.2,1.0,0.0,7.22,2.96
1996,1996-09-01,25.205,9.0,17.0,52.94,83.0,0.0,0.0,66.5,2.0,7.0,4.88,4.88
1996,1996-11-03,25.268,4.0,8.0,50.0,40.0,0.0,0.0,64.6,0.0,0.0,5.0,5.0
1999,1999-10-24,28.256999999999998,10.0,22.0,45.45,117.0,0.0,1.0,43.2,0.0,0.0,5.32,3.27
1999,1999-11-07,28.271,16.0,29.0,55.17,142.0,1.0,3.0,40.4,1.0,6.0,4.9,0.93
1999,1999-11-14,28.278000000000002,34.0,48.0,70.83,422.0,3.0,1.0,109.9,3.0,15.0,8.79,9.1
1999,1999-11-21,28.285,25.0,38.0,65.79,357.0,1.0,0.0,104.8,1.0,2.0,9.39,9.92
1999,1999-11-25,28.289,25.0,37.0,67.57,204.0,2.0,1.0,88.1,2.0,20.0,5.51,5.38
2000,2000-10-08,29.241999999999997,,,,,,,,0.0,,,
2000,2000-10-22,29.256,14.0,34.0,41.18,128.0,0.0,1.0,39.8,1.0,4.0,3.76,2.44
2000,2000-11-05,29.27,24.0,35.0,68.57,214.0,1.0,0.0,94.2,0.0,0.0,6.11,6.69
2000,2000-11-12,29.276999999999997,9.0,13.0,69.23,40.0,0.0,0.0,72.6,1.0,3.0,3.08,3.08
2001,2001-09-23,30.226,18.0,29.0,62.07,204.0,2.0,1.0,91.7,0.0,0.0,7.03,6.86
2001,2001-10-07,30.24,17.0,26.0,65.38,196.0,1.0,2.0,68.8,1.0,9.0,7.54,4.85
2001,2001-10-14,30.247,15.0,21.0,71.43,116.0,0.0,2.0,45.0,0.0,0.0,5.52,1.24
2001,2001-10-21,30.254,23.0,30.0,76.67,232.0,2.0,0.0,120.4,0.0,0.0,7.73,9.07
2001,2001-10-28,30.261,5.0,16.0,31.25,63.0,0.0,1.0,18.5,0.0,0.0,3.94,1.13
2001,2001-11-11,30.275,28.0,47.0,59.57,201.0,0.0,0.0,69.5,1.0,4.0,4.28,4.28
2001,2001-11-18,30.281999999999996,14.0,25.0,56.0,228.0,3.0,1.0,109.7,3.0,22.0,9.12,9.72
2001,2001-11-25,30.289,10.0,21.0,47.62,97.0,0.0,0.0,61.0,1.0,4.0,4.62,4.62
2001,2001-12-02,30.296,17.0,34.0,50.0,124.0,0.0,1.0,46.7,0.0,0.0,3.65,2.32
2001,2001-12-09,30.303,18.0,33.0,54.55,139.0,0.0,1.0,52.5,0.0,0.0,4.21,2.85
2001,2001-12-16,30.31,14.0,29.0,48.28,190.0,2.0,1.0,78.2,3.0,18.0,6.55,6.38
2001,2001-12-23,30.316999999999997,13.0,26.0,50.0,98.0,0.0,0.0,59.5,0.0,0.0,3.77,3.77
2001,2001-12-30,30.324,17.0,30.0,56.67,252.0,2.0,0.0,106.5,1.0,9.0,8.4,9.73
2001,2002-01-06,30.331,19.0,28.0,67.86,159.0,1.0,0.0,94.2,1.0,6.0,5.68,6.39
2002,2002-09-08,31.211,20.0,33.0,60.61,297.0,2.0,1.0,97.7,1.0,9.0,9.0,8.85
2002,2002-09-15,31.218000000000004,12.0,24.0,50.0,143.0,1.0,1.0,65.1,1.0,7.0,5.96,4.92
2002,2002-09-22,31.225,26.0,40.0,65.0,236.0,2.0,1.0,87.1,1.0,8.0,5.9,5.78
2002,2002-09-29,31.232,19.0,31.0,61.29,188.0,2.0,0.0,99.9,0.0,0.0,6.06,7.35
2002,2002-10-07,31.24,27.0,49.0,55.1,353.0,3.0,3.0,72.9,3.0,18.0,7.2,5.67
2002,2002-11-03,31.267,19.0,36.0,52.78,205.0,0.0,0.0,69.8,3.0,19.0,5.69,5.69
2002,2002-11-10,31.274,8.0,18.0,44.44,72.0,1.0,1.0,51.2,1.0,3.0,4.0,2.61
2002,2002-11-24,31.288,21.0,35.0,60.0,250.0,1.0,0.0,91.4,2.0,12.0,7.14,7.71
2002,2002-12-01,31.295,25.0,36.0,69.44,191.0,1.0,1.0,79.7,3.0,18.0,5.31,4.61
2002,2002-12-09,31.303,3.0,12.0,25.0,9.0,0.0,1.0,4.9,1.0,7.0,0.75,-3.0
