Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1971,1971-09-19,23.288,6.0,15.0,40.0,127.0,2.0,1.0,82.5,,,8.47,8.13
1971,1971-09-26,23.295,6.0,17.0,35.29,113.0,1.0,2.0,39.2,1.0,12.0,6.65,2.53
1971,1971-10-03,23.302,9.0,20.0,45.0,62.0,0.0,1.0,31.7,,,3.1,0.85
1971,1971-10-10,23.309,10.0,22.0,45.45,141.0,2.0,0.0,97.0,1.0,11.0,6.41,8.23
1971,1971-10-17,23.316,14.0,35.0,40.0,134.0,0.0,2.0,27.6,7.0,52.0,3.83,1.26
1971,1971-10-24,23.323,16.0,29.0,55.17,228.0,2.0,1.0,89.4,5.0,45.0,7.86,7.69
1971,1971-10-31,23.33,7.0,19.0,36.84,102.0,1.0,0.0,72.7,4.0,33.0,5.37,6.42
1971,1971-11-07,23.337,14.0,30.0,46.67,157.0,1.0,0.0,73.9,4.0,51.0,5.23,5.9
1971,1971-11-14,23.344,9.0,16.0,56.25,218.0,4.0,1.0,114.6,4.0,38.0,13.63,15.81
1971,1971-11-21,23.351,13.0,32.0,40.63,169.0,1.0,4.0,28.8,,,5.28,0.28
1971,1971-11-28,23.358,10.0,22.0,45.45,138.0,1.0,3.0,41.7,4.0,33.0,6.27,1.05
1971,1971-12-05,24.0,16.0,23.0,69.57,223.0,2.0,0.0,129.4,,,9.7,11.43
1971,1971-12-12,24.006999999999998,18.0,31.0,58.06,176.0,0.0,1.0,60.7,4.0,26.0,5.68,4.23
1971,1971-12-19,24.014,10.0,17.0,58.82,170.0,2.0,0.0,132.0,2.0,18.0,10.0,12.35
1972,1972-09-17,24.287,9.0,17.0,52.94,117.0,0.0,2.0,35.3,4.0,34.0,6.88,1.59
1972,1972-09-24,24.294,12.0,29.0,41.38,195.0,1.0,0.0,76.1,1.0,11.0,6.72,7.41
1972,1972-10-01,24.301,17.0,33.0,51.52,255.0,2.0,0.0,97.4,1.0,2.0,7.73,8.94
1972,1972-10-08,24.308000000000003,13.0,30.0,43.33,198.0,0.0,3.0,26.1,2.0,24.0,6.6,2.1
1972,1972-10-15,24.315,14.0,26.0,53.85,148.0,0.0,2.0,38.6,1.0,12.0,5.69,2.23
1972,1972-10-22,24.322,12.0,27.0,44.44,165.0,0.0,2.0,33.7,6.0,72.0,6.11,2.78
1972,1972-10-29,24.329,7.0,28.0,25.0,120.0,0.0,3.0,5.4,,,4.29,-0.54
1972,1972-11-06,24.337,18.0,29.0,62.07,179.0,0.0,2.0,50.8,2.0,25.0,6.17,3.07
1972,1972-11-12,24.343000000000004,7.0,19.0,36.84,66.0,0.0,2.0,7.7,4.0,40.0,3.47,-1.26
1972,1972-11-19,24.35,9.0,23.0,39.13,208.0,2.0,3.0,61.8,3.0,25.0,9.04,4.91
1972,1972-11-26,24.357,11.0,26.0,42.31,101.0,0.0,3.0,13.9,3.0,26.0,3.88,-1.31
1972,1972-12-03,24.364,9.0,18.0,50.0,95.0,1.0,2.0,44.7,3.0,29.0,5.28,1.39
1972,1972-12-10,25.005,16.0,24.0,66.67,209.0,2.0,1.0,104.3,3.0,29.0,8.71,8.5
1972,1972-12-17,25.011999999999997,15.0,26.0,57.69,140.0,0.0,0.0,72.6,6.0,56.0,5.38,5.38
1973,1973-09-16,25.285,16.0,27.0,59.26,226.0,0.0,1.0,70.9,3.0,36.0,8.37,6.7
1973,1973-09-23,25.291999999999998,16.0,29.0,55.17,203.0,0.0,1.0,62.9,3.0,41.0,7.0,5.45
1973,1973-09-30,25.299,16.0,30.0,53.33,230.0,1.0,1.0,75.7,2.0,17.0,7.67,6.83
1973,1973-10-07,25.305999999999997,6.0,13.0,46.15,73.0,0.0,0.0,63.9,3.0,28.0,5.62,5.62
1973,1973-10-14,25.313000000000002,8.0,18.0,44.44,79.0,0.0,2.0,17.8,3.0,21.0,4.39,-0.61
1973,1973-10-21,25.32,7.0,16.0,43.75,86.0,0.0,0.0,60.9,3.0,32.0,5.38,5.38
1973,1973-10-28,25.326999999999998,13.0,23.0,56.52,170.0,1.0,0.0,94.5,4.0,28.0,7.39,8.26
1973,1973-11-04,25.334,18.0,25.0,72.0,168.0,2.0,1.0,100.1,4.0,39.0,6.72,6.52
1973,1973-11-11,25.340999999999998,17.0,40.0,42.5,150.0,2.0,3.0,38.5,5.0,42.0,3.75,1.38
1973,1973-11-18,25.348000000000003,18.0,32.0,56.25,348.0,2.0,1.0,102.1,1.0,8.0,10.88,10.72
1973,1973-11-25,25.355,15.0,28.0,53.57,175.0,2.0,1.0,81.7,3.0,30.0,6.25,6.07
1973,1973-12-02,25.362,13.0,27.0,48.15,186.0,1.0,2.0,52.4,1.0,11.0,6.89,4.3
1973,1973-12-09,26.004,17.0,41.0,41.46,292.0,0.0,2.0,46.0,,,7.12,4.93
1973,1973-12-16,26.011,13.0,27.0,48.15,164.0,2.0,2.0,61.3,2.0,17.0,6.07,4.22
1974,1974-09-15,26.284000000000002,14.0,24.0,58.33,177.0,1.0,1.0,78.0,,,7.38,6.33
1974,1974-09-22,26.291,11.0,17.0,64.71,152.0,3.0,0.0,132.8,1.0,7.0,8.94,12.47
1974,1974-09-29,26.298000000000002,14.0,25.0,56.0,189.0,2.0,1.0,90.2,4.0,38.0,7.56,7.36
1974,1974-10-06,26.305,8.0,16.0,50.0,141.0,3.0,1.0,94.0,,,8.81,9.75
1974,1974-10-13,26.311999999999998,11.0,21.0,52.38,115.0,0.0,1.0,48.7,,,5.48,3.33
1974,1974-10-20,26.319000000000003,11.0,21.0,52.38,150.0,1.0,1.0,71.5,2.0,19.0,7.14,5.95
1974,1974-10-27,26.326,15.0,28.0,53.57,238.0,2.0,2.0,76.2,2.0,20.0,8.5,6.71
1974,1974-11-03,26.333000000000002,12.0,28.0,42.86,204.0,2.0,3.0,52.4,1.0,4.0,7.29,3.89
1974,1974-11-10,26.34,9.0,21.0,42.86,134.0,0.0,4.0,24.8,2.0,11.0,6.38,-2.19
1974,1974-11-17,26.346999999999998,11.0,32.0,34.38,121.0,0.0,4.0,6.9,1.0,1.0,3.78,-1.84
1974,1974-11-24,26.354,17.0,26.0,65.38,194.0,1.0,0.0,100.5,2.0,22.0,7.46,8.23
1974,1974-12-01,26.361,17.0,34.0,50.0,281.0,2.0,3.0,61.0,2.0,15.0,8.26,5.47
1974,1974-12-08,27.003,8.0,18.0,44.44,127.0,1.0,1.0,63.9,3.0,22.0,7.06,5.67
1974,1974-12-15,27.01,15.0,41.0,36.59,234.0,1.0,0.0,64.5,1.0,15.0,5.71,6.2
1975,1975-10-05,27.304000000000002,8.0,21.0,38.1,140.0,0.0,3.0,22.0,,,6.67,0.24
1975,1975-10-12,27.311,6.0,20.0,30.0,59.0,0.0,1.0,18.7,2.0,17.0,2.95,0.7
1975,1975-10-19,27.318,6.0,14.0,42.86,74.0,0.0,1.0,30.1,5.0,33.0,5.29,2.07
1975,1975-10-26,27.325,4.0,7.0,57.14,34.0,0.0,0.0,69.9,,,4.86,4.86
1975,1975-11-16,27.346,12.0,30.0,40.0,264.0,3.0,2.0,77.6,6.0,39.0,8.8,7.8
1976,1976-09-12,28.281999999999996,8.0,12.0,66.67,120.0,2.0,1.0,104.2,2.0,16.0,10.0,9.58
