Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2014,2014-09-29,22.331,6.0,7.0,85.71,70.0,1.0,0.0,147.9,1.0,6.0,10.0,12.86
2014,2014-10-05,22.337,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-10-26,22.358,3.0,3.0,100.0,22.0,0.0,0.0,97.2,1.0,11.0,7.33,7.33
2014,2014-11-16,23.014,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-12-14,23.041999999999998,,,,,,,,,,,
2014,2014-12-28,23.055999999999997,10.0,17.0,58.82,90.0,0.0,0.0,73.2,3.0,19.0,5.29,5.29
2015,2015-09-27,23.329,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-10-11,23.343000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-10-29,23.361,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-11-08,24.006,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2016-01-03,24.061999999999998,1.0,4.0,25.0,6.0,0.0,0.0,39.6,0.0,0.0,1.5,1.5
2016,2016-09-11,24.314,24.0,33.0,72.73,264.0,1.0,0.0,106.1,2.0,7.0,8.0,8.61
2016,2016-09-18,24.320999999999998,18.0,26.0,69.23,232.0,3.0,0.0,135.4,0.0,0.0,8.92,11.23
2016,2016-10-09,24.342,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2016,2016-10-30,24.363000000000003,0.0,0.0,,0.0,0.0,0.0,,1.0,8.0,,
2016,2016-12-24,25.052,1.0,2.0,50.0,6.0,0.0,0.0,56.2,0.0,0.0,3.0,3.0
2016,2017-01-01,25.06,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2017,2017-11-26,26.024,2.0,2.0,100.0,18.0,1.0,0.0,143.7,0.0,0.0,9.0,19.0
2017,2017-12-03,26.031,26.0,37.0,70.27,293.0,0.0,1.0,82.4,2.0,15.0,7.92,6.7
2017,2017-12-10,26.038,20.0,33.0,60.61,334.0,1.0,1.0,92.2,2.0,20.0,10.12,9.36
2017,2017-12-17,26.045,31.0,43.0,72.09,381.0,1.0,0.0,106.8,3.0,18.0,8.86,9.33
2017,2017-12-24,26.052,21.0,30.0,70.0,242.0,2.0,1.0,102.4,1.0,4.0,8.07,7.9
2017,2017-12-31,26.059,20.0,33.0,60.61,292.0,2.0,2.0,84.4,0.0,0.0,8.85,7.33
2018,2018-09-09,26.311,15.0,33.0,45.45,261.0,1.0,3.0,45.1,3.0,24.0,7.91,4.42
2018,2018-09-16,26.318,18.0,26.0,69.23,206.0,2.0,0.0,118.4,6.0,50.0,7.92,9.46
2018,2018-09-23,26.325,20.0,30.0,66.67,251.0,2.0,0.0,114.7,4.0,23.0,8.37,9.7
2019,2019-09-08,27.31,18.0,27.0,66.67,166.0,1.0,1.0,80.2,1.0,8.0,6.15,5.22
2019,2019-09-15,27.316999999999997,17.0,25.0,68.0,296.0,3.0,1.0,131.0,0.0,0.0,11.84,12.44
2019,2019-09-22,27.324,23.0,32.0,71.88,277.0,1.0,2.0,82.4,1.0,9.0,8.66,6.47
2019,2019-10-07,27.339000000000002,20.0,29.0,68.97,181.0,2.0,0.0,108.5,2.0,10.0,6.24,7.62
2019,2019-10-13,27.345,24.0,33.0,72.73,243.0,0.0,1.0,80.7,2.0,11.0,7.36,6.0
2019,2019-10-20,27.351999999999997,12.0,21.0,57.14,151.0,0.0,1.0,59.8,2.0,5.0,7.19,5.05
2019,2019-10-27,27.359,18.0,22.0,81.82,175.0,2.0,1.0,111.2,3.0,19.0,7.95,7.73
2019,2019-10-31,27.363000000000003,28.0,37.0,75.68,317.0,4.0,0.0,136.9,1.0,7.0,8.57,10.73
2019,2019-11-11,28.009,24.0,46.0,52.17,248.0,1.0,1.0,66.2,5.0,33.0,5.39,4.85
2019,2019-11-17,28.015,34.0,45.0,75.56,424.0,4.0,2.0,115.4,2.0,16.0,9.42,9.2
2019,2019-11-24,28.022,14.0,20.0,70.0,253.0,2.0,0.0,145.8,3.0,26.0,12.65,14.65
2019,2019-12-01,28.029,15.0,21.0,71.43,165.0,1.0,0.0,110.2,2.0,8.0,7.86,8.81
2019,2019-12-08,28.035999999999998,26.0,35.0,74.29,349.0,4.0,1.0,131.7,3.0,30.0,9.97,10.97
2019,2019-12-15,28.043000000000003,22.0,34.0,64.71,200.0,1.0,0.0,90.3,1.0,7.0,5.88,6.47
2019,2019-12-21,28.049,16.0,27.0,59.26,248.0,1.0,2.0,71.2,6.0,33.0,9.19,6.59
2019,2019-12-29,28.057,18.0,22.0,81.82,285.0,0.0,0.0,118.7,2.0,15.0,12.95,12.95
2020,2020-09-13,28.316,19.0,33.0,57.58,259.0,2.0,0.0,103.0,3.0,16.0,7.85,9.06
2020,2020-09-20,28.323,14.0,16.0,87.5,131.0,2.0,0.0,140.4,1.0,8.0,8.19,10.69
2020,2020-10-11,28.344,7.0,17.0,41.18,77.0,0.0,2.0,15.7,3.0,23.0,4.53,-0.76
2020,2020-10-18,28.351,23.0,33.0,69.7,268.0,3.0,0.0,124.3,0.0,0.0,8.12,9.94
2020,2020-10-25,28.358,20.0,25.0,80.0,277.0,0.0,2.0,79.5,1.0,7.0,11.08,7.48
2020,2020-11-01,28.365,11.0,16.0,68.75,84.0,0.0,1.0,55.2,3.0,23.0,5.25,2.44
