Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1973,1973-09-16,23.146,1.0,2.0,50.0,10.0,0.0,0.0,64.6,1.0,6.0,5.0,5.0
1973,1973-09-23,23.153000000000002,5.0,17.0,29.41,53.0,0.0,2.0,0.5,2.0,15.0,3.12,-2.18
1973,1973-09-30,23.16,7.0,17.0,41.18,74.0,0.0,1.0,30.0,1.0,10.0,4.35,1.71
1973,1973-10-07,23.166999999999998,6.0,9.0,66.67,63.0,0.0,0.0,86.8,2.0,16.0,7.0,7.0
1973,1973-10-14,23.174,7.0,13.0,53.85,57.0,1.0,1.0,58.8,1.0,5.0,4.38,2.46
1973,1973-10-21,23.180999999999997,3.0,9.0,33.33,25.0,0.0,1.0,2.8,3.0,20.0,2.78,-2.22
1973,1973-10-29,23.189,6.0,11.0,54.55,63.0,0.0,1.0,33.5,,,5.73,1.64
1973,1973-11-04,23.195,9.0,19.0,47.37,87.0,0.0,0.0,60.6,3.0,21.0,4.58,4.58
1973,1973-11-11,23.201999999999998,0.0,3.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-15.0
1973,1973-11-18,23.209,6.0,21.0,28.57,98.0,0.0,1.0,26.7,2.0,27.0,4.67,2.52
1973,1973-11-25,23.215999999999998,11.0,19.0,57.89,201.0,1.0,1.0,90.0,4.0,32.0,10.58,9.26
1973,1973-12-02,23.223000000000003,7.0,12.0,58.33,95.0,0.0,1.0,49.0,,,7.92,4.17
1973,1973-12-09,23.23,2.0,7.0,28.57,43.0,2.0,0.0,92.3,1.0,12.0,6.14,11.86
1973,1973-12-16,23.237,3.0,5.0,60.0,70.0,0.0,0.0,104.2,,,14.0,14.0
1974,1974-09-16,24.146,10.0,20.0,50.0,122.0,3.0,0.0,108.7,3.0,16.0,6.1,9.1
1974,1974-09-22,24.151999999999997,17.0,22.0,77.27,188.0,1.0,0.0,117.2,5.0,31.0,8.55,9.45
1974,1974-09-29,24.159000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1974,1974-10-06,24.166,13.0,16.0,81.25,175.0,1.0,1.0,107.0,2.0,18.0,10.94,9.38
1974,1974-10-13,24.173000000000002,11.0,27.0,40.74,155.0,1.0,1.0,56.9,3.0,30.0,5.74,4.81
1974,1974-10-20,24.18,8.0,12.0,66.67,153.0,3.0,0.0,149.3,2.0,18.0,12.75,17.75
1974,1974-10-27,24.186999999999998,8.0,17.0,47.06,103.0,0.0,0.0,66.5,1.0,3.0,6.06,6.06
1974,1974-11-03,24.194000000000003,16.0,24.0,66.67,247.0,1.0,2.0,79.7,3.0,23.0,10.29,7.38
1974,1974-11-10,24.201,10.0,28.0,35.71,110.0,0.0,6.0,8.6,3.0,19.0,3.93,-5.71
1974,1974-11-17,24.208000000000002,7.0,14.0,50.0,83.0,0.0,0.0,68.5,5.0,42.0,5.93,5.93
1974,1974-11-24,24.215,1.0,7.0,14.29,9.0,0.0,0.0,39.6,,,1.29,1.29
1974,1974-12-01,24.221999999999998,5.0,13.0,38.46,46.0,0.0,0.0,48.9,,,3.54,3.54
1974,1974-12-08,24.229,5.0,16.0,31.25,76.0,1.0,1.0,42.7,1.0,8.0,4.75,3.19
1974,1974-12-15,24.236,8.0,14.0,57.14,121.0,1.0,1.0,79.8,4.0,27.0,8.64,6.86
1975,1975-09-21,25.151,7.0,13.0,53.85,67.0,2.0,0.0,108.0,2.0,15.0,5.15,8.23
1975,1975-09-28,25.158,9.0,20.0,45.0,129.0,2.0,0.0,99.8,1.0,5.0,6.45,8.45
1975,1975-10-05,25.165,9.0,18.0,50.0,143.0,2.0,0.0,113.9,,,7.94,10.17
1975,1975-10-12,25.171999999999997,14.0,26.0,53.85,253.0,2.0,1.0,97.1,1.0,7.0,9.73,9.54
1975,1975-10-20,25.18,11.0,19.0,57.89,147.0,1.0,2.0,60.5,1.0,9.0,7.74,4.05
1975,1975-10-26,25.186,20.0,29.0,68.97,221.0,2.0,2.0,85.6,1.0,4.0,7.62,5.9
1975,1975-11-02,25.193,15.0,29.0,51.72,296.0,3.0,2.0,93.5,1.0,9.0,10.21,9.17
1975,1975-11-09,25.2,12.0,21.0,57.14,234.0,3.0,1.0,115.9,4.0,28.0,11.14,11.86
1975,1975-11-17,25.208000000000002,9.0,18.0,50.0,106.0,1.0,0.0,86.8,1.0,13.0,5.89,7.0
1975,1975-11-23,25.214000000000002,16.0,32.0,50.0,276.0,4.0,1.0,106.2,2.0,13.0,8.63,9.72
1975,1975-11-27,25.218000000000004,11.0,22.0,50.0,128.0,0.0,2.0,30.1,,,5.82,1.73
1975,1975-12-07,25.228,20.0,41.0,48.78,279.0,2.0,2.0,67.0,3.0,24.0,6.8,5.59
1975,1975-12-14,25.235,10.0,17.0,58.82,96.0,1.0,1.0,69.7,2.0,18.0,5.65,4.18
1975,1975-12-20,25.241,6.0,16.0,37.5,51.0,0.0,3.0,7.0,1.0,8.0,3.19,-5.25
1976,1976-09-13,26.143,13.0,28.0,46.43,282.0,3.0,0.0,118.5,1.0,7.0,10.07,12.21
1976,1976-09-19,26.149,9.0,24.0,37.5,90.0,0.0,0.0,49.0,1.0,10.0,3.75,3.75
1976,1976-09-26,26.156,12.0,22.0,54.55,188.0,2.0,0.0,113.4,1.0,2.0,8.55,10.36
1976,1976-10-03,26.163,14.0,24.0,58.33,184.0,3.0,0.0,122.2,1.0,4.0,7.67,10.17
