Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2008,2008-09-07,23.235,15.0,29.0,51.72,129.0,0.0,0.0,63.7,0.0,0.0,4.45,4.45
2008,2008-09-21,23.249000000000002,13.0,19.0,68.42,129.0,0.0,2.0,47.8,1.0,7.0,6.79,2.05
2008,2008-09-29,23.256999999999998,16.0,31.0,51.61,192.0,1.0,0.0,81.7,5.0,52.0,6.19,6.84
2008,2008-10-05,23.263,18.0,27.0,66.67,153.0,0.0,2.0,50.4,0.0,0.0,5.67,2.33
2008,2008-10-12,23.27,28.0,38.0,73.68,241.0,0.0,3.0,57.0,4.0,32.0,6.34,2.79
2008,2008-10-19,23.276999999999997,17.0,23.0,73.91,232.0,1.0,0.0,120.2,2.0,14.0,10.09,10.96
2008,2008-10-26,23.284000000000002,12.0,24.0,50.0,140.0,1.0,0.0,81.9,0.0,0.0,5.83,6.67
2008,2008-11-02,23.291,17.0,29.0,58.62,248.0,2.0,0.0,109.6,2.0,12.0,8.55,9.93
2008,2008-11-09,23.298000000000002,15.0,23.0,65.22,185.0,2.0,0.0,118.9,3.0,28.0,8.04,9.78
2008,2008-11-16,23.305,20.0,33.0,60.61,164.0,1.0,2.0,58.1,1.0,10.0,4.97,2.85
2008,2008-11-23,23.311999999999998,12.0,26.0,46.15,183.0,2.0,0.0,95.5,3.0,45.0,7.04,8.58
2008,2008-11-30,23.319000000000003,19.0,29.0,65.52,280.0,2.0,0.0,119.9,2.0,8.0,9.66,11.03
2008,2008-12-07,23.326,10.0,21.0,47.62,134.0,1.0,1.0,64.4,0.0,0.0,6.38,5.19
2008,2008-12-14,23.333000000000002,11.0,28.0,39.29,115.0,0.0,2.0,22.2,2.0,25.0,4.11,0.89
2008,2008-12-20,23.339000000000002,17.0,25.0,68.0,149.0,1.0,0.0,96.9,5.0,26.0,5.96,6.76
2008,2008-12-28,23.346999999999998,17.0,23.0,73.91,297.0,0.0,0.0,115.8,2.0,17.0,12.91,12.91
2009,2009-09-13,24.24,26.0,43.0,60.47,307.0,3.0,1.0,95.8,1.0,4.0,7.14,7.49
2009,2009-09-20,24.247,17.0,26.0,65.38,190.0,2.0,1.0,96.6,1.0,9.0,7.31,7.12
2009,2009-09-27,24.254,25.0,35.0,71.43,342.0,1.0,0.0,111.8,1.0,9.0,9.77,10.34
