Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1979,1979-09-02,23.083000000000002,,,,,,,,,,,
1979,1979-09-09,23.09,,,,,,,,,,,
1979,1979-09-16,23.096999999999998,1.0,1.0,100.0,8.0,0.0,0.0,100.0,,,8.0,8.0
1979,1979-09-23,23.104,,,,,,,,,,,
1979,1979-09-30,23.111,,,,,,,,,,,
1979,1979-10-07,23.118000000000002,,,,,,,,,,,
1979,1979-10-14,23.125,,,,,,,,,,,
1979,1979-10-21,23.131999999999998,1.0,1.0,100.0,-8.0,0.0,0.0,79.2,,,-8.0,-8.0
1979,1979-10-28,23.139,,,,,,,,,,,
1979,1979-11-04,23.146,,,,,,,,,,,
1979,1979-11-11,23.153000000000002,,,,,,,,,,,
1979,1979-11-18,23.16,3.0,5.0,60.0,30.0,1.0,0.0,116.7,,,6.0,10.0
1979,1979-11-25,23.166999999999998,,,,,,,,,,,
1979,1979-12-02,23.174,5.0,12.0,41.67,36.0,0.0,0.0,49.3,,,3.0,3.0
1979,1979-12-09,23.180999999999997,3.0,4.0,75.0,30.0,0.0,0.0,95.8,,,7.5,7.5
1979,1979-12-16,23.188000000000002,,,,,,,,,,,
1980,1980-09-07,24.088,,,,,,,,,,,
1980,1980-09-14,24.095,,,,,,,,,,,
1980,1980-09-21,24.101999999999997,4.0,6.0,66.67,60.0,2.0,0.0,138.9,,,10.0,16.67
1980,1980-09-28,24.109,0.0,0.0,,0.0,0.0,0.0,,,,,
1980,1980-10-05,24.116,21.0,33.0,63.64,253.0,2.0,1.0,94.6,1.0,10.0,7.67,7.52
1980,1980-10-19,24.13,21.0,37.0,56.76,252.0,2.0,2.0,73.3,2.0,22.0,6.81,5.46
1980,1980-10-26,24.136999999999997,24.0,31.0,77.42,200.0,1.0,1.0,90.8,,,6.45,5.65
1980,1980-11-02,24.144000000000002,6.0,11.0,54.55,51.0,0.0,0.0,66.9,1.0,3.0,4.64,4.64
1980,1980-11-09,24.151,,,,,,,,,,,
1980,1980-11-16,24.158,3.0,4.0,75.0,35.0,0.0,0.0,101.0,,,8.75,8.75
1980,1980-11-23,24.165,9.0,15.0,60.0,151.0,1.0,2.0,76.7,1.0,10.0,10.07,5.4
1980,1980-11-30,24.171999999999997,14.0,23.0,60.87,123.0,3.0,1.0,96.6,1.0,3.0,5.35,6.0
1980,1980-12-07,24.179000000000002,24.0,36.0,66.67,285.0,2.0,0.0,109.1,5.0,31.0,7.92,9.03
1980,1980-12-14,24.186,25.0,41.0,60.98,222.0,1.0,2.0,63.3,2.0,10.0,5.41,3.71
1980,1980-12-21,24.193,25.0,36.0,69.44,163.0,1.0,0.0,88.1,2.0,11.0,4.53,5.08
1981,1981-09-06,25.087,18.0,28.0,64.29,195.0,1.0,1.0,81.7,4.0,19.0,6.96,6.07
1981,1981-09-13,25.094,20.0,32.0,62.5,287.0,3.0,0.0,122.8,0.0,0.0,8.97,10.84
1981,1981-09-20,25.101,24.0,34.0,70.59,274.0,2.0,2.0,89.6,1.0,1.0,8.06,6.59
1981,1981-09-27,25.108,16.0,22.0,72.73,175.0,1.0,1.0,92.0,1.0,7.0,7.95,6.82
1981,1981-10-04,25.115,15.0,28.0,53.57,193.0,0.0,1.0,60.6,2.0,25.0,6.89,5.29
1981,1981-10-11,25.122,19.0,29.0,65.52,279.0,2.0,0.0,119.8,0.0,0.0,9.62,11.0
1981,1981-10-18,25.129,23.0,32.0,71.88,220.0,0.0,0.0,90.6,1.0,9.0,6.88,6.88
1981,1981-10-25,25.136,18.0,32.0,56.25,287.0,2.0,0.0,107.2,3.0,22.0,8.97,10.22
1981,1981-11-01,25.143,22.0,37.0,59.46,205.0,1.0,2.0,61.2,1.0,10.0,5.54,3.65
1981,1981-11-08,25.15,16.0,30.0,53.33,223.0,2.0,1.0,85.8,2.0,18.0,7.43,7.27
1981,1981-11-15,25.156999999999996,24.0,42.0,57.14,213.0,0.0,2.0,51.0,3.0,26.0,5.07,2.93
1981,1981-11-22,25.164,19.0,30.0,63.33,283.0,0.0,1.0,80.3,3.0,24.0,9.43,7.93
