Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1974,1974-09-15,25.006,,,,,,,,,,,
1974,1974-09-30,25.021,3.0,3.0,100.0,22.0,0.0,0.0,97.2,,,7.33,7.33
1974,1974-10-20,25.041,0.0,0.0,,0.0,0.0,0.0,,,,,
1974,1974-10-27,25.048000000000002,0.0,0.0,,0.0,0.0,0.0,,1.0,3.0,,
1974,1974-11-17,25.069000000000003,0.0,0.0,,0.0,0.0,0.0,,,,,
1974,1974-11-24,25.076,0.0,0.0,,0.0,0.0,0.0,,,,,
1974,1974-11-28,25.08,0.0,0.0,,0.0,0.0,0.0,,,,,
1974,1974-12-09,25.090999999999998,0.0,1.0,0.0,0.0,0.0,0.0,39.6,,,0.0,0.0
1974,1974-12-15,25.096999999999998,6.0,7.0,85.71,123.0,1.0,0.0,158.3,1.0,8.0,17.57,20.43
1975,1975-09-21,26.011999999999997,,,,,,,,,,,
1975,1975-09-28,26.019000000000002,,,,,,,,,,,
1975,1975-10-05,26.026,,,,,,,,,,,
1975,1975-10-13,26.034000000000002,1.0,1.0,100.0,30.0,1.0,0.0,158.3,,,30.0,50.0
1975,1975-10-19,26.04,,,,,,,,,,,
1975,1975-10-26,26.046999999999997,,,,,,,,,,,
1975,1975-11-02,26.054000000000002,,,,,,,,,,,
1975,1975-11-09,26.061,0.0,0.0,,0.0,0.0,0.0,,,,,
1975,1975-11-16,26.068,,,,,,,,,,,
1975,1975-11-23,26.075,1.0,1.0,100.0,11.0,0.0,0.0,112.5,,,11.0,11.0
1975,1975-11-30,26.081999999999997,,,,,,,,,,,
1975,1975-12-07,26.089000000000002,,,,,,,,,,,
1975,1975-12-13,26.095,,,,,,,,,,,
1975,1975-12-21,26.103,8.0,20.0,40.0,55.0,0.0,3.0,8.3,2.0,18.0,2.75,-4.0
1976,1976-09-12,27.003,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,6.0,0.0,0.0
1976,1976-09-19,27.01,,,,,,,,,,,
1976,1976-09-27,27.018,0.0,0.0,,0.0,0.0,0.0,,,,,
1976,1976-10-03,27.024,6.0,15.0,40.0,60.0,1.0,3.0,34.7,3.0,19.0,4.0,-3.67
1976,1976-10-10,27.031,20.0,37.0,54.05,270.0,2.0,2.0,73.0,1.0,6.0,7.3,5.95
1976,1976-10-17,27.038,9.0,20.0,45.0,129.0,1.0,1.0,62.3,3.0,31.0,6.45,5.2
1976,1976-10-25,27.046,5.0,12.0,41.67,50.0,0.0,0.0,54.2,7.0,55.0,4.17,4.17
1976,1976-10-31,27.052,3.0,8.0,37.5,23.0,1.0,1.0,45.8,4.0,30.0,2.88,-0.25
1976,1976-11-07,27.059,20.0,32.0,62.5,302.0,3.0,2.0,98.7,2.0,19.0,9.44,8.5
1976,1976-11-14,27.066,12.0,30.0,40.0,153.0,0.0,1.0,42.8,1.0,6.0,5.1,3.6
1976,1976-11-21,27.073,,,,,,,,,,,
1976,1976-11-28,27.08,,,,,,,,,,,
1976,1976-12-05,27.087,4.0,8.0,50.0,49.0,0.0,0.0,69.3,,,6.13,6.13
1976,1976-12-12,27.094,,,,,,,,,,,
1977,1977-09-18,28.009,,,,,,,,,,,
1977,1977-09-25,28.016,,,,,,,,,,,
1977,1977-10-02,28.023000000000003,,,,,,,,,,,
1977,1977-10-09,28.03,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-16,28.037,3.0,10.0,30.0,19.0,1.0,1.0,33.3,4.0,34.0,1.9,-0.6
1977,1977-10-23,28.044,0.0,0.0,,0.0,0.0,0.0,,,,,
1977,1977-10-30,28.051,16.0,34.0,47.06,218.0,2.0,1.0,75.4,5.0,24.0,6.41,6.26
1977,1977-11-07,28.059,11.0,27.0,40.74,168.0,0.0,2.0,31.1,5.0,55.0,6.22,2.89
1977,1977-11-13,28.065,15.0,27.0,55.56,187.0,2.0,2.0,71.1,8.0,55.0,6.93,5.07
1977,1977-11-21,28.073,10.0,21.0,47.62,124.0,1.0,1.0,62.4,4.0,29.0,5.9,4.71
1977,1977-11-27,28.079,17.0,35.0,48.57,231.0,0.0,1.0,58.2,3.0,30.0,6.6,5.31
1977,1977-12-04,28.086,12.0,28.0,42.86,150.0,1.0,1.0,57.1,1.0,14.0,5.36,4.46
1977,1977-12-10,28.092,,,,,,,,,,,
1977,1977-12-17,28.099,,,,,,,,,,,
1978,1978-09-03,28.359,10.0,24.0,41.67,184.0,1.0,1.0,65.3,1.0,9.0,7.67,6.63
1978,1978-09-10,29.000999999999998,14.0,24.0,58.33,226.0,3.0,1.0,112.2,3.0,27.0,9.42,10.04
1978,1978-09-17,29.008000000000003,5.0,12.0,41.67,59.0,2.0,0.0,96.9,1.0,14.0,4.92,8.25
1978,1978-09-24,29.015,21.0,30.0,70.0,209.0,2.0,0.0,111.7,3.0,38.0,6.97,8.3
1978,1978-10-02,29.023000000000003,11.0,22.0,50.0,156.0,0.0,1.0,54.4,3.0,32.0,7.09,5.05
1978,1978-10-08,29.029,12.0,27.0,44.44,220.0,2.0,2.0,66.9,1.0,12.0,8.15,6.3
1978,1978-10-15,29.035999999999998,8.0,21.0,38.1,163.0,0.0,2.0,26.6,3.0,25.0,7.76,3.48
1978,1978-10-22,29.043000000000003,15.0,38.0,39.47,169.0,0.0,3.0,20.6,2.0,17.0,4.45,0.89
1978,1978-10-29,29.05,,,,,,,,,,,
1978,1978-11-06,29.058000000000003,6.0,12.0,50.0,92.0,0.0,0.0,75.7,1.0,8.0,7.67,7.67
1978,1978-11-12,29.064,22.0,35.0,62.86,270.0,0.0,0.0,86.6,5.0,51.0,7.71,7.71
1978,1978-11-19,29.070999999999998,16.0,39.0,41.03,267.0,2.0,3.0,49.8,9.0,74.0,6.85,4.41
1978,1978-11-23,29.075,10.0,24.0,41.67,150.0,1.0,0.0,76.7,3.0,30.0,6.25,7.08
1978,1978-12-03,29.085,12.0,28.0,42.86,177.0,0.0,4.0,24.6,2.0,10.0,6.32,-0.11
1978,1978-12-10,29.092,12.0,33.0,36.36,144.0,0.0,0.0,50.6,4.0,35.0,4.36,4.36
1978,1978-12-16,29.098000000000003,13.0,21.0,61.9,107.0,0.0,1.0,55.1,1.0,9.0,5.1,2.95
1979,1979-09-02,29.358,7.0,14.0,50.0,123.0,2.0,1.0,90.2,2.0,19.0,8.79,8.43
1979,1979-09-09,30.0,13.0,19.0,68.42,116.0,2.0,0.0,119.6,2.0,7.0,6.11,8.21
1979,1979-09-17,30.008000000000003,18.0,28.0,64.29,153.0,1.0,2.0,60.6,1.0,12.0,5.46,2.96
1979,1979-09-23,30.014,8.0,15.0,53.33,91.0,1.0,0.0,94.0,,,6.07,7.4
