Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-09-08,23.322,4.0,11.0,36.36,41.0,0.0,0.0,47.9,0.0,0.0,3.73,3.73
2002,2002-09-15,23.329,3.0,7.0,42.86,11.0,0.0,1.0,10.7,0.0,0.0,1.57,-4.86
2002,2002-09-22,23.336,15.0,35.0,42.86,182.0,2.0,4.0,38.9,1.0,6.0,5.2,1.2
2002,2002-09-29,23.343000000000004,20.0,35.0,57.14,267.0,1.0,0.0,91.0,0.0,0.0,7.63,8.2
2002,2002-10-13,23.357,25.0,41.0,60.98,309.0,2.0,1.0,90.4,1.0,8.0,7.54,7.41
2002,2002-10-20,23.364,16.0,29.0,55.17,199.0,0.0,0.0,76.7,2.0,29.0,6.86,6.86
2002,2002-10-27,24.006,20.0,42.0,47.62,199.0,1.0,1.0,59.5,0.0,0.0,4.74,4.14
2002,2002-11-03,24.013,14.0,33.0,42.42,104.0,0.0,2.0,25.3,1.0,8.0,3.15,0.42
2002,2002-11-10,24.02,20.0,44.0,45.45,236.0,2.0,2.0,58.5,0.0,0.0,5.36,4.23
2002,2002-11-17,24.026999999999997,15.0,30.0,50.0,171.0,2.0,1.0,75.8,0.0,0.0,5.7,5.53
2002,2002-11-24,24.034000000000002,21.0,40.0,52.5,213.0,1.0,1.0,65.9,2.0,14.0,5.33,4.7
2002,2002-11-28,24.038,22.0,44.0,50.0,210.0,0.0,3.0,35.2,0.0,0.0,4.77,1.7
2002,2002-12-08,24.048000000000002,20.0,37.0,54.05,152.0,1.0,0.0,73.3,0.0,0.0,4.11,4.65
2002,2002-12-15,24.055,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,10.0,0.0,0.0
2003,2003-09-07,24.320999999999998,17.0,30.0,56.67,195.0,4.0,0.0,116.0,,,6.5,9.17
2003,2003-09-14,24.328000000000003,26.0,55.0,47.27,241.0,0.0,3.0,37.0,1.0,4.0,4.38,1.93
2003,2003-09-21,24.335,24.0,42.0,57.14,235.0,0.0,3.0,43.3,1.0,1.0,5.6,2.38
2003,2003-09-28,24.342,15.0,33.0,45.45,149.0,2.0,0.0,79.0,1.0,8.0,4.52,5.73
2003,2003-10-05,24.349,19.0,35.0,54.29,200.0,1.0,2.0,56.8,,,5.71,3.71
2003,2003-10-19,24.363000000000003,5.0,13.0,38.46,30.0,0.0,2.0,7.1,1.0,7.0,2.31,-4.62
2003,2003-10-26,25.005,23.0,40.0,57.5,180.0,1.0,2.0,56.2,,,4.5,2.75
2003,2003-11-02,25.011999999999997,13.0,21.0,61.9,117.0,1.0,1.0,72.9,,,5.57,4.38
2003,2003-11-09,25.019000000000002,24.0,38.0,63.16,238.0,0.0,0.0,80.8,1.0,7.0,6.26,6.26
2003,2003-11-16,25.026,26.0,48.0,54.17,285.0,2.0,2.0,68.5,1.0,9.0,5.94,4.9
2003,2003-11-23,25.033,21.0,41.0,51.22,167.0,1.0,4.0,30.3,,,4.07,0.17
2003,2003-11-27,25.037,21.0,32.0,65.63,183.0,0.0,1.0,67.6,2.0,11.0,5.72,4.31
2003,2003-12-07,25.046999999999997,26.0,46.0,56.52,208.0,1.0,0.0,75.3,,,4.52,4.96
2003,2003-12-14,25.054000000000002,20.0,36.0,55.56,197.0,1.0,1.0,68.9,,,5.47,4.78
2003,2003-12-21,25.061,3.0,8.0,37.5,17.0,0.0,0.0,45.8,,,2.13,2.13
2003,2003-12-28,25.068,26.0,36.0,72.22,238.0,3.0,1.0,106.0,1.0,8.0,6.61,7.03
2004,2004-09-12,25.326999999999998,14.0,26.0,53.85,187.0,1.0,1.0,73.7,2.0,2.0,7.19,6.23
2004,2004-09-19,25.334,18.0,25.0,72.0,176.0,3.0,1.0,114.3,2.0,4.0,7.04,7.64
2004,2004-09-26,25.340999999999998,21.0,38.0,55.26,199.0,2.0,0.0,87.5,5.0,20.0,5.24,6.29
2004,2004-10-10,25.355,16.0,24.0,66.67,146.0,1.0,0.0,96.9,3.0,20.0,6.08,6.92
2004,2004-10-17,25.362,12.0,23.0,52.17,101.0,1.0,1.0,60.2,1.0,9.0,4.39,3.3
2004,2004-10-24,26.003,18.0,22.0,81.82,230.0,2.0,0.0,140.5,3.0,20.0,10.45,12.27
2004,2004-10-31,26.01,19.0,32.0,59.38,255.0,2.0,1.0,92.6,1.0,10.0,7.97,7.81
2004,2004-11-07,26.017,26.0,52.0,50.0,269.0,1.0,1.0,63.7,2.0,11.0,5.17,4.69
2004,2004-11-14,26.024,11.0,33.0,33.33,121.0,0.0,1.0,32.5,2.0,12.0,3.67,2.3
2004,2004-11-21,26.031,12.0,19.0,63.16,91.0,1.0,1.0,70.3,3.0,24.0,4.79,3.47
2004,2004-11-25,26.035,14.0,23.0,60.87,156.0,0.0,0.0,81.1,2.0,3.0,6.78,6.78
2004,2004-12-05,26.045,15.0,27.0,55.56,196.0,1.0,1.0,75.5,2.0,13.0,7.26,6.33
2004,2004-12-12,26.052,5.0,22.0,22.73,47.0,0.0,0.0,39.6,2.0,12.0,2.14,2.14
2004,2004-12-19,26.059,25.0,44.0,56.82,361.0,2.0,2.0,79.8,2.0,11.0,8.2,7.07
2004,2004-12-26,26.066,15.0,30.0,50.0,166.0,0.0,1.0,52.9,2.0,10.0,5.53,4.03
2004,2005-01-02,26.073,33.0,49.0,67.35,346.0,2.0,1.0,92.7,2.0,15.0,7.06,6.96
2005,2005-09-11,26.325,15.0,28.0,53.57,167.0,2.0,0.0,95.4,2.0,15.0,5.96,7.39
2005,2005-09-18,26.331999999999997,19.0,37.0,51.35,196.0,1.0,5.0,36.4,3.0,11.0,5.3,-0.24
2005,2005-10-02,26.346,15.0,27.0,55.56,137.0,0.0,0.0,69.5,2.0,2.0,5.07,5.07
2005,2005-10-09,26.353,10.0,23.0,43.48,97.0,1.0,2.0,34.1,1.0,0.0,4.22,1.17
2005,2005-10-16,26.36,17.0,28.0,60.71,201.0,0.0,1.0,67.7,6.0,44.0,7.18,5.57
2005,2005-10-23,27.002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2005,2005-11-06,27.016,28.0,48.0,58.33,263.0,1.0,2.0,63.1,4.0,32.0,5.48,4.02
2005,2005-11-13,27.023000000000003,21.0,31.0,67.74,231.0,3.0,0.0,121.8,1.0,5.0,7.45,9.39
2005,2005-11-20,27.03,17.0,25.0,68.0,169.0,0.0,0.0,86.9,1.0,0.0,6.76,6.76
2005,2005-11-24,27.034000000000002,6.0,13.0,46.15,61.0,0.0,1.0,28.0,2.0,16.0,4.69,1.23
2005,2005-12-18,27.058000000000003,6.0,7.0,85.71,77.0,1.0,0.0,152.1,0.0,0.0,11.0,13.86
2005,2005-12-24,27.064,17.0,30.0,56.67,210.0,0.0,1.0,64.6,1.0,2.0,7.0,5.5
2005,2006-01-01,27.072,17.0,33.0,51.52,212.0,3.0,0.0,102.1,1.0,9.0,6.42,8.24
2006,2006-10-08,27.351999999999997,26.0,41.0,63.41,232.0,0.0,2.0,58.2,1.0,11.0,5.66,3.46
2006,2006-10-15,27.359,27.0,43.0,62.79,266.0,1.0,2.0,68.6,0.0,0.0,6.19,4.56
2006,2006-10-22,28.000999999999998,33.0,62.0,53.23,414.0,2.0,3.0,64.9,4.0,33.0,6.68,5.15
2006,2006-11-05,28.015,16.0,32.0,50.0,137.0,3.0,2.0,66.8,0.0,0.0,4.28,3.34
2006,2006-11-12,28.022,19.0,35.0,54.29,201.0,0.0,0.0,71.2,1.0,12.0,5.74,5.74
2006,2006-11-19,28.029,26.0,42.0,61.9,254.0,1.0,1.0,76.9,1.0,7.0,6.05,5.45
2006,2006-11-23,28.033,19.0,29.0,65.52,213.0,3.0,1.0,107.4,1.0,4.0,7.34,7.86
2006,2006-12-03,28.043000000000003,27.0,42.0,64.29,267.0,1.0,2.0,70.2,4.0,26.0,6.36,4.69
2006,2006-12-10,28.05,18.0,30.0,60.0,190.0,1.0,0.0,89.6,1.0,6.0,6.33,7.0
2006,2006-12-17,28.057,5.0,17.0,29.41,20.0,0.0,2.0,0.0,1.0,9.0,1.18,-4.12
2006,2006-12-25,28.065,7.0,15.0,46.67,42.0,0.0,0.0,53.5,1.0,8.0,2.8,2.8
2007,2007-09-09,28.323,23.0,32.0,71.88,199.0,0.0,2.0,61.8,6.0,30.0,6.22,3.41
2007,2007-09-16,28.33,12.0,20.0,60.0,200.0,0.0,0.0,93.7,7.0,34.0,10.0,10.0
2007,2007-09-23,28.337,31.0,44.0,70.45,361.0,2.0,0.0,110.1,1.0,10.0,8.2,9.11
2007,2007-09-30,28.344,23.0,29.0,79.31,223.0,2.0,0.0,121.7,2.0,9.0,7.69,9.07
2007,2007-10-07,28.351,16.0,31.0,51.61,87.0,0.0,1.0,44.2,1.0,8.0,2.81,1.35
2007,2007-10-15,28.359,18.0,39.0,46.15,209.0,0.0,1.0,52.2,4.0,28.0,5.36,4.21
2007,2007-10-21,29.0,12.0,18.0,66.67,128.0,0.0,0.0,87.3,2.0,7.0,7.11,7.11
2007,2007-11-04,29.014,14.0,25.0,56.0,138.0,0.0,1.0,55.1,1.0,7.0,5.52,3.72
2007,2007-11-11,29.021,19.0,26.0,73.08,192.0,1.0,0.0,106.6,2.0,12.0,7.38,8.15
2007,2007-11-18,29.028000000000002,16.0,20.0,80.0,139.0,1.0,0.0,112.3,1.0,7.0,6.95,7.95
2007,2007-11-22,29.031999999999996,14.0,30.0,46.67,155.0,1.0,2.0,45.8,2.0,17.0,5.17,2.83
2007,2007-12-02,29.041999999999998,17.0,34.0,50.0,184.0,0.0,1.0,54.0,3.0,23.0,5.41,4.09
