Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1983,1983-09-04,23.068,1.0,8.0,12.5,14.0,0.0,1.0,0.0,4.0,26.0,1.75,-3.88
1983,1983-09-11,23.075,9.0,21.0,42.86,106.0,0.0,0.0,58.8,3.0,19.0,5.05,5.05
1983,1983-09-18,23.081999999999997,18.0,33.0,54.55,193.0,1.0,2.0,56.8,3.0,17.0,5.85,3.73
1983,1983-09-25,23.089000000000002,6.0,11.0,54.55,71.0,0.0,1.0,36.6,2.0,20.0,6.45,2.36
1983,1983-10-02,23.096,4.0,10.0,40.0,36.0,0.0,1.0,10.8,3.0,25.0,3.6,-0.9
1983,1983-11-06,23.131,8.0,15.0,53.33,134.0,1.0,0.0,106.0,2.0,17.0,8.93,10.27
1983,1983-11-13,23.138,11.0,31.0,35.48,190.0,0.0,1.0,43.8,2.0,21.0,6.13,4.68
1983,1983-11-27,23.151999999999997,14.0,28.0,50.0,147.0,0.0,3.0,26.0,4.0,35.0,5.25,0.43
1983,1983-12-04,23.159000000000002,16.0,24.0,66.67,284.0,2.0,1.0,117.4,0.0,0.0,11.83,11.63
1983,1983-12-11,23.166,23.0,44.0,52.27,345.0,3.0,0.0,101.0,5.0,38.0,7.84,9.2
1983,1983-12-18,23.173000000000002,13.0,34.0,38.24,143.0,0.0,4.0,11.9,0.0,0.0,4.21,-1.09
1984,1984-09-02,24.066,8.0,13.0,61.54,127.0,1.0,1.0,87.7,1.0,4.0,9.77,7.85
1984,1984-09-09,24.073,2.0,3.0,66.67,11.0,0.0,0.0,72.9,0.0,0.0,3.67,3.67
1984,1984-09-16,24.08,15.0,35.0,42.86,170.0,2.0,1.0,65.2,1.0,6.0,4.86,4.71
1984,1984-09-23,24.087,17.0,29.0,58.62,172.0,0.0,2.0,46.9,4.0,15.0,5.93,2.83
1984,1984-09-30,24.094,14.0,26.0,53.85,139.0,0.0,1.0,53.2,2.0,18.0,5.35,3.62
1984,1984-10-07,24.101,16.0,22.0,72.73,210.0,1.0,1.0,98.7,3.0,31.0,9.55,8.41
1984,1984-10-15,24.109,11.0,20.0,55.0,101.0,0.0,1.0,48.1,0.0,0.0,5.05,2.8
1984,1984-10-21,24.115,12.0,23.0,52.17,148.0,2.0,0.0,101.4,1.0,1.0,6.43,8.17
1984,1984-11-04,24.129,26.0,40.0,65.0,315.0,3.0,1.0,103.6,3.0,24.0,7.88,8.25
1984,1984-11-11,24.136,19.0,35.0,54.29,188.0,0.0,0.0,69.7,3.0,11.0,5.37,5.37
1984,1984-11-18,24.143,16.0,19.0,84.21,218.0,5.0,0.0,154.1,0.0,0.0,11.47,16.74
1984,1984-11-25,24.15,15.0,27.0,55.56,275.0,2.0,1.0,100.1,2.0,17.0,10.19,10.0
1984,1984-12-02,24.156999999999996,16.0,36.0,44.44,183.0,1.0,1.0,58.0,3.0,19.0,5.08,4.39
1984,1984-12-09,24.164,18.0,31.0,58.06,193.0,0.0,1.0,63.0,1.0,12.0,6.23,4.77
1984,1984-12-15,24.17,9.0,21.0,42.86,148.0,1.0,4.0,43.5,0.0,0.0,7.05,-0.57
1985,1985-09-08,25.072,18.0,38.0,47.37,229.0,2.0,1.0,73.2,2.0,15.0,6.03,5.89
1985,1985-09-15,25.079,28.0,43.0,65.12,353.0,4.0,1.0,111.9,3.0,26.0,8.21,9.02
1985,1985-09-22,25.086,19.0,38.0,50.0,291.0,3.0,2.0,80.0,2.0,11.0,7.66,6.87
1985,1985-09-29,25.093000000000004,18.0,37.0,48.65,250.0,0.0,1.0,59.5,3.0,24.0,6.76,5.54
1985,1985-10-06,25.1,17.0,35.0,48.57,256.0,3.0,3.0,65.9,2.0,15.0,7.31,5.17
1985,1985-10-13,25.107,17.0,36.0,47.22,239.0,0.0,1.0,57.5,2.0,16.0,6.64,5.39
1985,1985-10-20,25.114,22.0,43.0,51.16,166.0,0.0,0.0,60.8,3.0,18.0,3.86,3.86
1985,1985-10-27,25.121,13.0,20.0,65.0,116.0,0.0,0.0,80.4,2.0,5.0,5.8,5.8
1985,1985-11-03,25.128,20.0,35.0,57.14,222.0,0.0,2.0,52.3,4.0,45.0,6.34,3.77
1985,1985-11-11,25.136,20.0,42.0,47.62,215.0,2.0,1.0,69.0,0.0,0.0,5.12,5.0
1985,1985-11-17,25.142,28.0,50.0,56.0,261.0,1.0,2.0,60.5,3.0,21.0,5.22,3.82
1985,1985-11-24,25.149,19.0,32.0,59.38,164.0,3.0,0.0,104.2,4.0,26.0,5.13,7.0
1985,1985-12-01,25.156,24.0,41.0,58.54,238.0,1.0,1.0,73.0,0.0,0.0,5.8,5.2
1985,1985-12-08,25.163,18.0,36.0,50.0,158.0,1.0,3.0,36.6,3.0,38.0,4.39,1.19
1985,1985-12-14,25.169,22.0,37.0,59.46,301.0,1.0,5.0,55.0,0.0,0.0,8.14,2.59
1985,1985-12-20,25.175,24.0,42.0,57.14,432.0,1.0,0.0,100.5,5.0,47.0,10.29,10.76
1986,1986-09-07,26.070999999999998,21.0,35.0,60.0,239.0,2.0,0.0,99.6,2.0,18.0,6.83,7.97
1986,1986-09-15,26.079,21.0,38.0,55.26,243.0,3.0,0.0,101.1,1.0,8.0,6.39,7.97
1986,1986-09-21,26.085,7.0,12.0,58.33,96.0,1.0,0.0,111.8,3.0,25.0,8.0,9.67
1986,1986-09-28,26.092,18.0,34.0,52.94,188.0,1.0,1.0,66.8,1.0,5.0,5.53,4.79
1986,1986-10-05,26.099,12.0,24.0,50.0,200.0,3.0,0.0,118.1,1.0,2.0,8.33,10.83
1986,1986-10-12,26.105999999999998,20.0,34.0,58.82,242.0,1.0,1.0,78.3,0.0,0.0,7.12,6.38
1986,1986-10-20,26.114,13.0,28.0,46.43,145.0,0.0,1.0,47.5,5.0,27.0,5.18,3.57
1986,1986-10-26,26.12,18.0,32.0,56.25,321.0,1.0,1.0,88.2,0.0,0.0,10.03,9.25
1986,1986-11-02,26.127,11.0,12.0,91.67,141.0,1.0,0.0,143.4,2.0,9.0,11.75,13.42
1986,1986-11-09,26.134,13.0,31.0,41.94,196.0,0.0,3.0,23.8,2.0,12.0,6.32,1.97
1986,1986-11-16,26.141,15.0,29.0,51.72,196.0,0.0,0.0,73.3,3.0,34.0,6.76,6.76
1986,1986-11-23,26.148000000000003,29.0,47.0,61.7,336.0,0.0,2.0,65.6,2.0,11.0,7.15,5.23
1986,1986-11-30,26.155,22.0,34.0,64.71,228.0,3.0,0.0,113.4,1.0,9.0,6.71,8.47
1986,1986-12-07,26.162,23.0,42.0,54.76,246.0,1.0,4.0,40.5,5.0,43.0,5.86,2.05
1986,1986-12-13,26.168000000000003,20.0,35.0,57.14,282.0,1.0,0.0,92.8,3.0,23.0,8.06,8.63
1986,1986-12-20,26.175,17.0,37.0,45.95,186.0,1.0,0.0,70.3,1.0,7.0,5.03,5.57
1987,1987-09-13,27.076999999999998,22.0,32.0,68.75,338.0,4.0,1.0,129.9,0.0,0.0,10.56,11.66
