Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1990,1990-12-30,23.225,11.0,22.0,50.0,98.0,1.0,1.0,58.5,1.0,7.0,4.45,3.32
1991,1991-09-01,24.105,19.0,41.0,46.34,192.0,1.0,1.0,58.2,3.0,17.0,4.68,4.07
1991,1991-09-08,24.112,14.0,33.0,42.42,179.0,2.0,3.0,42.4,1.0,9.0,5.42,2.55
1991,1991-09-15,24.119,13.0,22.0,59.09,136.0,1.0,0.0,92.2,1.0,7.0,6.18,7.09
1991,1991-09-22,24.125999999999998,13.0,29.0,44.83,139.0,0.0,1.0,45.0,2.0,13.0,4.79,3.24
1991,1991-09-29,24.133000000000003,10.0,25.0,40.0,162.0,0.0,0.0,62.4,1.0,7.0,6.48,6.48
1991,1991-10-06,24.14,12.0,22.0,54.55,118.0,1.0,0.0,85.0,3.0,18.0,5.36,6.27
1991,1991-10-13,24.147,21.0,33.0,63.64,306.0,2.0,1.0,101.3,1.0,8.0,9.27,9.12
1991,1991-10-20,24.154,33.0,54.0,61.11,321.0,1.0,2.0,68.5,3.0,16.0,5.94,4.65
1991,1991-10-27,24.160999999999998,27.0,41.0,65.85,212.0,0.0,0.0,78.5,3.0,20.0,5.17,5.17
1991,1991-11-10,24.175,17.0,25.0,68.0,229.0,0.0,0.0,96.9,3.0,16.0,9.16,9.16
1991,1991-11-17,24.182,16.0,30.0,53.33,175.0,0.0,1.0,56.9,2.0,16.0,5.83,4.33
1991,1991-11-24,24.189,7.0,9.0,77.78,61.0,0.0,1.0,55.3,1.0,10.0,6.78,1.78
1991,1991-12-01,24.195999999999998,12.0,27.0,44.44,150.0,0.0,1.0,46.8,3.0,26.0,5.56,3.89
1991,1991-12-08,24.203000000000003,19.0,37.0,51.35,208.0,1.0,1.0,66.0,0.0,0.0,5.62,4.95
1991,1991-12-15,24.21,17.0,25.0,68.0,185.0,2.0,0.0,116.2,2.0,15.0,7.4,9.0
1991,1991-12-22,24.217,12.0,34.0,35.29,123.0,1.0,3.0,19.6,3.0,16.0,3.62,0.24
1993,1993-09-12,26.116,3.0,6.0,50.0,40.0,0.0,0.0,71.5,0.0,0.0,6.67,6.67
1993,1993-09-19,26.123,8.0,15.0,53.33,110.0,0.0,0.0,77.1,0.0,0.0,7.33,7.33
1993,1993-10-03,26.136999999999997,9.0,14.0,64.29,103.0,1.0,0.0,110.1,1.0,7.0,7.36,8.79
1993,1993-10-10,26.144000000000002,15.0,26.0,57.69,107.0,0.0,1.0,51.3,0.0,0.0,4.12,2.38
