Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2010,2010-12-05,22.263,3.0,6.0,50.0,45.0,0.0,0.0,75.0,1.0,10.0,7.5,7.5
2010,2010-12-12,22.27,15.0,37.0,40.54,146.0,0.0,0.0,52.3,0.0,0.0,3.95,3.95
2010,2010-12-19,22.276999999999997,17.0,33.0,51.52,196.0,0.0,1.0,57.1,3.0,21.0,5.94,4.58
2010,2010-12-25,22.283,11.0,25.0,44.0,183.0,1.0,0.0,82.6,1.0,5.0,7.32,8.12
2010,2011-01-02,22.291,14.0,25.0,56.0,92.0,1.0,1.0,60.7,4.0,29.0,3.68,2.68
2011,2011-11-06,23.234,20.0,35.0,57.14,222.0,1.0,0.0,85.7,3.0,30.0,6.34,6.91
2011,2011-11-13,23.241,21.0,40.0,52.5,315.0,3.0,2.0,82.8,4.0,33.0,7.88,7.13
2011,2011-11-20,23.248,6.0,19.0,31.58,99.0,0.0,3.0,10.5,1.0,8.0,5.21,-1.89
2011,2011-11-27,23.255,12.0,23.0,52.17,114.0,0.0,2.0,30.0,3.0,8.0,4.96,1.04
2011,2011-12-11,23.269000000000002,19.0,28.0,67.86,282.0,3.0,2.0,106.5,1.0,5.0,10.07,9.0
2011,2011-12-18,23.276,28.0,46.0,60.87,313.0,1.0,1.0,79.3,4.0,24.0,6.8,6.26
2011,2011-12-24,23.281999999999996,23.0,44.0,52.27,297.0,2.0,3.0,60.5,5.0,40.0,6.75,4.59
2011,2012-01-01,23.29,22.0,40.0,55.0,271.0,1.0,1.0,74.1,2.0,14.0,6.78,6.15
2012,2012-09-09,24.176,14.0,28.0,50.0,149.0,0.0,1.0,51.0,1.0,5.0,5.32,3.71
2012,2012-10-14,24.211,2.0,10.0,20.0,45.0,0.0,1.0,6.2,0.0,0.0,4.5,0.0
2012,2012-10-21,24.218000000000004,25.0,36.0,69.44,262.0,1.0,1.0,88.0,7.0,32.0,7.28,6.58
2012,2012-10-29,24.226,32.0,52.0,61.54,290.0,0.0,1.0,68.6,4.0,32.0,5.58,4.71
2012,2012-11-04,24.232,23.0,46.0,50.0,306.0,1.0,1.0,69.7,2.0,20.0,6.65,6.11
2012,2012-11-18,24.246,2.0,7.0,28.57,6.0,0.0,0.0,39.6,0.0,0.0,0.86,0.86
2012,2012-12-09,24.267,11.0,22.0,50.0,74.0,0.0,4.0,18.2,1.0,9.0,3.36,-4.82
