Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1997,1997-09-14,24.358,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1997,1997-12-14,25.084,23.0,37.0,62.16,283.0,1.0,2.0,72.2,2.0,5.0,7.65,5.76
1997,1997-12-21,25.090999999999998,8.0,8.0,100.0,88.0,0.0,0.0,112.5,1.0,5.0,11.0,11.0
1998,1998-10-04,26.013,3.0,12.0,25.0,42.0,0.0,1.0,6.9,0.0,0.0,3.5,-0.25
1998,1998-11-29,26.069000000000003,24.0,39.0,61.54,298.0,2.0,1.0,91.6,1.0,2.0,7.64,7.51
1998,1998-12-06,26.076,17.0,24.0,70.83,278.0,2.0,2.0,102.4,1.0,7.0,11.58,9.5
1998,1998-12-13,26.083000000000002,16.0,31.0,51.61,140.0,1.0,3.0,35.1,2.0,10.0,4.52,0.81
1998,1998-12-20,26.09,16.0,29.0,55.17,177.0,1.0,0.0,85.0,4.0,27.0,6.1,6.79
1998,1998-12-27,26.096999999999998,22.0,37.0,59.46,242.0,1.0,1.0,76.6,3.0,26.0,6.54,5.86
1999,1999-09-12,26.355999999999998,20.0,30.0,66.67,202.0,2.0,0.0,107.9,6.0,28.0,6.73,8.07
1999,1999-09-26,27.005,18.0,29.0,62.07,265.0,0.0,0.0,91.9,1.0,14.0,9.14,9.14
1999,1999-10-03,27.011999999999997,15.0,30.0,50.0,213.0,2.0,1.0,81.7,2.0,12.0,7.1,6.93
1999,1999-10-17,27.026,17.0,29.0,58.62,151.0,1.0,1.0,69.8,3.0,11.0,5.21,4.34
1999,1999-10-24,27.033,17.0,30.0,56.67,276.0,2.0,0.0,109.9,1.0,1.0,9.2,10.53
1999,1999-11-01,27.041,12.0,19.0,63.16,109.0,2.0,0.0,113.7,2.0,19.0,5.74,7.84
1999,1999-11-07,27.046999999999997,14.0,24.0,58.33,202.0,3.0,2.0,90.6,2.0,15.0,8.42,7.17
1999,1999-11-14,27.054000000000002,16.0,31.0,51.61,235.0,2.0,1.0,84.7,1.0,5.0,7.58,7.42
1999,1999-11-21,27.061,14.0,33.0,42.42,235.0,2.0,1.0,74.7,0.0,0.0,7.12,6.97
1999,1999-11-28,27.068,19.0,44.0,43.18,197.0,0.0,5.0,17.1,3.0,27.0,4.48,-0.64
1999,1999-12-05,27.075,22.0,39.0,56.41,245.0,2.0,2.0,71.0,1.0,11.0,6.28,5.0
1999,1999-12-12,27.081999999999997,25.0,40.0,62.5,285.0,1.0,1.0,81.8,3.0,14.0,7.13,6.5
1999,1999-12-19,27.089000000000002,22.0,42.0,52.38,278.0,2.0,0.0,89.2,3.0,28.0,6.62,7.57
1999,1999-12-26,27.096,18.0,30.0,60.0,216.0,2.0,0.0,104.3,3.0,9.0,7.2,8.53
1999,2000-01-02,27.103,21.0,45.0,46.67,237.0,0.0,2.0,44.4,1.0,4.0,5.27,3.27
2000,2000-09-03,27.348000000000003,6.0,15.0,40.0,54.0,0.0,4.0,10.8,1.0,0.0,3.6,-8.4
2000,2000-09-10,27.355,20.0,31.0,64.52,245.0,1.0,2.0,72.6,3.0,8.0,7.9,5.65
2000,2000-09-17,27.362,22.0,29.0,75.86,193.0,1.0,1.0,90.2,4.0,24.0,6.66,5.79
2000,2000-09-24,28.003,11.0,21.0,52.38,196.0,1.0,0.0,100.5,5.0,35.0,9.33,10.29
2000,2000-10-02,28.011,17.0,28.0,60.71,140.0,1.0,1.0,70.5,5.0,37.0,5.0,4.11
2000,2000-10-15,28.024,5.0,6.0,83.33,57.0,0.0,0.0,106.2,1.0,4.0,9.5,9.5
2000,2000-10-22,28.031,11.0,18.0,61.11,85.0,0.0,0.0,72.7,1.0,1.0,4.72,4.72
2000,2000-10-29,28.038,26.0,42.0,61.9,224.0,2.0,3.0,62.0,3.0,16.0,5.33,3.07
2000,2000-11-05,28.045,11.0,19.0,57.89,85.0,2.0,1.0,82.1,1.0,7.0,4.47,4.21
