Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-09-09,22.111,6.0,15.0,40.0,74.0,0.0,0.0,56.0,3.0,16.0,4.93,4.93
2018,2018-09-16,22.118000000000002,18.0,33.0,54.55,245.0,1.0,2.0,63.3,5.0,36.0,7.42,5.3
2018,2018-09-23,22.125,15.0,22.0,68.18,196.0,1.0,0.0,111.2,3.0,32.0,8.91,9.82
2018,2018-09-30,22.131999999999998,16.0,33.0,48.48,151.0,0.0,2.0,36.3,7.0,64.0,4.58,1.85
2018,2018-10-07,22.139,10.0,19.0,52.63,82.0,0.0,1.0,42.0,1.0,3.0,4.32,1.95
2018,2018-10-14,22.146,10.0,17.0,58.82,84.0,0.0,0.0,71.7,2.0,16.0,4.94,4.94
2018,2018-11-25,22.188000000000002,8.0,19.0,42.11,160.0,1.0,0.0,89.8,0.0,0.0,8.42,9.47
2018,2018-12-02,22.195,18.0,33.0,54.55,231.0,2.0,2.0,71.7,2.0,14.0,7.0,5.48
2018,2018-12-09,22.201999999999998,18.0,36.0,50.0,206.0,0.0,2.0,44.4,3.0,14.0,5.72,3.22
2018,2018-12-16,22.209,13.0,26.0,50.0,204.0,1.0,0.0,89.3,1.0,9.0,7.85,8.62
2018,2018-12-23,22.215999999999998,20.0,41.0,48.78,217.0,1.0,2.0,52.6,0.0,0.0,5.29,3.59
2018,2018-12-30,22.223000000000003,17.0,26.0,65.38,224.0,3.0,1.0,114.9,1.0,9.0,8.62,9.19
2019,2019-09-08,23.11,24.0,37.0,64.86,254.0,1.0,2.0,71.2,1.0,12.0,6.86,4.97
2019,2019-09-15,23.116999999999997,19.0,30.0,63.33,253.0,1.0,0.0,101.1,3.0,16.0,8.43,9.1
2019,2019-09-22,23.124000000000002,23.0,36.0,63.89,243.0,1.0,1.0,81.1,1.0,2.0,6.75,6.06
2019,2019-09-29,23.131,13.0,28.0,46.43,153.0,0.0,3.0,24.0,4.0,31.0,5.46,0.64
2019,2019-10-06,23.138,23.0,32.0,71.88,219.0,2.0,1.0,98.3,4.0,15.0,6.84,6.69
2019,2019-10-20,23.151999999999997,16.0,26.0,61.54,202.0,2.0,0.0,111.4,2.0,14.0,7.77,9.31
2019,2019-10-27,23.159000000000002,16.0,34.0,47.06,169.0,2.0,0.0,81.6,4.0,14.0,4.97,6.15
2019,2019-11-03,23.166,14.0,20.0,70.0,160.0,1.0,0.0,110.4,2.0,14.0,8.0,9.0
2019,2019-11-10,23.173000000000002,22.0,41.0,53.66,266.0,0.0,0.0,73.8,1.0,6.0,6.49,6.49
2019,2019-11-17,23.18,21.0,33.0,63.64,256.0,3.0,0.0,117.7,0.0,0.0,7.76,9.58
2019,2019-11-24,23.186999999999998,15.0,25.0,60.0,185.0,2.0,1.0,92.9,1.0,5.0,7.4,7.2
2019,2019-11-28,23.191,19.0,24.0,79.17,231.0,1.0,0.0,120.7,4.0,27.0,9.63,10.46
2019,2019-12-08,23.201,17.0,39.0,43.59,146.0,1.0,0.0,62.6,6.0,41.0,3.74,4.26
2019,2019-12-15,23.208000000000002,13.0,25.0,52.0,139.0,1.0,1.0,65.2,1.0,8.0,5.56,4.56
2019,2019-12-21,23.214000000000002,13.0,26.0,50.0,208.0,2.0,0.0,102.7,4.0,32.0,8.0,9.54
2019,2019-12-29,23.221999999999998,3.0,5.0,60.0,5.0,0.0,0.0,64.6,0.0,0.0,1.0,1.0
2020,2020-09-13,24.115,33.0,46.0,71.74,312.0,2.0,0.0,104.6,3.0,6.0,6.78,7.65
2020,2020-09-20,24.122,24.0,35.0,68.57,415.0,4.0,0.0,146.7,1.0,4.0,11.86,14.14
2020,2020-09-27,24.129,24.0,33.0,72.73,311.0,4.0,1.0,128.9,4.0,37.0,9.42,10.48
2020,2020-10-04,24.136,24.0,34.0,70.59,288.0,2.0,0.0,115.8,1.0,14.0,8.47,9.65
2020,2020-10-13,24.145,26.0,41.0,63.41,263.0,2.0,2.0,77.6,1.0,10.0,6.41,5.2
2020,2020-10-19,24.151,14.0,27.0,51.85,122.0,2.0,1.0,73.4,0.0,0.0,4.52,4.33
2020,2020-10-25,24.156999999999996,30.0,43.0,69.77,307.0,0.0,0.0,90.0,2.0,11.0,7.14,7.14
2020,2020-11-01,24.164,11.0,18.0,61.11,154.0,0.0,1.0,65.5,1.0,5.0,8.56,6.06
2020,2020-11-08,24.171,31.0,38.0,81.58,415.0,3.0,0.0,138.5,7.0,29.0,10.92,12.5
2020,2020-11-15,24.178,32.0,49.0,65.31,284.0,2.0,2.0,77.3,0.0,0.0,5.8,4.78
2020,2020-11-29,24.191999999999997,18.0,24.0,75.0,157.0,1.0,1.0,88.4,2.0,10.0,6.54,5.5
2020,2020-12-07,24.2,32.0,40.0,80.0,375.0,4.0,0.0,139.1,1.0,7.0,9.38,11.38
2020,2020-12-13,24.206,24.0,43.0,55.81,238.0,2.0,1.0,77.5,1.0,8.0,5.53,5.42
2020,2020-12-19,24.212,28.0,40.0,70.0,359.0,2.0,0.0,114.5,1.0,7.0,8.98,9.98
2020,2020-12-28,24.221,27.0,36.0,75.0,320.0,4.0,0.0,138.7,0.0,0.0,8.89,11.11
