Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2009,2009-10-25,21.285,2.0,4.0,50.0,16.0,0.0,0.0,60.4,2.0,16.0,4.0,4.0
2009,2009-11-08,21.299,14.0,31.0,45.16,205.0,3.0,1.0,86.1,1.0,7.0,6.61,7.1
2009,2009-11-15,21.305999999999997,16.0,28.0,57.14,196.0,1.0,1.0,75.9,4.0,16.0,7.0,6.11
2009,2009-11-22,21.313000000000002,17.0,33.0,51.52,126.0,1.0,3.0,33.1,3.0,26.0,3.82,0.33
2009,2009-11-29,21.32,20.0,29.0,68.97,250.0,2.0,0.0,118.5,1.0,5.0,8.62,10.0
2009,2009-12-06,21.326999999999998,23.0,44.0,52.27,321.0,0.0,5.0,36.5,2.0,6.0,7.3,2.18
2009,2009-12-13,21.334,14.0,33.0,42.42,93.0,0.0,3.0,12.1,3.0,12.0,2.82,-1.27
2009,2009-12-20,21.340999999999998,16.0,26.0,61.54,205.0,2.0,1.0,95.8,0.0,0.0,7.88,7.69
2009,2009-12-27,21.348000000000003,21.0,31.0,67.74,271.0,0.0,2.0,68.1,3.0,8.0,8.74,5.84
2009,2010-01-03,21.355,15.0,31.0,48.39,172.0,1.0,2.0,49.4,1.0,6.0,5.55,3.29
2010,2010-09-12,22.241999999999997,17.0,28.0,60.71,182.0,2.0,1.0,88.7,3.0,13.0,6.5,6.32
2010,2010-09-19,22.249000000000002,12.0,24.0,50.0,178.0,2.0,0.0,102.4,0.0,0.0,7.42,9.08
2010,2010-09-26,22.256,20.0,31.0,64.52,184.0,0.0,1.0,67.1,3.0,16.0,5.94,4.48
2010,2010-10-10,22.27,20.0,33.0,60.61,280.0,1.0,1.0,85.4,3.0,18.0,8.48,7.73
2010,2010-10-17,22.276999999999997,25.0,43.0,58.14,219.0,1.0,0.0,79.5,0.0,0.0,5.09,5.56
2010,2010-10-24,22.284000000000002,23.0,40.0,57.5,212.0,1.0,0.0,80.4,3.0,23.0,5.3,5.8
2010,2010-10-31,22.291,18.0,25.0,72.0,278.0,1.0,0.0,121.7,2.0,25.0,11.12,11.92
2010,2010-11-07,22.298000000000002,11.0,22.0,50.0,189.0,2.0,2.0,72.0,1.0,7.0,8.59,6.32
2010,2010-11-14,22.305,18.0,24.0,75.0,241.0,2.0,0.0,134.2,1.0,6.0,10.04,11.71
2010,2010-11-21,22.311999999999998,13.0,20.0,65.0,136.0,2.0,0.0,117.9,2.0,6.0,6.8,8.8
2010,2010-11-28,22.319000000000003,17.0,37.0,45.95,162.0,1.0,0.0,67.6,0.0,0.0,4.38,4.92
2010,2010-12-05,22.326,19.0,38.0,50.0,181.0,1.0,1.0,61.4,1.0,9.0,4.76,4.11
2010,2010-12-12,22.333000000000002,15.0,25.0,60.0,266.0,1.0,0.0,109.7,1.0,4.0,10.64,11.44
2010,2010-12-19,22.34,21.0,32.0,65.63,251.0,1.0,0.0,99.9,3.0,25.0,7.84,8.47
2010,2010-12-26,22.346999999999998,21.0,26.0,80.77,237.0,5.0,0.0,144.2,2.0,21.0,9.12,12.96
2010,2011-01-02,22.354,21.0,26.0,80.77,255.0,2.0,0.0,133.2,3.0,22.0,9.81,11.35
2011,2011-09-11,23.241,28.0,43.0,65.12,259.0,1.0,1.0,79.5,2.0,7.0,6.02,5.44
2011,2011-09-18,23.248,22.0,31.0,70.97,243.0,1.0,1.0,91.2,2.0,13.0,7.84,7.03
2011,2011-09-25,23.255,22.0,32.0,68.75,180.0,0.0,2.0,56.8,0.0,0.0,5.63,2.81
2011,2011-10-03,23.263,25.0,39.0,64.1,287.0,1.0,0.0,94.7,2.0,13.0,7.36,7.87
2011,2011-10-09,23.269000000000002,17.0,33.0,51.52,187.0,0.0,2.0,43.4,2.0,6.0,5.67,2.94
2011,2011-10-16,23.276,23.0,41.0,56.1,303.0,2.0,0.0,95.9,0.0,0.0,7.39,8.37
2011,2011-10-23,23.283,29.0,51.0,56.86,264.0,2.0,4.0,51.4,1.0,14.0,5.18,2.43
2011,2011-11-06,23.296999999999997,27.0,37.0,72.97,281.0,1.0,0.0,103.5,1.0,0.0,7.59,8.14
2011,2011-11-13,23.304000000000002,15.0,33.0,45.45,170.0,1.0,3.0,33.6,4.0,29.0,5.15,1.67
2011,2011-11-20,23.311,28.0,38.0,73.68,342.0,2.0,2.0,96.6,2.0,8.0,9.0,7.68
2011,2011-11-27,23.318,18.0,33.0,54.55,199.0,1.0,1.0,70.1,2.0,13.0,6.03,5.27
2011,2011-12-11,23.331999999999997,16.0,30.0,53.33,181.0,0.0,2.0,43.9,3.0,14.0,6.03,3.03
2011,2011-12-17,23.338,17.0,27.0,62.96,148.0,1.0,0.0,89.7,3.0,16.0,5.48,6.22
2011,2011-12-24,23.345,28.0,38.0,73.68,274.0,1.0,1.0,91.3,3.0,16.0,7.21,6.55
2011,2012-01-01,23.353,31.0,45.0,68.89,274.0,2.0,3.0,71.9,2.0,15.0,6.09,3.98
2012,2012-09-09,24.24,16.0,24.0,66.67,138.0,1.0,0.0,95.5,2.0,10.0,5.75,6.58
2012,2012-09-16,24.247,15.0,28.0,53.57,243.0,2.0,2.0,76.9,2.0,15.0,8.68,6.89
2012,2012-09-23,24.254,10.0,28.0,35.71,110.0,1.0,1.0,45.2,2.0,19.0,3.93,3.04
2012,2012-09-30,24.261,24.0,39.0,61.54,299.0,1.0,1.0,83.2,1.0,6.0,7.67,7.03
2012,2012-10-14,24.275,15.0,26.0,57.69,328.0,3.0,1.0,124.7,1.0,10.0,12.62,13.19
2012,2012-10-21,24.281999999999996,24.0,42.0,57.14,420.0,3.0,0.0,115.2,2.0,9.0,10.0,11.43
2012,2012-10-25,24.285999999999998,19.0,36.0,52.78,262.0,3.0,0.0,104.2,1.0,5.0,7.28,8.94
2012,2012-11-04,24.296,18.0,30.0,60.0,247.0,2.0,0.0,108.6,1.0,10.0,8.23,9.57
2012,2012-11-11,24.303,14.0,20.0,70.0,210.0,2.0,0.0,137.5,1.0,5.0,10.5,12.5
2012,2012-11-18,24.31,25.0,46.0,54.35,248.0,3.0,2.0,73.5,1.0,12.0,5.39,4.74
2012,2012-11-25,24.316999999999997,19.0,30.0,63.33,256.0,0.0,0.0,90.4,2.0,8.0,8.53,8.53
2012,2012-12-02,24.324,18.0,39.0,46.15,242.0,2.0,1.0,72.8,1.0,7.0,6.21,6.08
2012,2012-12-09,24.331,14.0,34.0,41.18,189.0,2.0,0.0,79.2,2.0,11.0,5.56,6.74
2012,2012-12-16,24.338,26.0,47.0,55.32,279.0,0.0,4.0,37.5,2.0,11.0,5.94,2.11
2012,2012-12-23,24.345,30.0,54.0,55.56,372.0,1.0,4.0,52.4,5.0,23.0,6.89,3.93
2012,2012-12-30,24.351999999999997,19.0,35.0,54.29,222.0,1.0,1.0,71.4,0.0,0.0,6.34,5.63
2013,2013-09-08,25.238000000000003,15.0,31.0,48.39,210.0,1.0,1.0,67.9,3.0,25.0,6.77,5.97
2013,2013-09-15,25.245,9.0,22.0,40.91,125.0,1.0,1.0,56.1,1.0,12.0,5.68,4.55
2013,2013-09-22,25.252,19.0,41.0,46.34,236.0,0.0,1.0,54.5,3.0,10.0,5.76,4.66
2013,2013-10-21,25.281,20.0,53.0,37.74,190.0,0.0,1.0,40.6,1.0,14.0,3.58,2.74
2015,2016-01-03,27.355,15.0,28.0,53.57,149.0,1.0,1.0,65.9,1.0,7.0,5.32,4.43
