Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1962,1962-09-23,25.12,2.0,3.0,66.67,20.0,0.0,1.0,45.8,,,6.67,-8.33
1962,1962-09-30,25.127,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-45.0
1962,1962-10-07,25.134,2.0,5.0,40.0,16.0,0.0,2.0,9.2,,,3.2,-14.8
1962,1962-10-14,25.141,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-10-21,25.148000000000003,1.0,2.0,50.0,53.0,0.0,0.0,95.8,,,26.5,26.5
1962,1962-10-28,25.155,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-11-04,25.162,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-11-11,25.169,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-45.0
1962,1962-11-18,25.176,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-11-25,25.183000000000003,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-12-02,25.19,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-12-09,25.197,0.0,0.0,,0.0,0.0,0.0,,,,,
1962,1962-12-16,25.204,2.0,6.0,33.33,15.0,0.0,0.0,42.4,,,2.5,2.5
1963,1963-09-29,26.125999999999998,4.0,7.0,57.14,123.0,1.0,0.0,141.4,,,17.57,20.43
1963,1963-10-06,26.133000000000003,18.0,36.0,50.0,265.0,3.0,1.0,90.6,,,7.36,7.78
1963,1963-10-13,26.14,2.0,8.0,25.0,9.0,0.0,0.0,39.6,,,1.13,1.13
1963,1963-11-17,26.175,2.0,11.0,18.18,13.0,0.0,0.0,39.6,,,1.18,1.18
1963,1963-11-28,26.186,2.0,10.0,20.0,7.0,0.0,2.0,0.0,,,0.7,-8.3
1965,1965-09-24,28.121,8.0,16.0,50.0,55.0,0.0,0.0,58.1,,,3.44,3.44
1965,1965-10-03,28.13,5.0,12.0,41.67,77.0,0.0,0.0,63.5,,,6.42,6.42
1965,1965-10-10,28.136999999999997,7.0,16.0,43.75,65.0,0.0,0.0,55.5,,,4.06,4.06
1965,1965-10-17,28.144000000000002,10.0,25.0,40.0,177.0,1.0,1.0,61.6,,,7.08,6.08
1965,1965-10-24,28.151,10.0,23.0,43.48,138.0,0.0,1.0,45.2,,,6.0,4.04
1965,1965-10-31,28.158,9.0,24.0,37.5,112.0,1.0,2.0,31.9,,,4.67,1.75
1965,1965-11-07,28.165,18.0,36.0,50.0,209.0,0.0,3.0,33.2,,,5.81,2.06
1965,1965-11-14,28.171999999999997,5.0,28.0,17.86,20.0,1.0,3.0,11.9,,,0.71,-3.39
1965,1965-11-21,28.179000000000002,13.0,36.0,36.11,200.0,1.0,4.0,25.0,,,5.56,1.11
1965,1965-12-19,28.206999999999997,18.0,37.0,48.65,239.0,3.0,0.0,96.6,,,6.46,8.08
1966,1966-09-03,29.1,2.0,13.0,15.38,-1.0,0.0,0.0,39.6,,,-0.08,-0.08
1966,1966-09-18,29.115,10.0,25.0,40.0,120.0,1.0,3.0,29.2,,,4.8,0.2
1966,1966-09-25,29.122,1.0,8.0,12.5,11.0,0.0,1.0,0.0,,,1.38,-4.25
1966,1966-10-02,29.129,13.0,31.0,41.94,212.0,2.0,1.0,73.6,,,6.84,6.68
1966,1966-10-08,29.135,10.0,29.0,34.48,136.0,0.0,1.0,36.0,,,4.69,3.14
1966,1966-10-16,29.143,9.0,25.0,36.0,90.0,0.0,4.0,7.5,,,3.6,-3.6
1966,1966-10-30,29.156999999999996,9.0,18.0,50.0,91.0,0.0,0.0,64.8,,,5.06,5.06
1966,1966-11-20,29.178,1.0,6.0,16.67,6.0,0.0,1.0,0.0,,,1.0,-6.5
1966,1966-11-27,29.185,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,-45.0
1966,1966-12-18,29.206,13.0,37.0,35.14,328.0,3.0,3.0,61.5,,,8.86,6.84
1968,1968-09-15,31.112,8.0,19.0,42.11,89.0,0.0,1.0,34.8,,,4.68,2.32
