Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-09-23,21.225,4.0,7.0,57.14,36.0,0.0,1.0,31.5,1.0,7.0,5.14,-1.29
2018,2018-09-30,21.232,15.0,27.0,55.56,180.0,1.0,0.0,88.5,1.0,9.0,6.67,7.41
2018,2018-10-07,21.239,10.0,25.0,40.0,170.0,1.0,0.0,77.1,1.0,6.0,6.8,7.6
2018,2018-10-14,21.246,21.0,31.0,67.74,240.0,0.0,1.0,77.4,4.0,32.0,7.74,6.29
2018,2018-10-18,21.25,21.0,39.0,53.85,194.0,1.0,3.0,44.2,6.0,40.0,4.97,2.03
2018,2018-10-28,21.26,23.0,40.0,57.5,252.0,2.0,1.0,82.5,3.0,19.0,6.3,6.18
2018,2018-11-11,21.274,22.0,39.0,56.41,208.0,1.0,2.0,58.5,5.0,42.0,5.33,3.54
2018,2018-11-18,21.281,9.0,20.0,45.0,136.0,3.0,2.0,67.9,1.0,8.0,6.8,5.3
2018,2018-11-25,21.288,12.0,19.0,63.16,105.0,1.0,1.0,73.4,2.0,18.0,5.53,4.21
2018,2018-12-02,21.295,11.0,26.0,42.31,149.0,0.0,0.0,61.2,2.0,16.0,5.73,5.73
2018,2018-12-09,21.302,26.0,41.0,63.41,240.0,0.0,1.0,69.2,3.0,22.0,5.85,4.76
2018,2018-12-16,21.309,13.0,22.0,59.09,132.0,0.0,2.0,38.4,6.0,42.0,6.0,1.91
2018,2018-12-23,21.316,12.0,23.0,52.17,87.0,0.0,0.0,61.3,4.0,23.0,3.78,3.78
2018,2018-12-30,21.323,18.0,34.0,52.94,149.0,1.0,0.0,74.3,6.0,36.0,4.38,4.97
2019,2019-09-08,22.21,1.0,3.0,33.33,5.0,0.0,1.0,2.8,1.0,6.0,1.67,-13.33
2019,2019-09-15,22.217,7.0,18.0,38.89,97.0,0.0,1.0,33.8,3.0,21.0,5.39,2.89
2019,2019-09-22,22.224,18.0,39.0,46.15,200.0,0.0,0.0,61.9,3.0,18.0,5.13,5.13
2019,2019-09-29,22.230999999999998,17.0,24.0,70.83,180.0,1.0,1.0,88.9,4.0,18.0,7.5,6.46
2019,2019-10-13,22.245,15.0,25.0,60.0,85.0,0.0,2.0,32.9,5.0,30.0,3.4,-0.2
2019,2019-11-10,22.273000000000003,,,,,,,,,,,
