Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-10-08,23.123,0.0,1.0,0.0,0.0,0.0,0.0,39.6,2.0,6.0,0.0,0.0
2006,2006-12-10,23.186,0.0,0.0,,0.0,0.0,0.0,,2.0,21.0,,
2007,2007-09-09,24.094,5.0,10.0,50.0,35.0,0.0,0.0,58.3,1.0,5.0,3.5,3.5
2007,2007-09-16,24.101,19.0,37.0,51.35,260.0,1.0,2.0,60.6,4.0,25.0,7.03,5.14
2007,2007-10-28,24.143,5.0,12.0,41.67,67.0,0.0,2.0,20.5,0.0,0.0,5.58,-1.92
2007,2007-11-04,24.15,23.0,42.0,54.76,226.0,1.0,0.0,78.1,3.0,12.0,5.38,5.86
2007,2007-11-18,24.164,14.0,31.0,45.16,162.0,1.0,1.0,58.8,3.0,16.0,5.23,4.42
2007,2007-11-22,24.168000000000003,12.0,27.0,44.44,142.0,0.0,1.0,45.6,3.0,22.0,5.26,3.59
2007,2007-12-02,24.178,15.0,24.0,62.5,236.0,1.0,1.0,91.7,6.0,27.0,9.83,8.79
2007,2007-12-09,24.185,24.0,41.0,58.54,286.0,0.0,2.0,59.6,4.0,18.0,6.98,4.78
2007,2007-12-16,24.191999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2007,2007-12-23,24.199,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2007,2007-12-30,24.206,13.0,25.0,52.0,115.0,1.0,0.0,77.9,3.0,13.0,4.6,5.4
2008,2008-09-22,25.107,3.0,5.0,60.0,26.0,0.0,1.0,34.2,0.0,0.0,5.2,-3.8
2008,2008-11-09,25.155,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-10-25,26.14,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-01,26.147,,,,,,,,0.0,,,
2009,2009-11-15,26.160999999999998,,,,,,,,0.0,,,
2009,2009-11-22,26.168000000000003,,,,,,,,0.0,,,
2009,2009-11-29,26.175,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2009-12-03,26.179000000000002,1.0,2.0,50.0,14.0,0.0,0.0,72.9,3.0,18.0,7.0,7.0
2009,2009-12-13,26.189,12.0,23.0,52.17,111.0,0.0,0.0,65.7,1.0,3.0,4.83,4.83
2009,2009-12-20,26.195999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-12-27,26.203000000000003,,,,,,,,0.0,,,
2009,2010-01-03,26.21,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2011-01-02,27.209,1.0,2.0,50.0,6.0,0.0,0.0,56.2,0.0,0.0,3.0,3.0
2011,2011-12-18,28.194000000000003,25.0,36.0,69.44,229.0,1.0,0.0,95.7,3.0,19.0,6.36,6.92
2011,2011-12-24,28.2,9.0,24.0,37.5,91.0,0.0,0.0,49.1,3.0,23.0,3.79,3.79
2011,2012-01-01,28.208000000000002,14.0,31.0,45.16,226.0,1.0,1.0,67.4,3.0,26.0,7.29,6.48
2012,2012-10-28,29.143,1.0,2.0,50.0,39.0,0.0,1.0,56.2,0.0,0.0,19.5,-3.0
2012,2012-11-25,29.171,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2013,2013-10-20,30.135,2.0,4.0,50.0,19.0,0.0,0.0,63.5,2.0,12.0,4.75,4.75
2013,2013-10-28,30.143,15.0,31.0,48.39,158.0,0.0,2.0,36.8,3.0,19.0,5.1,2.19
2013,2013-11-03,30.149,20.0,35.0,57.14,210.0,1.0,0.0,84.2,2.0,7.0,6.0,6.57
2013,2013-11-10,30.156,9.0,16.0,56.25,247.0,2.0,0.0,140.6,2.0,15.0,15.44,17.94
2013,2013-11-24,30.17,10.0,22.0,45.45,167.0,1.0,0.0,86.7,2.0,19.0,7.59,8.5
2013,2013-12-01,30.177,19.0,37.0,51.35,218.0,1.0,1.0,67.2,3.0,20.0,5.89,5.22
2013,2013-12-08,30.184,16.0,27.0,59.26,181.0,0.0,2.0,48.5,4.0,24.0,6.7,3.37
2013,2013-12-15,30.191,14.0,20.0,70.0,158.0,2.0,0.0,126.7,0.0,0.0,7.9,9.9
