Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1971,1971-09-19,22.215999999999998,2.0,3.0,66.67,37.0,0.0,0.0,109.0,,,12.33,12.33
1971,1971-09-26,22.223000000000003,1.0,5.0,20.0,11.0,0.0,0.0,39.6,1.0,5.0,2.2,2.2
1971,1971-10-03,22.23,9.0,16.0,56.25,93.0,1.0,1.0,68.0,2.0,8.0,5.81,4.25
1971,1971-10-10,22.237,11.0,19.0,57.89,137.0,1.0,0.0,97.9,3.0,21.0,7.21,8.26
1971,1971-10-17,22.244,10.0,21.0,47.62,122.0,0.0,1.0,46.1,2.0,15.0,5.81,3.67
1971,1971-10-24,22.250999999999998,14.0,20.0,70.0,160.0,2.0,1.0,106.2,5.0,31.0,8.0,7.75
1971,1971-10-31,22.258000000000003,4.0,13.0,30.77,11.0,0.0,1.0,8.2,6.0,49.0,0.85,-2.62
1971,1971-11-14,22.272,1.0,1.0,100.0,-6.0,0.0,0.0,79.2,,,-6.0,-6.0
1971,1971-11-21,22.279,0.0,0.0,,0.0,0.0,,,1.0,8.0,,
1971,1971-11-28,22.285999999999998,7.0,12.0,58.33,72.0,0.0,0.0,75.7,1.0,8.0,6.0,6.0
1971,1971-12-19,22.307,13.0,21.0,61.9,140.0,1.0,0.0,97.3,2.0,14.0,6.67,7.62
1972,1972-09-17,23.215,10.0,15.0,66.67,102.0,1.0,0.0,108.2,,,6.8,8.13
1972,1972-09-24,23.221999999999998,13.0,27.0,48.15,157.0,0.0,1.0,51.0,1.0,9.0,5.81,4.15
1972,1972-10-01,23.229,21.0,43.0,48.84,221.0,0.0,2.0,44.8,1.0,18.0,5.14,3.05
1972,1972-10-08,23.236,12.0,20.0,60.0,148.0,1.0,0.0,99.6,5.0,39.0,7.4,8.4
1972,1972-10-15,23.243000000000002,14.0,25.0,56.0,182.0,2.0,0.0,105.7,,,7.28,8.88
1972,1972-10-22,23.25,10.0,16.0,62.5,48.0,0.0,0.0,66.7,3.0,27.0,3.0,3.0
1972,1972-10-29,23.256999999999998,20.0,28.0,71.43,189.0,0.0,1.0,74.9,,,6.75,5.14
1972,1972-11-05,23.264,5.0,12.0,41.67,74.0,0.0,1.0,27.8,,,6.17,2.42
1972,1972-11-12,23.271,7.0,16.0,43.75,98.0,1.0,1.0,58.9,,,6.13,4.56
1972,1972-11-19,23.278000000000002,16.0,28.0,57.14,200.0,0.0,0.0,79.5,2.0,14.0,7.14,7.14
1972,1972-12-03,23.291999999999998,17.0,34.0,50.0,217.0,1.0,1.0,67.9,1.0,5.0,6.38,5.65
1972,1972-12-09,23.298000000000002,6.0,10.0,60.0,59.0,0.0,0.0,76.7,3.0,10.0,5.9,5.9
1972,1972-12-17,23.305999999999997,20.0,27.0,74.07,223.0,1.0,0.0,110.6,2.0,33.0,8.26,9.0
1973,1973-09-16,24.213,18.0,36.0,50.0,217.0,0.0,1.0,57.3,2.0,17.0,6.03,4.78
1973,1973-09-23,24.22,15.0,26.0,57.69,155.0,1.0,0.0,87.8,1.0,1.0,5.96,6.73
1973,1973-09-30,24.226999999999997,10.0,17.0,58.82,222.0,2.0,0.0,142.4,1.0,7.0,13.06,15.41
1973,1973-10-07,24.234,11.0,23.0,47.83,177.0,1.0,1.0,70.4,2.0,10.0,7.7,6.61
1973,1973-10-14,24.241,9.0,21.0,42.86,78.0,0.0,0.0,53.3,,,3.71,3.71
1973,1973-10-21,24.248,12.0,22.0,54.55,155.0,1.0,2.0,54.2,2.0,17.0,7.05,3.86
1973,1973-10-28,24.255,20.0,38.0,52.63,230.0,1.0,3.0,47.0,3.0,13.0,6.05,3.03
1973,1973-11-04,24.261999999999997,14.0,22.0,63.64,191.0,1.0,3.0,66.9,5.0,45.0,8.68,3.45
1973,1973-11-11,24.269000000000002,9.0,22.0,40.91,141.0,0.0,2.0,25.0,3.0,21.0,6.41,2.32
1973,1973-11-18,24.276,10.0,19.0,52.63,96.0,1.0,0.0,84.5,3.0,20.0,5.05,6.11
1973,1973-11-25,24.283,13.0,24.0,54.17,167.0,3.0,0.0,115.8,1.0,0.0,6.96,9.46
1973,1973-12-02,24.29,12.0,17.0,70.59,105.0,1.0,0.0,106.2,,,6.18,7.35
1973,1973-12-09,24.296999999999997,11.0,19.0,57.89,201.0,3.0,0.0,134.0,,,10.58,13.74
1973,1973-12-16,24.304000000000002,15.0,23.0,65.22,293.0,3.0,0.0,148.1,1.0,12.0,12.74,15.35
1974,1974-09-15,25.212,9.0,17.0,52.94,179.0,2.0,0.0,129.3,1.0,12.0,10.53,12.88
1974,1974-09-22,25.219,17.0,28.0,60.71,178.0,0.0,1.0,64.3,2.0,15.0,6.36,4.75
1974,1974-09-29,25.226,9.0,17.0,52.94,147.0,1.0,2.0,62.3,2.0,22.0,8.65,4.53
1974,1974-10-06,25.233,12.0,17.0,70.59,142.0,1.0,0.0,115.3,1.0,10.0,8.35,9.53
