Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-09-12,23.143,9.0,15.0,60.0,111.0,0.0,0.0,82.9,1.0,7.0,7.4,7.4
2004,2004-09-19,23.15,18.0,32.0,56.25,205.0,0.0,1.0,62.6,2.0,15.0,6.41,5.0
2004,2004-09-26,23.156999999999996,19.0,32.0,59.38,153.0,0.0,2.0,45.4,3.0,26.0,4.78,1.97
2004,2004-10-17,23.178,,,,,,,,0.0,,,
2004,2004-10-31,23.191999999999997,16.0,36.0,44.44,122.0,0.0,1.0,41.7,3.0,22.0,3.39,2.14
2004,2004-12-12,23.234,18.0,34.0,52.94,191.0,3.0,0.0,99.0,1.0,7.0,5.62,7.38
2004,2004-12-18,23.24,20.0,38.0,52.63,206.0,2.0,4.0,46.5,1.0,7.0,5.42,1.74
2004,2004-12-26,23.248,5.0,10.0,50.0,54.0,0.0,1.0,26.7,1.0,4.0,5.4,0.9
2004,2005-01-02,23.255,18.0,29.0,62.07,189.0,1.0,0.0,92.5,1.0,6.0,6.52,7.21
2005,2005-10-30,24.191,7.0,18.0,38.89,40.0,0.0,0.0,47.0,0.0,0.0,2.22,2.22
2005,2005-11-20,24.212,18.0,29.0,62.07,249.0,1.0,0.0,101.1,4.0,23.0,8.59,9.28
2005,2005-11-27,24.219,23.0,43.0,53.49,192.0,1.0,2.0,53.6,2.0,5.0,4.47,2.84
2006,2006-12-24,25.246,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,7.0,0.0,0.0
2007,2007-11-18,26.21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2008,2008-11-30,27.221999999999998,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-15.0
2008,2008-12-07,27.229,22.0,43.0,51.16,150.0,0.0,1.0,49.6,1.0,7.0,3.49,2.44
2008,2008-12-15,27.237,11.0,28.0,39.29,156.0,0.0,2.0,28.3,2.0,17.0,5.57,2.36
2008,2008-12-21,27.243000000000002,10.0,17.0,58.82,64.0,0.0,3.0,27.2,2.0,19.0,3.76,-4.18
