Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1970,1970-10-25,24.304000000000002,,,,,,,,,,,
1970,1970-11-08,24.318,,,,,,,,,,,
1970,1970-12-20,24.36,2.0,7.0,28.57,52.0,0.0,1.0,18.5,,,7.43,1.0
1971,1971-09-19,25.268,1.0,3.0,33.33,10.0,0.0,0.0,43.7,,,3.33,3.33
1971,1971-09-26,25.275,1.0,2.0,50.0,10.0,0.0,0.0,64.6,,,5.0,5.0
1971,1971-10-04,25.283,,,,,,,,,,,
1971,1971-10-10,25.289,10.0,23.0,43.48,136.0,1.0,1.0,59.3,2.0,22.0,5.91,4.83
1971,1971-10-17,25.296,11.0,15.0,73.33,99.0,0.0,1.0,62.9,1.0,7.0,6.6,3.6
1971,1971-10-24,25.303,,,,,,,,,,,
1971,1971-10-31,25.31,,,,,,,,,,,
1971,1971-11-07,25.316999999999997,,,,,,,,,,,
1971,1971-11-14,25.324,1.0,5.0,20.0,13.0,0.0,2.0,0.0,1.0,8.0,2.6,-15.4
1971,1971-11-21,25.331,,,,,,,,,,,
1971,1971-11-28,25.338,,,,,,,,,,,
1971,1971-12-05,25.345,,,,,,,,,,,
1971,1971-12-12,25.351999999999997,,,,,,,,,,,
1971,1971-12-19,25.359,,,,,,,,,,,
1972,1972-09-17,26.267,5.0,12.0,41.67,54.0,0.0,3.0,16.0,1.0,9.0,4.5,-6.75
1972,1972-09-24,26.274,,,,,,,,,,,
1972,1972-10-01,26.281,,,,,,,,,,,
1972,1972-10-09,26.289,1.0,1.0,100.0,1.0,1.0,0.0,118.7,,,1.0,21.0
1972,1972-10-15,26.295,,,,,,,,,,,
1972,1972-10-22,26.302,13.0,22.0,59.09,165.0,1.0,0.0,97.7,5.0,42.0,7.5,8.41
1972,1972-10-29,26.309,1.0,5.0,20.0,13.0,0.0,0.0,39.6,,,2.6,2.6
1972,1972-11-05,26.316,14.0,23.0,60.87,167.0,1.0,0.0,97.6,1.0,14.0,7.26,8.13
1972,1972-11-12,26.323,,,,,,,,,,,
1972,1972-11-19,26.33,,,,,,,,,,,
1972,1972-11-26,26.337,,,,,,,,,,,
1972,1972-12-03,26.344,,,,,,,,,,,
1972,1972-12-11,26.351999999999997,,,,,,,,,,,
1972,1972-12-17,26.358,10.0,11.0,90.91,124.0,1.0,0.0,143.9,1.0,10.0,11.27,13.09
1973,1973-09-16,27.265,,,,,,,,,,,
1973,1973-09-23,27.272,,,,,,,,,,,
1973,1973-09-30,27.279,4.0,6.0,66.67,43.0,0.0,2.0,47.9,1.0,6.0,7.17,-7.83
