Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1992,1992-10-18,23.351999999999997,2.0,4.0,50.0,39.0,0.0,1.0,44.8,0.0,0.0,9.75,-1.5
1992,1992-11-15,24.014,2.0,2.0,100.0,12.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
1992,1992-11-22,24.021,11.0,26.0,42.31,141.0,1.0,1.0,56.7,3.0,17.0,5.42,4.46
1992,1992-11-26,24.025,12.0,28.0,42.86,151.0,0.0,0.0,60.3,1.0,14.0,5.39,5.39
1992,1992-12-06,24.035,8.0,16.0,50.0,73.0,0.0,0.0,62.8,2.0,13.0,4.56,4.56
1992,1992-12-12,24.041,7.0,21.0,33.33,54.0,0.0,2.0,2.8,1.0,5.0,2.57,-1.71
1993,1993-09-05,24.308000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-12,24.315,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-09-19,24.322,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-03,24.336,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-10,24.343000000000004,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1993,1993-10-17,24.35,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-10-31,24.364,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1993,1993-11-07,25.006,6.0,15.0,40.0,59.0,0.0,0.0,51.8,2.0,19.0,3.93,3.93
1993,1993-12-26,25.055,2.0,6.0,33.33,20.0,0.0,0.0,43.7,1.0,9.0,3.33,3.33
1994,1994-10-02,25.335,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-10,25.343000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-16,25.349,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-23,25.355999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-10-30,25.363000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-11-07,26.006,9.0,14.0,64.29,98.0,1.0,1.0,78.9,1.0,11.0,7.0,5.21
1994,1994-11-13,26.011999999999997,9.0,26.0,34.62,92.0,1.0,1.0,42.5,1.0,11.0,3.54,2.58
1994,1994-11-21,26.02,6.0,13.0,46.15,105.0,1.0,0.0,99.8,0.0,0.0,8.08,9.62
1994,1994-11-27,26.026,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-04,26.033,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-11,26.04,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-18,26.046999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1994,1994-12-24,26.053,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-09-08,27.311999999999998,13.0,19.0,68.42,133.0,1.0,2.0,66.2,2.0,14.0,7.0,3.32
1996,1996-09-15,27.319000000000003,9.0,19.0,47.37,111.0,0.0,1.0,44.0,1.0,9.0,5.84,3.47
1996,1996-09-22,27.326,11.0,25.0,44.0,165.0,1.0,0.0,79.6,1.0,0.0,6.6,7.4
