Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-09-10,22.254,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1995,1995-09-17,22.261,7.0,11.0,63.64,45.0,0.0,1.0,34.3,0.0,0.0,4.09,0.0
1995,1995-10-01,22.275,18.0,32.0,56.25,234.0,1.0,1.0,76.8,0.0,0.0,7.31,6.53
1995,1995-10-08,22.281999999999996,14.0,28.0,50.0,228.0,1.0,1.0,74.7,0.0,0.0,8.14,7.25
1995,1995-10-15,22.289,14.0,26.0,53.85,158.0,0.0,2.0,40.2,4.0,26.0,6.08,2.62
1995,1995-10-22,22.296,8.0,21.0,38.1,48.0,1.0,0.0,62.2,4.0,19.0,2.29,3.24
1995,1995-10-29,22.303,25.0,45.0,55.56,309.0,2.0,1.0,82.5,2.0,18.0,6.87,6.76
1995,1995-11-05,22.31,17.0,30.0,56.67,150.0,0.0,1.0,56.3,3.0,18.0,5.0,3.5
1995,1995-11-12,22.316999999999997,16.0,35.0,45.71,228.0,2.0,4.0,46.8,3.0,28.0,6.51,2.51
1995,1995-11-19,22.324,15.0,23.0,65.22,201.0,2.0,0.0,121.8,3.0,19.0,8.74,10.48
1995,1995-11-26,22.331,17.0,46.0,36.96,335.0,3.0,4.0,48.7,2.0,6.0,7.28,4.67
1995,1995-12-03,22.338,14.0,34.0,41.18,170.0,0.0,0.0,57.2,0.0,0.0,5.0,5.0
1995,1995-12-10,22.345,12.0,29.0,41.38,127.0,0.0,1.0,40.4,1.0,8.0,4.38,2.83
1995,1995-12-17,22.351999999999997,18.0,28.0,64.29,283.0,1.0,1.0,94.8,0.0,0.0,10.11,9.21
1995,1995-12-24,22.359,19.0,43.0,44.19,201.0,1.0,2.0,46.8,2.0,8.0,4.67,3.05
1996,1996-09-01,23.246,17.0,31.0,54.84,198.0,2.0,0.0,95.9,4.0,12.0,6.39,7.68
1996,1996-09-08,23.253,13.0,21.0,61.9,171.0,0.0,1.0,67.8,3.0,29.0,8.14,6.0
1996,1996-09-29,23.274,2.0,7.0,28.57,42.0,1.0,0.0,91.7,0.0,0.0,6.0,8.86
1996,1996-10-06,23.281,15.0,30.0,50.0,155.0,0.0,4.0,25.7,1.0,0.0,5.17,-0.83
1996,1996-10-13,23.288,11.0,18.0,61.11,196.0,3.0,1.0,114.8,2.0,19.0,10.89,11.72
1996,1996-10-20,23.295,14.0,30.0,46.67,176.0,1.0,0.0,76.5,3.0,21.0,5.87,6.53
1996,1996-10-27,23.302,16.0,34.0,47.06,248.0,0.0,0.0,71.7,1.0,9.0,7.29,7.29
1996,1996-11-03,23.309,14.0,21.0,66.67,222.0,0.0,0.0,101.7,1.0,3.0,10.57,10.57
1996,1996-11-10,23.316,19.0,33.0,57.58,202.0,1.0,1.0,73.0,0.0,0.0,6.12,5.36
1996,1996-12-01,23.337,14.0,24.0,58.33,83.0,0.0,0.0,65.1,0.0,0.0,3.46,3.46
1996,1996-12-08,23.344,22.0,37.0,59.46,327.0,3.0,0.0,115.5,1.0,3.0,8.84,10.46
1996,1996-12-15,23.351,26.0,39.0,66.67,268.0,2.0,2.0,82.0,0.0,0.0,6.87,5.59
1996,1996-12-22,23.358,21.0,39.0,53.85,166.0,1.0,0.0,73.2,2.0,18.0,4.26,4.77
