Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2007,2007-09-23,23.03,0.0,0.0,,0.0,0.0,0.0,,2.0,13.0,,
2008,2008-09-07,24.014,5.0,6.0,83.33,53.0,0.0,0.0,103.5,0.0,0.0,8.83,8.83
2008,2008-09-21,24.028000000000002,2.0,3.0,66.67,18.0,0.0,1.0,43.1,0.0,0.0,6.0,-9.0
2008,2008-11-23,24.090999999999998,10.0,23.0,43.48,73.0,0.0,2.0,15.3,0.0,0.0,3.17,-0.74
2008,2008-11-27,24.095,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2008,2008-12-15,24.113000000000003,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
2008,2008-12-28,24.125999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-09-13,25.02,7.0,11.0,63.64,23.0,0.0,0.0,67.6,2.0,20.0,2.09,2.09
2009,2009-09-20,25.026999999999997,31.0,51.0,60.78,391.0,2.0,3.0,73.2,1.0,7.0,7.67,5.8
2009,2009-09-27,25.034000000000002,24.0,34.0,70.59,327.0,2.0,0.0,120.6,0.0,0.0,9.62,10.79
2009,2009-10-11,25.048000000000002,,,,,,,,0.0,,,
2009,2009-12-06,25.104,,,,,,,,0.0,,,
2010,2010-09-12,26.019000000000002,5.0,10.0,50.0,24.0,0.0,0.0,56.2,3.0,17.0,2.4,2.4
2010,2010-10-03,26.04,22.0,35.0,62.86,201.0,1.0,1.0,76.0,1.0,7.0,5.74,5.03
2010,2010-10-10,26.046999999999997,21.0,31.0,67.74,253.0,1.0,0.0,103.3,4.0,26.0,8.16,8.81
2010,2010-10-17,26.054000000000002,23.0,29.0,79.31,326.0,3.0,1.0,133.6,1.0,6.0,11.24,11.76
2010,2010-10-24,26.061,26.0,48.0,54.17,231.0,1.0,2.0,56.9,1.0,4.0,4.81,3.35
2010,2010-11-15,26.083000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2011-01-02,26.131,18.0,36.0,50.0,162.0,1.0,3.0,37.0,5.0,39.0,4.5,1.31
2011,2011-09-11,27.018,18.0,27.0,66.67,309.0,2.0,0.0,130.0,2.0,14.0,11.44,12.93
2011,2011-09-18,27.025,17.0,30.0,56.67,251.0,2.0,1.0,92.5,3.0,20.0,8.37,8.2
2011,2011-09-25,27.031999999999996,25.0,39.0,64.1,252.0,1.0,2.0,69.6,3.0,18.0,6.46,4.67
2011,2011-10-02,27.039,20.0,34.0,58.82,237.0,0.0,1.0,67.9,4.0,25.0,6.97,5.65
2011,2011-10-09,27.046,21.0,42.0,50.0,232.0,0.0,2.0,46.9,4.0,40.0,5.52,3.38
2011,2011-10-23,27.06,18.0,34.0,52.94,272.0,2.0,1.0,86.9,2.0,15.0,8.0,7.85
2011,2011-10-30,27.066999999999997,10.0,21.0,47.62,153.0,1.0,1.0,68.2,6.0,55.0,7.29,6.1
2011,2011-12-04,27.101999999999997,16.0,25.0,64.0,247.0,1.0,0.0,109.9,5.0,23.0,9.88,10.68
2011,2011-12-11,27.109,1.0,1.0,100.0,2.0,0.0,0.0,79.2,1.0,9.0,2.0,2.0
2012,2012-09-09,28.016,6.0,8.0,75.0,66.0,1.0,0.0,138.5,0.0,0.0,8.25,10.75
2012,2012-09-16,28.023000000000003,15.0,27.0,55.56,140.0,1.0,0.0,82.3,2.0,0.0,5.19,5.93
2012,2012-09-23,28.03,17.0,24.0,70.83,222.0,2.0,0.0,127.4,3.0,29.0,9.25,10.92
2012,2012-09-30,28.037,29.0,48.0,60.42,324.0,3.0,2.0,84.0,8.0,55.0,6.75,6.13
2012,2012-10-04,28.041,28.0,50.0,56.0,289.0,0.0,0.0,72.8,9.0,52.0,5.78,5.78
2012,2012-10-14,28.051,14.0,26.0,53.85,128.0,1.0,1.0,64.3,5.0,23.0,4.92,3.96
