Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-10-07,24.049,5.0,9.0,55.56,111.0,1.0,2.0,97.2,1.0,6.0,12.33,4.56
2012,2012-12-09,24.112,2.0,2.0,100.0,26.0,1.0,0.0,158.3,0.0,0.0,13.0,23.0
2012,2012-12-16,24.119,26.0,37.0,70.27,329.0,2.0,1.0,104.4,2.0,21.0,8.89,8.76
2013,2013-10-27,25.069000000000003,5.0,9.0,55.56,48.0,0.0,2.0,31.0,0.0,0.0,5.33,-4.67
2013,2013-12-08,25.111,7.0,16.0,43.75,59.0,0.0,0.0,53.9,1.0,15.0,3.69,3.69
2013,2013-12-15,25.118000000000002,29.0,45.0,64.44,381.0,3.0,2.0,94.8,1.0,8.0,8.47,7.8
2013,2013-12-22,25.125,21.0,36.0,58.33,197.0,1.0,1.0,71.2,0.0,0.0,5.47,4.78
2013,2013-12-29,25.131999999999998,19.0,49.0,38.78,169.0,0.0,2.0,31.8,3.0,9.0,3.45,1.61
2014,2014-09-14,26.026,22.0,33.0,66.67,250.0,2.0,0.0,109.4,2.0,21.0,7.58,8.79
2014,2014-09-21,26.033,30.0,48.0,62.5,427.0,3.0,1.0,103.4,0.0,0.0,8.9,9.21
2014,2014-09-25,26.037,19.0,33.0,57.58,257.0,1.0,4.0,53.0,2.0,14.0,7.79,2.94
2014,2014-10-06,26.048000000000002,21.0,36.0,58.33,283.0,2.0,0.0,102.0,1.0,8.0,7.86,8.97
2014,2014-10-12,26.054000000000002,24.0,38.0,63.16,354.0,2.0,3.0,78.2,2.0,19.0,9.32,6.82
2014,2014-10-19,26.061,10.0,16.0,62.5,139.0,0.0,1.0,64.3,1.0,8.0,8.69,5.88
2015,2015-09-13,27.025,21.0,31.0,67.74,196.0,1.0,2.0,68.7,1.0,8.0,6.32,4.06
2015,2015-09-20,27.031999999999996,23.0,27.0,85.19,203.0,1.0,0.0,110.3,2.0,12.0,7.52,8.26
2015,2015-09-24,27.035999999999998,30.0,49.0,61.22,316.0,1.0,2.0,69.8,1.0,11.0,6.45,5.02
2015,2015-10-04,27.046,31.0,46.0,67.39,290.0,1.0,0.0,91.8,1.0,0.0,6.3,6.74
2015,2015-10-11,27.053,21.0,32.0,65.63,219.0,1.0,2.0,69.7,1.0,0.0,6.84,4.66
2015,2015-10-18,27.06,25.0,43.0,58.14,196.0,1.0,2.0,57.9,1.0,5.0,4.56,2.93
2015,2015-10-25,27.066999999999997,33.0,40.0,82.5,317.0,3.0,0.0,124.7,1.0,12.0,7.93,9.43
2015,2015-11-08,27.081,22.0,40.0,55.0,217.0,1.0,1.0,68.4,1.0,4.0,5.43,4.8
2015,2015-11-15,27.088,20.0,25.0,80.0,324.0,4.0,0.0,158.3,3.0,23.0,12.96,16.16
2015,2015-11-22,27.095,22.0,30.0,73.33,207.0,1.0,1.0,89.2,5.0,35.0,6.9,6.07
2015,2015-11-29,27.101999999999997,20.0,29.0,68.97,302.0,1.0,0.0,114.4,0.0,0.0,10.41,11.1
2015,2015-12-07,27.11,22.0,31.0,70.97,219.0,1.0,0.0,101.4,3.0,26.0,7.06,7.71
