Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1995,1995-10-19,23.003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-10-29,23.013,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-11-05,23.02,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-11-13,23.028000000000002,1.0,1.0,100.0,2.0,1.0,0.0,118.7,0.0,0.0,2.0,22.0
1995,1995-11-19,23.034000000000002,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,,
1995,1995-11-26,23.041,2.0,2.0,100.0,17.0,0.0,0.0,102.1,0.0,0.0,8.5,8.5
1995,1995-12-03,23.048000000000002,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1995,1995-12-10,23.055,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1995,1995-12-16,23.061,2.0,3.0,66.67,41.0,0.0,0.0,109.7,0.0,0.0,13.67,13.67
1995,1995-12-24,23.069000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-09-01,23.320999999999998,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-09-08,23.328000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-09-16,23.336,1.0,1.0,100.0,3.0,0.0,0.0,79.2,0.0,0.0,3.0,3.0
1996,1996-09-29,23.349,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-10-07,23.357,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-10-13,23.363000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-10-20,24.004,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-10-27,24.011,1.0,2.0,50.0,13.0,0.0,0.0,70.8,1.0,27.0,6.5,6.5
1996,1996-11-03,24.018,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-11-10,24.025,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-11-17,24.031999999999996,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1996,1996-11-25,24.04,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-12-01,24.046,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1996,1996-12-08,24.053,1.0,2.0,50.0,7.0,0.0,0.0,58.3,0.0,0.0,3.5,3.5
1996,1996-12-15,24.06,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
