Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1998,1998-12-27,27.188000000000002,4.0,11.0,36.36,39.0,0.0,0.0,47.2,0.0,0.0,3.55,3.55
1999,1999-09-12,28.081999999999997,28.0,44.0,63.64,309.0,3.0,2.0,88.2,3.0,25.0,7.02,6.34
1999,1999-09-26,28.096,17.0,25.0,68.0,275.0,3.0,0.0,144.2,0.0,0.0,11.0,13.4
1999,1999-10-03,28.103,17.0,21.0,80.95,310.0,3.0,0.0,158.3,2.0,11.0,14.76,17.62
1999,1999-10-10,28.11,20.0,23.0,86.96,323.0,5.0,1.0,140.2,1.0,9.0,14.04,16.43
1999,1999-10-17,28.116999999999997,13.0,20.0,65.0,111.0,1.0,0.0,96.0,2.0,17.0,5.55,6.55
1999,1999-10-24,28.124000000000002,23.0,29.0,79.31,203.0,3.0,0.0,130.3,1.0,0.0,7.0,9.07
1999,1999-10-31,28.131,29.0,46.0,63.04,328.0,3.0,0.0,106.1,6.0,41.0,7.13,8.43
1999,1999-11-07,28.138,25.0,42.0,59.52,305.0,3.0,2.0,85.9,4.0,30.0,7.26,6.55
1999,1999-11-14,28.145,19.0,29.0,65.52,284.0,2.0,1.0,106.1,0.0,0.0,9.79,9.62
1999,1999-11-21,28.151999999999997,22.0,40.0,55.0,201.0,1.0,1.0,66.8,3.0,20.0,5.03,4.4
1999,1999-11-28,28.159000000000002,15.0,27.0,55.56,213.0,2.0,0.0,105.9,2.0,18.0,7.89,9.37
1999,1999-12-05,28.166,22.0,31.0,70.97,351.0,3.0,2.0,113.8,1.0,5.0,11.32,10.35
1999,1999-12-12,28.173000000000002,21.0,31.0,67.74,346.0,2.0,1.0,113.1,1.0,10.0,11.16,11.0
1999,1999-12-19,28.18,18.0,32.0,56.25,319.0,2.0,0.0,111.3,1.0,0.0,9.97,11.22
1999,1999-12-26,28.186999999999998,24.0,35.0,68.57,334.0,3.0,1.0,115.7,0.0,0.0,9.54,9.97
1999,2000-01-02,28.194000000000003,12.0,24.0,50.0,141.0,2.0,2.0,61.3,2.0,15.0,5.88,3.79
2000,2000-09-04,29.074,25.0,35.0,71.43,441.0,3.0,3.0,106.5,2.0,8.0,12.6,10.46
2000,2000-09-10,29.08,35.0,47.0,74.47,386.0,1.0,1.0,96.6,1.0,7.0,8.21,7.68
2000,2000-09-17,29.087,23.0,34.0,67.65,394.0,2.0,2.0,101.8,1.0,5.0,11.59,10.12
2000,2000-09-24,29.094,12.0,19.0,63.16,336.0,4.0,1.0,124.5,3.0,15.0,17.68,19.53
2000,2000-10-01,29.101,24.0,30.0,80.0,390.0,4.0,0.0,158.3,2.0,14.0,13.0,15.67
2000,2000-10-15,29.115,24.0,40.0,60.0,313.0,3.0,1.0,99.3,3.0,11.0,7.83,8.2
2000,2000-10-22,29.122,15.0,25.0,60.0,185.0,1.0,2.0,62.9,2.0,14.0,7.4,4.6
2000,2000-12-03,29.164,18.0,36.0,50.0,189.0,0.0,4.0,26.0,2.0,10.0,5.25,0.25
2000,2000-12-10,29.171,27.0,32.0,84.38,346.0,0.0,0.0,111.7,0.0,0.0,10.81,10.81
2000,2000-12-18,29.179000000000002,20.0,32.0,62.5,316.0,2.0,3.0,77.1,2.0,18.0,9.88,6.91
2000,2000-12-24,29.185,12.0,17.0,70.59,133.0,1.0,1.0,88.6,2.0,13.0,7.82,6.35
2001,2001-09-09,30.079,28.0,42.0,66.67,308.0,1.0,2.0,76.3,4.0,26.0,7.33,5.67
2001,2001-09-23,30.093000000000004,24.0,35.0,68.57,321.0,3.0,1.0,114.1,1.0,11.0,9.17,9.6
2001,2001-09-30,30.1,24.0,31.0,77.42,328.0,4.0,0.0,150.3,1.0,10.0,10.58,13.16
2001,2001-10-08,30.108,29.0,37.0,78.38,291.0,3.0,0.0,126.5,1.0,7.0,7.86,9.49
2001,2001-10-14,30.114,28.0,46.0,60.87,316.0,0.0,1.0,72.4,6.0,42.0,6.87,5.89
2001,2001-10-21,30.121,18.0,27.0,66.67,215.0,1.0,0.0,103.2,2.0,4.0,7.96,8.7
2001,2001-10-28,30.128,29.0,47.0,61.7,385.0,1.0,4.0,59.3,2.0,10.0,8.19,4.79
2001,2001-11-11,30.142,14.0,20.0,70.0,144.0,1.0,3.0,67.5,0.0,0.0,7.2,1.45
2001,2001-11-18,30.149,30.0,42.0,71.43,401.0,3.0,2.0,105.4,1.0,5.0,9.55,8.83
2001,2001-11-26,30.156999999999996,19.0,39.0,48.72,291.0,1.0,2.0,61.0,3.0,22.0,7.46,5.67
2001,2001-12-02,30.163,17.0,23.0,73.91,342.0,4.0,0.0,155.3,2.0,9.0,14.87,18.35
2001,2001-12-09,30.17,26.0,42.0,61.9,294.0,2.0,1.0,88.8,4.0,24.0,7.0,6.88
2001,2001-12-17,30.178,23.0,32.0,71.88,338.0,4.0,0.0,145.6,4.0,29.0,10.56,13.06
2001,2001-12-23,30.184,18.0,23.0,78.26,217.0,2.0,2.0,98.7,3.0,20.0,9.43,7.26
2001,2001-12-30,30.191,23.0,30.0,76.67,359.0,3.0,1.0,135.3,2.0,0.0,11.97,12.47
2001,2002-01-06,30.198,25.0,30.0,83.33,280.0,3.0,3.0,99.3,2.0,14.0,9.33,6.83
2002,2002-09-08,31.078000000000003,32.0,41.0,78.05,315.0,0.0,1.0,88.5,3.0,20.0,7.68,6.59
2002,2002-09-15,31.085,26.0,39.0,66.67,266.0,1.0,2.0,73.2,1.0,6.0,6.82,5.03
2002,2002-09-23,31.093000000000004,30.0,45.0,66.67,301.0,0.0,4.0,48.5,5.0,32.0,6.69,2.69
2002,2002-09-29,31.099,1.0,2.0,50.0,17.0,0.0,1.0,39.6,0.0,0.0,8.5,-14.0
2002,2002-11-18,31.149,1.0,2.0,50.0,13.0,0.0,0.0,70.8,1.0,7.0,6.5,6.5
2002,2002-11-24,31.155,34.0,49.0,69.39,301.0,2.0,1.0,90.6,3.0,21.0,6.14,6.04
2002,2002-12-01,31.162,20.0,42.0,47.62,218.0,0.0,2.0,43.6,8.0,44.0,5.19,3.05
2003,2003-09-07,32.077,34.0,54.0,62.96,342.0,1.0,1.0,79.4,6.0,38.0,6.33,5.87
2003,2003-12-28,32.189,4.0,11.0,36.36,23.0,0.0,0.0,44.9,0.0,0.0,2.09,2.09
2004,2004-09-12,33.082,16.0,28.0,57.14,203.0,0.0,0.0,79.9,4.0,23.0,7.25,7.25
2004,2004-09-19,33.089,22.0,33.0,66.67,232.0,1.0,0.0,97.0,2.0,17.0,7.03,7.64
2004,2004-09-26,33.096,19.0,27.0,70.37,286.0,0.0,0.0,104.9,2.0,12.0,10.59,10.59
2004,2004-10-03,33.103,20.0,26.0,76.92,187.0,1.0,1.0,92.9,4.0,29.0,7.19,6.23
2004,2004-10-10,33.11,18.0,33.0,54.55,217.0,1.0,0.0,85.0,3.0,6.0,6.58,7.18
2004,2004-10-24,33.124,23.0,34.0,67.65,270.0,1.0,1.0,89.1,6.0,20.0,7.94,7.21
2004,2004-10-31,33.131,13.0,21.0,61.9,144.0,0.0,0.0,82.2,5.0,29.0,6.86,6.86
2004,2004-11-07,33.138000000000005,18.0,36.0,50.0,195.0,1.0,2.0,52.4,7.0,28.0,5.42,3.47
2004,2004-11-14,33.145,19.0,30.0,63.33,193.0,1.0,0.0,92.8,6.0,32.0,6.43,7.1
2004,2004-12-12,33.173,6.0,9.0,66.67,127.0,0.0,0.0,109.7,0.0,0.0,14.11,14.11
2005,2005-09-11,34.080999999999996,27.0,46.0,58.7,264.0,1.0,1.0,73.1,3.0,29.0,5.74,5.2
2005,2005-09-18,34.088,29.0,42.0,69.05,327.0,0.0,1.0,82.1,5.0,30.0,7.79,6.71
2005,2005-09-25,34.095,8.0,13.0,61.54,105.0,0.0,0.0,87.0,1.0,9.0,8.08,8.08
2005,2005-11-06,34.137,29.0,48.0,60.42,334.0,1.0,3.0,62.3,4.0,27.0,6.96,4.56
2005,2005-11-13,34.144,29.0,45.0,64.44,359.0,1.0,0.0,96.4,0.0,0.0,7.98,8.42
2005,2005-11-20,34.150999999999996,27.0,39.0,69.23,285.0,3.0,0.0,115.9,1.0,7.0,7.31,8.85
2005,2005-11-27,34.158,29.0,46.0,63.04,315.0,2.0,1.0,88.6,3.0,14.0,6.85,6.74
2005,2005-12-04,34.165,29.0,45.0,64.44,354.0,1.0,2.0,77.5,2.0,15.0,7.87,6.31
2005,2005-12-11,34.172,25.0,41.0,60.98,255.0,1.0,1.0,76.8,2.0,15.0,6.22,5.61
2005,2005-12-18,34.179,10.0,10.0,100.0,115.0,1.0,0.0,147.9,2.0,12.0,11.5,13.5
2006,2006-09-10,35.08,23.0,37.0,62.16,301.0,3.0,0.0,114.8,3.0,18.0,8.14,9.76
2006,2006-09-17,35.086999999999996,24.0,38.0,63.16,231.0,1.0,1.0,77.9,5.0,40.0,6.08,5.42
2006,2006-09-24,35.094,19.0,28.0,67.86,256.0,1.0,3.0,69.0,1.0,10.0,9.14,5.04
2006,2006-10-01,35.101,11.0,20.0,55.0,128.0,0.0,1.0,53.7,3.0,17.0,6.4,4.15
2006,2006-12-10,35.171,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2006,2006-12-24,35.185,9.0,13.0,69.23,105.0,0.0,0.0,93.4,1.0,9.0,8.08,8.08
2006,2006-12-31,35.192,22.0,32.0,68.75,356.0,1.0,0.0,116.1,1.0,10.0,11.13,11.75
2007,2007-09-23,36.093,15.0,20.0,75.0,258.0,2.0,0.0,150.0,0.0,0.0,12.9,14.9
2007,2007-09-30,36.1,14.0,21.0,66.67,132.0,1.0,0.0,99.7,1.0,6.0,6.29,7.24
2007,2007-10-07,36.107,14.0,28.0,50.0,190.0,1.0,1.0,69.0,0.0,0.0,6.79,5.89
2007,2007-10-14,36.114000000000004,2.0,2.0,100.0,21.0,0.0,0.0,110.4,2.0,21.0,10.5,10.5
2007,2007-10-21,36.121,27.0,41.0,65.85,282.0,2.0,2.0,81.6,1.0,3.0,6.88,5.66
2007,2007-11-04,36.135,10.0,30.0,33.33,172.0,0.0,2.0,26.0,0.0,0.0,5.73,2.73
2007,2007-11-11,36.141999999999996,26.0,36.0,72.22,259.0,3.0,1.0,108.4,2.0,15.0,7.19,7.61
2007,2007-11-18,36.149,16.0,28.0,57.14,211.0,2.0,0.0,104.9,3.0,14.0,7.54,8.96
2007,2007-11-25,36.156,34.0,48.0,70.83,484.0,2.0,2.0,99.7,4.0,30.0,10.08,9.04
2007,2007-12-02,36.163000000000004,18.0,30.0,60.0,169.0,2.0,1.0,83.9,0.0,0.0,5.63,5.47
2007,2007-12-09,36.17,28.0,46.0,60.87,337.0,3.0,5.0,65.5,5.0,32.0,7.33,3.74
2007,2007-12-16,36.177,19.0,30.0,63.33,233.0,3.0,1.0,106.7,2.0,19.0,7.77,8.27
2007,2007-12-23,36.184,35.0,52.0,67.31,369.0,3.0,0.0,107.0,0.0,0.0,7.1,8.25
2007,2007-12-30,36.191,23.0,39.0,58.97,300.0,3.0,2.0,87.6,0.0,0.0,7.69,6.92
2008,2008-09-07,37.077,19.0,30.0,63.33,197.0,1.0,0.0,93.3,3.0,21.0,6.57,7.23
2008,2008-09-14,37.084,19.0,24.0,79.17,361.0,3.0,0.0,158.3,2.0,12.0,15.04,17.54
2008,2008-09-21,37.091,16.0,30.0,53.33,192.0,2.0,1.0,81.5,2.0,13.0,6.4,6.23
2008,2008-09-28,37.098,40.0,57.0,70.18,472.0,2.0,3.0,84.8,5.0,46.0,8.28,6.61
2008,2008-10-05,37.105,33.0,42.0,78.57,250.0,2.0,0.0,107.3,0.0,0.0,5.95,6.9
2008,2008-10-12,37.111999999999995,22.0,30.0,73.33,236.0,2.0,1.0,104.3,1.0,10.0,7.87,7.7
2008,2008-10-26,37.126,35.0,49.0,71.43,381.0,2.0,1.0,99.1,2.0,16.0,7.78,7.67
2008,2008-11-02,37.133,22.0,33.0,66.67,343.0,2.0,0.0,121.1,1.0,9.0,10.39,11.61
2008,2008-11-10,37.141,32.0,42.0,76.19,328.0,3.0,0.0,121.9,0.0,0.0,7.81,9.24
2008,2008-11-16,37.147,32.0,44.0,72.73,395.0,1.0,1.0,98.2,2.0,13.0,8.98,8.41
2008,2008-11-23,37.154,32.0,52.0,61.54,351.0,1.0,1.0,79.9,1.0,3.0,6.75,6.27
2008,2008-11-27,37.158,21.0,39.0,53.85,235.0,3.0,3.0,65.7,0.0,0.0,6.03,4.1
