Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-12-23,22.29,4.0,4.0,100.0,38.0,0.0,0.0,106.2,0.0,0.0,9.5,9.5
2018,2018-12-30,22.296999999999997,16.0,27.0,59.26,228.0,2.0,0.0,111.3,0.0,0.0,8.44,9.93
2019,2019-09-22,23.198,19.0,26.0,73.08,261.0,4.0,0.0,144.4,2.0,21.0,10.04,13.12
2019,2019-09-29,23.205,24.0,34.0,70.59,232.0,0.0,0.0,89.3,3.0,29.0,6.82,6.82
2019,2019-10-06,23.212,17.0,30.0,56.67,181.0,1.0,0.0,85.6,3.0,21.0,6.03,6.7
2019,2019-10-13,23.219,20.0,32.0,62.5,227.0,2.0,0.0,104.6,2.0,18.0,7.09,8.34
2019,2019-10-27,23.233,19.0,37.0,51.35,158.0,0.0,3.0,28.9,7.0,58.0,4.27,0.62
2019,2019-11-03,23.24,17.0,32.0,53.13,232.0,2.0,1.0,84.4,3.0,18.0,7.25,7.09
2019,2019-11-10,23.247,28.0,43.0,65.12,307.0,1.0,1.0,84.2,3.0,26.0,7.14,6.56
2019,2019-11-17,23.254,31.0,50.0,62.0,325.0,0.0,4.0,47.5,5.0,55.0,6.5,2.9
2019,2019-11-24,23.261,23.0,36.0,63.89,256.0,3.0,0.0,112.7,4.0,26.0,7.11,8.78
2019,2019-12-01,23.268,27.0,46.0,58.7,278.0,2.0,1.0,81.6,7.0,65.0,6.04,5.93
2019,2019-12-08,23.275,28.0,41.0,68.29,293.0,1.0,2.0,76.6,5.0,48.0,7.15,5.44
2019,2019-12-15,23.281999999999996,25.0,41.0,60.98,277.0,1.0,3.0,58.7,1.0,8.0,6.76,3.95
2019,2019-12-29,23.296,25.0,41.0,60.98,295.0,0.0,1.0,72.7,1.0,4.0,7.2,6.1
2020,2020-10-11,24.217,9.0,13.0,69.23,74.0,0.0,0.0,83.5,2.0,10.0,5.69,5.69
2020,2020-10-18,24.224,31.0,42.0,73.81,280.0,2.0,1.0,97.3,3.0,29.0,6.67,6.55
2020,2020-10-25,24.230999999999998,15.0,25.0,60.0,194.0,2.0,0.0,111.1,2.0,5.0,7.76,9.36
2020,2020-11-08,24.245,5.0,7.0,71.43,62.0,0.0,0.0,98.5,0.0,0.0,8.86,8.86
