Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2003,2003-09-07,22.081999999999997,22.0,43.0,51.16,152.0,1.0,1.0,57.5,2.0,9.0,3.53,2.95
2003,2003-09-14,22.089000000000002,7.0,17.0,41.18,78.0,0.0,1.0,31.0,3.0,21.0,4.59,1.94
2003,2003-09-21,22.096,12.0,21.0,57.14,98.0,1.0,1.0,65.2,1.0,1.0,4.67,3.48
2003,2003-09-28,22.103,15.0,26.0,57.69,140.0,0.0,3.0,33.0,3.0,16.0,5.38,0.19
2003,2003-10-12,22.116999999999997,9.0,18.0,50.0,75.0,0.0,0.0,61.1,1.0,3.0,4.17,4.17
2003,2003-10-19,22.124000000000002,15.0,27.0,55.56,302.0,2.0,1.0,104.2,3.0,21.0,11.19,11.0
2003,2003-10-26,22.131,15.0,27.0,55.56,137.0,1.0,0.0,81.9,2.0,11.0,5.07,5.81
2003,2003-11-02,22.138,10.0,23.0,43.48,156.0,1.0,1.0,63.0,0.0,0.0,6.78,5.7
2003,2003-11-09,22.145,10.0,21.0,47.62,112.0,1.0,1.0,60.0,2.0,10.0,5.33,4.14
2003,2003-12-21,22.186999999999998,1.0,1.0,100.0,10.0,0.0,0.0,108.3,0.0,0.0,10.0,10.0
2003,2003-12-28,22.194000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2004-09-12,23.087,22.0,38.0,57.89,191.0,0.0,2.0,49.3,3.0,25.0,5.03,2.66
2004,2004-09-19,23.094,10.0,18.0,55.56,98.0,0.0,0.0,71.1,2.0,11.0,5.44,5.44
2004,2004-09-26,23.101,11.0,18.0,61.11,126.0,1.0,0.0,100.7,2.0,0.0,7.0,8.11
2004,2004-10-04,23.109,10.0,17.0,58.82,154.0,1.0,0.0,108.5,4.0,27.0,9.06,10.24
2004,2004-10-10,23.115,9.0,18.0,50.0,81.0,0.0,3.0,22.9,2.0,5.0,4.5,-3.0
2004,2004-10-24,23.129,10.0,19.0,52.63,86.0,0.0,0.0,64.8,4.0,26.0,4.53,4.53
2004,2004-10-31,23.136,24.0,38.0,63.16,223.0,1.0,1.0,77.0,2.0,9.0,5.87,5.21
2004,2004-11-07,23.143,17.0,30.0,56.67,142.0,0.0,0.0,69.0,1.0,8.0,4.73,4.73
2004,2004-11-14,23.15,19.0,33.0,57.58,213.0,2.0,0.0,97.2,3.0,27.0,6.45,7.67
2004,2004-11-21,23.156999999999996,23.0,34.0,67.65,232.0,2.0,0.0,106.5,1.0,4.0,6.82,8.0
2004,2004-11-28,23.164,15.0,35.0,42.86,93.0,0.0,1.0,38.4,4.0,46.0,2.66,1.37
2004,2004-12-05,23.171,19.0,33.0,57.58,172.0,0.0,1.0,59.2,1.0,8.0,5.21,3.85
2004,2004-12-12,23.178,18.0,34.0,52.94,219.0,4.0,0.0,112.3,4.0,35.0,6.44,8.79
2004,2004-12-19,23.185,19.0,40.0,47.5,210.0,1.0,2.0,51.0,2.0,16.0,5.25,3.5
2004,2004-12-26,23.191999999999997,18.0,32.0,56.25,177.0,0.0,1.0,59.0,0.0,0.0,5.53,4.13
2004,2005-01-02,23.199,14.0,27.0,51.85,142.0,1.0,0.0,79.6,0.0,0.0,5.26,6.0
2005,2005-09-11,24.086,15.0,23.0,65.22,141.0,0.0,1.0,63.9,1.0,10.0,6.13,4.17
2005,2005-11-13,24.149,19.0,33.0,57.58,142.0,0.0,3.0,30.1,4.0,32.0,4.3,0.21
2005,2005-11-20,24.156,21.0,36.0,58.33,163.0,1.0,1.0,67.2,5.0,26.0,4.53,3.83
2005,2005-11-27,24.163,18.0,32.0,56.25,211.0,3.0,2.0,81.6,3.0,22.0,6.59,5.66
2005,2005-12-04,24.17,17.0,33.0,51.52,198.0,0.0,0.0,70.0,4.0,33.0,6.0,6.0
2005,2005-12-11,24.177,23.0,39.0,58.97,251.0,1.0,2.0,65.2,2.0,0.0,6.44,4.64
2005,2005-12-19,24.185,19.0,27.0,70.37,253.0,3.0,0.0,136.8,0.0,0.0,9.37,11.59
2005,2005-12-25,24.191,24.0,34.0,70.59,289.0,3.0,1.0,113.5,2.0,10.0,8.5,8.94
2005,2006-01-01,24.198,15.0,36.0,41.67,151.0,0.0,2.0,31.1,2.0,13.0,4.19,1.69
2006,2006-09-10,25.085,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-15,25.12,17.0,31.0,54.84,226.0,3.0,1.0,97.0,2.0,9.0,7.29,7.77
2006,2006-11-26,25.162,3.0,3.0,100.0,21.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2006,2006-12-17,25.183000000000003,13.0,21.0,61.9,238.0,2.0,1.0,112.8,1.0,7.0,11.33,11.1
2006,2006-12-24,25.19,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-10,26.085,2.0,6.0,33.33,19.0,0.0,1.0,3.5,0.0,0.0,3.17,-4.33
2007,2007-09-16,26.090999999999998,23.0,35.0,65.71,185.0,2.0,0.0,97.9,0.0,0.0,5.29,6.43
2007,2007-09-23,26.098000000000003,8.0,10.0,80.0,83.0,0.0,0.0,101.2,2.0,7.0,8.3,8.3
