Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-09-11,22.301,15.0,28.0,53.57,141.0,0.0,1.0,52.8,3.0,16.0,5.04,3.43
2005,2005-09-18,22.308000000000003,14.0,21.0,66.67,150.0,1.0,0.0,103.3,2.0,12.0,7.14,8.1
2005,2005-09-25,22.315,17.0,39.0,43.59,149.0,0.0,5.0,14.7,0.0,0.0,3.82,-1.95
2005,2005-10-09,22.329,16.0,26.0,61.54,117.0,1.0,0.0,84.9,4.0,27.0,4.5,5.27
2005,2005-10-16,22.336,16.0,25.0,64.0,117.0,2.0,1.0,84.9,3.0,20.0,4.68,4.48
2005,2005-10-23,22.343000000000004,15.0,29.0,51.72,145.0,1.0,0.0,77.5,2.0,12.0,5.0,5.69
2005,2005-10-30,22.35,17.0,31.0,54.84,230.0,1.0,0.0,89.4,2.0,12.0,7.42,8.06
2005,2005-11-06,22.357,12.0,26.0,46.15,137.0,1.0,2.0,43.3,2.0,6.0,5.27,2.58
2005,2005-11-13,22.364,8.0,13.0,61.54,67.0,0.0,1.0,42.8,0.0,0.0,5.15,1.69
2005,2005-11-20,23.006,15.0,26.0,57.69,136.0,1.0,1.0,68.7,0.0,0.0,5.23,4.27
2005,2005-11-27,23.013,14.0,28.0,50.0,134.0,1.0,1.0,60.7,2.0,13.0,4.79,3.89
2005,2005-12-04,23.02,6.0,17.0,35.29,68.0,0.0,1.0,23.7,3.0,19.0,4.0,1.35
2005,2005-12-11,23.026999999999997,17.0,35.0,48.57,207.0,0.0,0.0,67.2,3.0,22.0,5.91,5.91
2005,2005-12-18,23.034000000000002,2.0,10.0,20.0,12.0,0.0,0.0,39.6,1.0,7.0,1.2,1.2
2005,2006-01-01,23.048000000000002,6.0,14.0,42.86,59.0,0.0,0.0,55.4,3.0,24.0,4.21,4.21
2007,2007-12-17,25.033,22.0,38.0,57.89,184.0,0.0,1.0,59.5,1.0,7.0,4.84,3.66
2007,2007-12-23,25.039,9.0,15.0,60.0,104.0,1.0,0.0,103.2,0.0,0.0,6.93,8.27
2007,2007-12-30,25.046,12.0,27.0,44.44,190.0,2.0,1.0,77.7,1.0,5.0,7.04,6.85
2008,2008-09-07,25.298000000000002,13.0,21.0,61.9,150.0,0.0,0.0,83.4,2.0,14.0,7.14,7.14
2008,2008-09-14,25.305,19.0,32.0,59.38,149.0,0.0,0.0,71.0,1.0,8.0,4.66,4.66
2008,2008-09-21,25.311999999999998,22.0,34.0,64.71,268.0,2.0,2.0,83.9,3.0,21.0,7.88,6.41
2008,2008-09-28,25.319000000000003,18.0,34.0,52.94,199.0,3.0,2.0,75.5,4.0,21.0,5.85,4.97
2008,2008-10-05,25.326,24.0,34.0,70.59,334.0,2.0,0.0,121.4,1.0,6.0,9.82,11.0
2008,2008-10-12,25.333000000000002,26.0,43.0,60.47,286.0,1.0,0.0,87.9,1.0,4.0,6.65,7.12
2008,2008-10-19,25.34,21.0,32.0,65.63,283.0,2.0,0.0,114.5,2.0,9.0,8.84,10.09
2008,2008-11-02,25.354,8.0,14.0,57.14,108.0,0.0,0.0,81.8,1.0,0.0,7.71,7.71
2008,2008-11-16,26.002,13.0,26.0,50.0,133.0,0.0,0.0,65.1,1.0,8.0,5.12,5.12
2008,2008-11-23,26.009,17.0,28.0,60.71,132.0,1.0,0.0,84.2,1.0,6.0,4.71,5.43
2008,2008-11-30,26.016,11.0,29.0,37.93,153.0,2.0,3.0,39.1,3.0,28.0,5.28,2.0
2008,2008-12-07,26.023000000000003,20.0,34.0,58.82,219.0,2.0,1.0,85.3,1.0,9.0,6.44,6.29
2008,2008-12-11,26.026999999999997,24.0,40.0,60.0,172.0,0.0,2.0,49.2,1.0,1.0,4.3,2.05
2008,2008-12-22,26.038,14.0,27.0,51.85,142.0,1.0,2.0,48.7,3.0,6.0,5.26,2.67
2008,2008-12-28,26.044,22.0,37.0,59.46,244.0,2.0,0.0,97.1,2.0,19.0,6.59,7.68
2009,2009-09-13,26.303,17.0,28.0,60.71,243.0,1.0,0.0,100.7,3.0,16.0,8.68,9.39
2009,2009-09-20,26.31,19.0,37.0,51.35,263.0,1.0,0.0,83.5,0.0,0.0,7.11,7.65
2009,2009-09-27,26.316999999999997,13.0,23.0,56.52,157.0,1.0,0.0,92.1,0.0,0.0,6.83,7.7
2009,2009-10-04,26.324,20.0,29.0,68.97,243.0,2.0,0.0,117.5,3.0,22.0,8.38,9.76
2009,2009-10-11,26.331,35.0,48.0,72.92,330.0,2.0,1.0,96.7,2.0,9.0,6.88,6.77
2009,2009-10-19,26.339000000000002,20.0,29.0,68.97,229.0,2.0,0.0,115.4,1.0,2.0,7.9,9.28
2009,2009-11-01,26.351999999999997,23.0,37.0,62.16,152.0,0.0,0.0,71.0,2.0,18.0,4.11,4.11
2009,2009-11-09,26.36,23.0,38.0,60.53,221.0,0.0,3.0,43.9,2.0,6.0,5.82,2.26
2009,2009-11-15,27.000999999999998,11.0,18.0,61.11,193.0,2.0,0.0,134.7,0.0,0.0,10.72,12.94
