Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2019,2019-09-08,22.031999999999996,29.0,54.0,53.7,308.0,2.0,1.0,75.2,5.0,33.0,5.7,5.61
2019,2019-09-15,22.039,25.0,40.0,62.5,349.0,0.0,0.0,90.5,3.0,20.0,8.73,8.73
2019,2019-09-22,22.046,30.0,43.0,69.77,173.0,2.0,2.0,73.1,8.0,46.0,4.02,2.86
2019,2019-09-29,22.053,22.0,32.0,68.75,241.0,0.0,1.0,77.7,4.0,35.0,7.53,6.13
2019,2019-10-06,22.06,20.0,32.0,62.5,253.0,0.0,0.0,87.1,1.0,5.0,7.91,7.91
2019,2019-10-13,22.066999999999997,27.0,37.0,72.97,340.0,3.0,0.0,128.2,0.0,0.0,9.19,10.81
2019,2019-10-20,22.074,14.0,21.0,66.67,104.0,0.0,0.0,78.3,2.0,15.0,4.95,4.95
2019,2019-10-27,22.081,19.0,33.0,57.58,220.0,0.0,0.0,77.8,3.0,19.0,6.67,6.67
2019,2019-10-31,22.085,17.0,24.0,70.83,241.0,2.0,0.0,130.7,3.0,37.0,10.04,11.71
2019,2019-11-10,22.095,27.0,44.0,61.36,324.0,3.0,1.0,97.2,2.0,8.0,7.36,7.7
2019,2019-11-17,22.101999999999997,24.0,33.0,72.73,150.0,2.0,0.0,101.8,4.0,19.0,4.55,5.76
2019,2019-12-01,22.116,19.0,34.0,55.88,163.0,0.0,1.0,56.4,6.0,39.0,4.79,3.47
2019,2019-12-08,22.123,20.0,30.0,66.67,194.0,2.0,3.0,67.2,5.0,29.0,6.47,3.3
2019,2019-12-15,22.13,19.0,25.0,76.0,219.0,1.0,1.0,98.6,0.0,0.0,8.76,7.76
2019,2019-12-22,22.136999999999997,11.0,18.0,61.11,118.0,1.0,0.0,98.8,1.0,1.0,6.56,7.67
2019,2019-12-29,22.144000000000002,26.0,42.0,61.9,325.0,2.0,2.0,81.9,1.0,3.0,7.74,6.55
2020,2020-09-13,23.037,26.0,40.0,65.0,230.0,1.0,1.0,78.1,2.0,6.0,5.75,5.13
2020,2020-09-20,23.044,26.0,38.0,68.42,286.0,1.0,1.0,88.3,3.0,8.0,7.53,6.87
2020,2020-09-27,23.051,23.0,35.0,65.71,270.0,2.0,3.0,72.3,1.0,2.0,7.71,5.0
2020,2020-10-04,23.058000000000003,24.0,31.0,77.42,133.0,3.0,0.0,116.7,1.0,0.0,4.29,6.23
2020,2020-10-11,23.065,27.0,37.0,72.97,380.0,1.0,1.0,103.4,1.0,11.0,10.27,9.59
2020,2020-10-19,23.073,9.0,24.0,37.5,188.0,2.0,0.0,93.7,1.0,11.0,7.83,9.5
2020,2020-10-25,23.079,34.0,48.0,70.83,360.0,3.0,1.0,104.5,0.0,0.0,7.5,7.81
2020,2020-11-08,23.093000000000004,21.0,26.0,80.77,283.0,3.0,0.0,150.5,1.0,19.0,10.88,13.19
2020,2020-11-15,23.1,22.0,32.0,68.75,245.0,1.0,1.0,88.7,3.0,9.0,7.66,6.88
2020,2020-11-19,23.104,29.0,42.0,69.05,269.0,2.0,0.0,102.2,3.0,12.0,6.4,7.36
2020,2020-11-29,23.114,23.0,34.0,67.65,170.0,0.0,1.0,67.0,2.0,10.0,5.0,3.68
2020,2020-12-06,23.121,21.0,39.0,53.85,173.0,3.0,1.0,80.4,2.0,33.0,4.44,4.82
2020,2020-12-13,23.128,24.0,35.0,68.57,244.0,1.0,0.0,97.8,1.0,13.0,6.97,7.54
2020,2020-12-20,23.135,27.0,36.0,75.0,406.0,3.0,1.0,127.8,1.0,9.0,11.28,11.69
2020,2020-12-26,23.141,31.0,50.0,62.0,247.0,0.0,1.0,66.0,3.0,17.0,4.94,4.04
