Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2018,2018-09-09,21.245,1.0,4.0,25.0,24.0,0.0,0.0,52.1,1.0,8.0,6.0,6.0
2018,2018-09-13,21.249000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-09-23,21.259,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-09-30,21.266,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-10-07,21.273000000000003,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2018,2018-10-14,21.28,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2018,2018-10-21,21.287,1.0,1.0,100.0,5.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
2018,2018-10-28,21.294,4.0,5.0,80.0,46.0,1.0,0.0,144.6,0.0,0.0,9.2,13.2
2018,2018-11-04,21.301,1.0,1.0,100.0,12.0,0.0,0.0,116.7,0.0,0.0,12.0,12.0
2018,2018-11-18,21.315,13.0,19.0,68.42,150.0,0.0,1.0,70.1,3.0,14.0,7.89,5.53
2018,2018-11-25,21.322,14.0,25.0,56.0,178.0,1.0,2.0,58.4,1.0,4.0,7.12,4.32
2018,2018-12-02,21.329,12.0,21.0,57.14,125.0,0.0,0.0,74.5,2.0,8.0,5.95,5.95
2018,2018-12-09,21.336,13.0,24.0,54.17,147.0,2.0,0.0,100.5,2.0,20.0,6.13,7.79
2018,2018-12-16,21.343000000000004,14.0,23.0,60.87,131.0,1.0,0.0,91.0,2.0,3.0,5.7,6.57
2018,2018-12-22,21.349,12.0,22.0,54.55,204.0,1.0,0.0,101.3,3.0,2.0,9.27,10.18
2018,2018-12-30,21.357,14.0,24.0,58.33,179.0,0.0,0.0,81.8,2.0,12.0,7.46,7.46
2019,2019-09-08,22.244,17.0,20.0,85.0,324.0,5.0,0.0,158.3,1.0,1.0,16.2,21.2
2019,2019-09-15,22.250999999999998,24.0,37.0,64.86,272.0,2.0,0.0,104.8,2.0,14.0,7.35,8.43
2019,2019-09-22,22.258000000000003,22.0,43.0,51.16,267.0,0.0,0.0,70.6,3.0,18.0,6.21,6.21
2019,2019-09-29,22.265,24.0,34.0,70.59,247.0,3.0,2.0,96.1,4.0,25.0,7.26,6.38
2019,2019-10-06,22.272,19.0,28.0,67.86,161.0,1.0,3.0,54.9,5.0,22.0,5.75,1.64
2019,2019-10-13,22.279,21.0,33.0,63.64,236.0,0.0,0.0,84.9,1.0,8.0,7.15,7.15
2019,2019-10-20,22.285999999999998,9.0,20.0,45.0,143.0,0.0,0.0,69.4,1.0,2.0,7.15,7.15
2019,2019-11-03,22.3,17.0,23.0,73.91,163.0,1.0,0.0,107.7,1.0,1.0,7.09,7.96
2019,2019-11-10,22.307,15.0,17.0,88.24,223.0,3.0,0.0,158.3,0.0,0.0,13.12,16.65
2019,2019-11-17,22.314,17.0,24.0,70.83,222.0,4.0,0.0,139.2,0.0,0.0,9.25,12.58
2019,2019-11-25,22.322,15.0,20.0,75.0,169.0,5.0,0.0,139.4,2.0,9.0,8.45,13.45
2019,2019-12-01,22.328000000000003,14.0,23.0,60.87,105.0,1.0,0.0,86.3,1.0,0.0,4.57,5.43
2019,2019-12-08,22.335,16.0,25.0,64.0,145.0,3.0,1.0,102.5,1.0,6.0,5.8,6.4
2019,2019-12-12,22.339000000000002,15.0,23.0,65.22,212.0,5.0,0.0,134.4,1.0,0.0,9.22,13.57
2019,2019-12-22,22.349,20.0,31.0,64.52,238.0,3.0,0.0,120.1,0.0,0.0,7.68,9.61
2020,2020-09-13,23.25,20.0,25.0,80.0,275.0,3.0,0.0,152.1,2.0,14.0,11.0,13.4
2020,2020-09-20,23.256999999999998,18.0,24.0,75.0,204.0,1.0,0.0,113.9,4.0,27.0,8.5,9.33
2020,2020-09-28,23.265,15.0,28.0,53.57,97.0,1.0,0.0,73.1,4.0,27.0,3.46,4.18
2020,2020-10-04,23.271,14.0,21.0,66.67,193.0,2.0,1.0,107.8,1.0,2.0,9.19,8.95
2020,2020-10-11,23.278000000000002,19.0,37.0,51.35,180.0,2.0,1.0,71.9,1.0,9.0,4.86,4.73
2020,2020-10-18,23.285,16.0,27.0,59.26,186.0,1.0,0.0,92.5,3.0,13.0,6.89,7.63
2020,2020-11-01,23.299,13.0,28.0,46.43,208.0,2.0,2.0,65.8,4.0,16.0,7.43,5.64
2020,2020-11-08,23.305999999999997,19.0,23.0,82.61,170.0,0.0,0.0,97.5,2.0,14.0,7.39,7.39
2020,2020-11-15,23.313000000000002,24.0,34.0,70.59,249.0,2.0,1.0,98.8,2.0,7.0,7.32,7.18
2020,2020-11-22,23.32,17.0,29.0,58.62,186.0,1.0,1.0,74.8,1.0,9.0,6.41,5.55
2020,2020-12-08,23.336,12.0,17.0,70.59,107.0,2.0,1.0,101.8,0.0,0.0,6.29,6.0
2020,2020-12-14,23.342,11.0,17.0,64.71,163.0,1.0,0.0,115.6,4.0,22.0,9.59,10.76
2020,2020-12-20,23.348000000000003,17.0,22.0,77.27,243.0,3.0,1.0,133.1,1.0,0.0,11.05,11.73
2020,2020-12-27,23.355,17.0,26.0,65.38,183.0,2.0,0.0,111.5,0.0,0.0,7.04,8.58
