Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1971,1971-09-19,21.335,8.0,20.0,40.0,144.0,0.0,3.0,25.8,3.0,21.0,7.2,0.45
1971,1971-09-26,21.342,,,,,,,,,,,
1971,1971-10-03,21.349,6.0,20.0,30.0,82.0,0.0,3.0,4.6,,,4.1,-2.65
1971,1971-10-31,22.011999999999997,1.0,5.0,20.0,7.0,0.0,0.0,39.6,,,1.4,1.4
1971,1971-11-14,22.026,3.0,11.0,27.27,60.0,0.0,3.0,10.2,,,5.45,-6.82
1971,1971-12-05,22.046999999999997,1.0,1.0,100.0,22.0,0.0,0.0,118.7,,,22.0,22.0
1971,1971-12-19,22.061,,,,,,,,,,,
1973,1973-09-16,23.331999999999997,,,,,,,,,,,
1973,1973-09-23,23.339000000000002,,,,,,,,,,,
1973,1973-09-30,23.346,5.0,8.0,62.5,55.0,0.0,1.0,43.2,,,6.88,1.25
1973,1973-10-07,23.353,,,,,,,,,,,
1973,1973-10-14,23.36,4.0,5.0,80.0,23.0,0.0,0.0,85.8,4.0,42.0,4.6,4.6
1973,1973-10-21,24.002,2.0,3.0,66.67,-2.0,0.0,0.0,70.1,1.0,12.0,-0.67,-0.67
1973,1973-10-28,24.009,10.0,18.0,55.56,99.0,1.0,2.0,50.2,3.0,35.0,5.5,1.61
1973,1973-11-04,24.016,22.0,32.0,68.75,340.0,3.0,2.0,108.9,,,10.63,9.69
1973,1973-11-11,24.023000000000003,12.0,22.0,54.55,139.0,1.0,0.0,89.0,1.0,9.0,6.32,7.23
1973,1973-11-18,24.03,12.0,23.0,52.17,191.0,1.0,2.0,58.4,1.0,14.0,8.3,5.26
1973,1973-11-25,24.037,3.0,6.0,50.0,35.0,0.0,1.0,28.5,2.0,17.0,5.83,-1.67
1973,1973-12-02,24.044,,,,,,,,,,,
1973,1973-12-09,24.051,1.0,3.0,33.33,8.0,0.0,2.0,2.8,1.0,9.0,2.67,-27.33
1973,1973-12-16,24.058000000000003,,,,,,,,,,,
