Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2002,2002-10-13,25.191,14.0,21.0,66.67,186.0,3.0,0.0,134.1,3.0,22.0,8.86,11.71
2002,2002-10-20,25.198,22.0,40.0,55.0,265.0,1.0,1.0,73.4,1.0,5.0,6.63,6.0
2002,2002-11-03,25.212,20.0,29.0,68.97,245.0,2.0,2.0,89.0,2.0,22.0,8.45,6.72
2002,2002-11-10,25.219,36.0,48.0,75.0,453.0,4.0,0.0,131.7,0.0,0.0,9.44,11.1
2002,2002-11-18,25.226999999999997,21.0,35.0,60.0,347.0,2.0,1.0,100.5,3.0,26.0,9.91,9.77
2002,2002-12-15,25.254,24.0,40.0,60.0,319.0,2.0,2.0,81.1,2.0,19.0,7.98,6.73
2002,2002-12-22,25.261,1.0,1.0,100.0,11.0,0.0,0.0,112.5,1.0,8.0,11.0,11.0
2003,2003-09-14,26.162,25.0,36.0,69.44,236.0,2.0,0.0,105.8,5.0,46.0,6.56,7.67
2003,2003-09-21,26.169,21.0,34.0,61.76,226.0,1.0,2.0,66.5,0.0,0.0,6.65,4.59
2003,2003-09-28,26.176,28.0,42.0,66.67,272.0,2.0,1.0,90.6,1.0,4.0,6.48,6.36
2003,2003-10-13,26.191,23.0,34.0,67.65,352.0,2.0,2.0,96.7,0.0,0.0,10.35,8.88
2003,2003-10-19,26.197,22.0,34.0,64.71,247.0,3.0,2.0,91.2,2.0,8.0,7.26,6.38
2003,2003-10-26,26.204,22.0,37.0,59.46,375.0,1.0,0.0,102.9,2.0,16.0,10.14,10.68
2003,2003-11-02,26.211,26.0,42.0,61.9,378.0,1.0,2.0,79.3,5.0,47.0,9.0,7.33
2003,2003-11-09,26.218000000000004,13.0,26.0,50.0,110.0,0.0,2.0,29.3,4.0,36.0,4.23,0.77
2003,2003-11-16,26.225,29.0,46.0,63.04,240.0,2.0,2.0,72.7,4.0,32.0,5.22,4.13
2003,2003-11-23,26.232,28.0,44.0,63.64,329.0,1.0,4.0,56.0,4.0,31.0,7.48,3.84
2003,2003-11-30,26.239,15.0,20.0,75.0,222.0,1.0,1.0,106.7,1.0,8.0,11.1,9.85
2003,2003-12-08,26.247,22.0,36.0,61.11,223.0,1.0,1.0,76.5,3.0,13.0,6.19,5.5
2003,2003-12-14,26.253,20.0,32.0,62.5,236.0,2.0,1.0,92.7,1.0,6.0,7.38,7.22
2003,2003-12-21,26.26,24.0,38.0,63.16,229.0,2.0,1.0,86.4,1.0,1.0,6.03,5.89
2003,2003-12-28,26.267,18.0,31.0,58.06,170.0,1.0,1.0,70.6,4.0,40.0,5.48,4.68
2004,2004-09-12,27.16,23.0,34.0,67.65,272.0,1.0,1.0,89.3,0.0,0.0,8.0,7.26
2004,2004-09-19,27.166999999999998,24.0,31.0,77.42,285.0,1.0,1.0,102.2,5.0,35.0,9.19,8.39
2004,2004-09-26,27.174,32.0,49.0,65.31,358.0,1.0,0.0,93.7,5.0,33.0,7.31,7.71
2004,2004-10-03,27.180999999999997,17.0,25.0,68.0,186.0,1.0,0.0,103.1,0.0,0.0,7.44,8.24
2004,2004-10-10,27.188000000000002,24.0,42.0,57.14,325.0,3.0,3.0,76.0,2.0,8.0,7.74,5.95
2004,2004-10-18,27.195999999999998,18.0,30.0,60.0,264.0,2.0,1.0,97.1,4.0,34.0,8.8,8.63
2004,2004-10-24,27.201999999999998,23.0,39.0,58.97,295.0,1.0,1.0,80.6,3.0,26.0,7.56,6.92
2004,2004-11-07,27.215999999999998,23.0,33.0,69.7,285.0,2.0,1.0,103.7,5.0,26.0,8.64,8.48
2004,2004-11-14,27.223000000000003,23.0,34.0,67.65,262.0,1.0,0.0,100.4,1.0,2.0,7.71,8.29
2004,2004-11-21,27.23,27.0,45.0,60.0,287.0,2.0,3.0,65.7,6.0,52.0,6.38,4.27
2004,2004-11-29,27.238000000000003,35.0,53.0,66.04,448.0,2.0,1.0,97.1,4.0,43.0,8.45,8.36
2004,2004-12-05,27.244,3.0,4.0,75.0,22.0,0.0,0.0,87.5,1.0,10.0,5.5,5.5
2004,2004-12-27,27.266,20.0,27.0,74.07,225.0,1.0,0.0,110.9,2.0,15.0,8.33,9.07
2004,2005-01-02,27.272,29.0,39.0,74.36,450.0,3.0,2.0,116.4,3.0,18.0,11.54,10.77
2005,2005-09-11,28.159000000000002,34.0,56.0,60.71,362.0,2.0,1.0,84.1,7.0,46.0,6.46,6.38
2005,2005-09-18,28.166,18.0,29.0,62.07,216.0,1.0,1.0,82.0,4.0,27.0,7.45,6.59
2005,2005-09-25,28.173000000000002,21.0,28.0,75.0,292.0,3.0,1.0,128.9,4.0,33.0,10.43,10.96
2005,2005-10-02,28.18,40.0,62.0,64.52,442.0,2.0,3.0,76.1,1.0,8.0,7.13,5.6
2005,2005-10-09,28.186999999999998,26.0,40.0,65.0,336.0,2.0,1.0,97.5,4.0,27.0,8.4,8.28
2005,2005-10-17,28.195,6.0,8.0,75.0,121.0,1.0,1.0,116.7,0.0,0.0,15.13,12.0
2005,2005-11-13,28.221999999999998,28.0,40.0,70.0,304.0,1.0,1.0,90.0,3.0,26.0,7.6,6.98
2005,2005-11-20,28.229,19.0,24.0,79.17,224.0,2.0,0.0,133.3,3.0,21.0,9.33,11.0
2006,2006-09-10,29.158,18.0,34.0,52.94,217.0,0.0,0.0,72.8,3.0,22.0,6.38,6.38
