Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-10-12,23.24,1.0,2.0,50.0,10.0,0.0,0.0,64.6,,,5.0,5.0
1980,1980-12-21,23.31,2.0,3.0,66.67,21.0,0.0,0.0,86.8,,,7.0,7.0
1981,1981-09-14,24.211,1.0,1.0,100.0,61.0,1.0,0.0,158.3,0.0,0.0,61.0,81.0
1981,1981-10-04,24.230999999999998,1.0,8.0,12.5,8.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.63
1981,1981-10-11,24.238000000000003,2.0,11.0,18.18,22.0,0.0,2.0,0.0,0.0,0.0,2.0,-6.18
1981,1981-10-18,24.245,17.0,34.0,50.0,176.0,0.0,3.0,28.6,1.0,0.0,5.18,1.21
1981,1981-10-25,24.252,19.0,47.0,40.43,251.0,1.0,4.0,29.7,3.0,26.0,5.34,1.94
1981,1981-11-01,24.259,22.0,36.0,61.11,283.0,1.0,1.0,83.4,2.0,8.0,7.86,7.17
1981,1981-11-08,24.266,16.0,32.0,50.0,175.0,0.0,2.0,40.5,1.0,8.0,5.47,2.66
1981,1981-11-15,24.273000000000003,16.0,39.0,41.03,180.0,3.0,0.0,81.1,2.0,19.0,4.62,6.15
1981,1981-11-22,24.28,12.0,24.0,50.0,203.0,1.0,2.0,58.2,4.0,28.0,8.46,5.54
1981,1981-11-29,24.287,20.0,33.0,60.61,218.0,3.0,1.0,97.8,6.0,62.0,6.61,7.06
1981,1981-12-07,24.295,18.0,29.0,62.07,275.0,3.0,1.0,113.4,3.0,18.0,9.48,10.0
1981,1981-12-13,24.301,17.0,38.0,44.74,240.0,1.0,1.0,63.5,5.0,46.0,6.32,5.66
1981,1981-12-21,24.309,12.0,34.0,35.29,219.0,0.0,1.0,46.1,3.0,26.0,6.44,5.12
1982,1982-09-12,25.209,,,,,,,,,,,
1982,1982-09-19,25.215999999999998,,,,,,,,,,,
1982,1982-11-22,25.28,,,,,,,,,,,
1982,1982-11-28,25.285999999999998,1.0,2.0,50.0,4.0,0.0,0.0,56.2,0.0,0.0,2.0,2.0
1982,1982-12-05,25.293000000000003,,,,,,,,,,,
1982,1982-12-18,25.305999999999997,,,,,,,,,,,
1982,1982-12-26,25.314,,,,,,,,,,,
1982,1983-01-02,25.320999999999998,,,,,,,,,,,
1983,1983-09-04,26.201,,,,,,,,,,,
1983,1983-09-11,26.208000000000002,,,,,,,,,,,
1983,1983-09-19,26.215999999999998,,,,,,,,,,,
1983,1983-09-25,26.221999999999998,,,,,,,,,,,
1983,1983-10-02,26.229,,,,,,,,,,,
1983,1983-10-09,26.236,,,,,,,,,,,
1983,1983-10-16,26.243000000000002,8.0,11.0,72.73,106.0,2.0,0.0,142.4,0.0,0.0,9.64,13.27
1983,1983-10-23,26.25,26.0,49.0,53.06,318.0,3.0,1.0,85.2,2.0,18.0,6.49,6.8
1983,1983-10-30,26.256999999999998,22.0,34.0,64.71,297.0,2.0,4.0,72.4,5.0,42.0,8.74,4.62
1983,1983-11-06,26.264,11.0,23.0,47.83,143.0,1.0,1.0,64.2,3.0,15.0,6.22,5.13
1984,1984-09-02,27.2,,,,,,,,,,,
1984,1984-09-09,27.206999999999997,,,,,,,,,,,
1984,1984-09-16,27.214000000000002,,,,,,,,,,,
1984,1984-09-24,27.221999999999998,,,,,,,,,,,
1984,1984-09-30,27.228,,,,,,,,,,,
1984,1984-10-07,27.235,12.0,19.0,63.16,309.0,2.0,0.0,141.9,3.0,13.0,16.26,18.37
1984,1984-10-14,27.241999999999997,21.0,37.0,56.76,268.0,1.0,1.0,77.3,2.0,17.0,7.24,6.57
1984,1984-10-21,27.249000000000002,24.0,37.0,64.86,332.0,5.0,1.0,121.8,2.0,4.0,8.97,10.46
1984,1984-10-28,27.256,19.0,36.0,52.78,252.0,1.0,3.0,49.8,4.0,18.0,7.0,3.81
1984,1984-11-04,27.263,7.0,19.0,36.84,70.0,0.0,2.0,8.6,6.0,31.0,3.68,-1.05
1984,1984-11-12,27.271,16.0,34.0,47.06,191.0,0.0,3.0,27.9,4.0,22.0,5.62,1.65
1984,1984-11-18,27.276999999999997,12.0,21.0,57.14,103.0,1.0,1.0,66.2,3.0,23.0,4.9,3.71
1984,1984-11-25,27.284000000000002,13.0,23.0,56.52,146.0,2.0,2.0,68.4,6.0,40.0,6.35,4.17
1984,1984-12-02,27.291,13.0,24.0,54.17,241.0,2.0,1.0,99.5,2.0,16.0,10.04,9.83
1984,1984-12-10,27.299,11.0,19.0,57.89,194.0,1.0,2.0,70.8,3.0,15.0,10.21,6.53
1984,1984-12-16,27.305,5.0,13.0,38.46,45.0,0.0,1.0,16.5,2.0,29.0,3.46,0.0
1985,1985-09-08,28.205,,,,,,,,,,,
1985,1985-09-12,28.209,,,,,,,,,,,
1985,1985-09-22,28.219,1.0,6.0,16.67,10.0,0.0,1.0,0.0,3.0,24.0,1.67,-5.83
1985,1985-09-29,28.226,9.0,19.0,47.37,162.0,1.0,1.0,72.7,2.0,12.0,8.53,7.21
1985,1985-10-06,28.233,18.0,29.0,62.07,241.0,1.0,0.0,99.9,3.0,21.0,8.31,9.0
1985,1985-10-13,28.24,14.0,31.0,45.16,169.0,1.0,0.0,73.2,3.0,23.0,5.45,6.1
1985,1985-10-20,28.247,15.0,36.0,41.67,213.0,2.0,1.0,68.4,1.0,14.0,5.92,5.78
1985,1985-10-28,28.255,15.0,31.0,48.39,258.0,0.0,2.0,50.2,1.0,6.0,8.32,5.42
1985,1985-11-03,28.261,15.0,33.0,45.45,156.0,0.0,4.0,20.1,4.0,26.0,4.73,-0.73
1985,1985-11-10,28.268,18.0,32.0,56.25,297.0,3.0,2.0,92.8,1.0,8.0,9.28,8.34
1985,1985-11-17,28.275,16.0,31.0,51.61,143.0,1.0,1.0,61.6,2.0,11.0,4.61,3.81
1985,1985-11-24,28.281999999999996,16.0,34.0,47.06,238.0,2.0,3.0,53.3,2.0,15.0,7.0,4.21
1985,1985-12-01,28.289,13.0,27.0,48.15,236.0,3.0,1.0,100.2,2.0,25.0,8.74,9.3
1985,1985-12-08,28.296,13.0,28.0,46.43,93.0,1.0,4.0,26.9,0.0,0.0,3.32,-2.39
1985,1985-12-15,28.303,11.0,22.0,50.0,204.0,0.0,0.0,82.4,2.0,9.0,9.27,9.27
1985,1985-12-23,28.311,19.0,29.0,65.52,188.0,1.0,1.0,80.8,1.0,8.0,6.48,5.62
1986,1986-09-07,29.204,20.0,33.0,60.61,346.0,3.0,0.0,126.6,3.0,31.0,10.48,12.3
1986,1986-09-14,29.211,20.0,39.0,51.28,175.0,0.0,3.0,31.5,5.0,47.0,4.49,1.03
1986,1986-09-21,29.218000000000004,,,,,,,,,,,
1986,1986-09-28,29.225,19.0,28.0,67.86,314.0,2.0,2.0,99.4,8.0,38.0,11.21,9.43
1986,1986-10-05,29.232,9.0,16.0,56.25,81.0,1.0,1.0,64.8,2.0,12.0,5.06,3.5
1986,1986-10-12,29.239,,,,,,,,,,,
1986,1986-10-19,29.246,11.0,19.0,57.89,116.0,1.0,0.0,93.3,3.0,15.0,6.11,7.16
1986,1986-10-26,29.253,16.0,34.0,47.06,230.0,4.0,1.0,96.4,2.0,12.0,6.76,7.79
1986,1986-11-02,29.26,25.0,47.0,53.19,367.0,1.0,4.0,50.6,4.0,41.0,7.81,4.4
1986,1986-11-09,29.267,4.0,14.0,28.57,37.0,0.0,3.0,0.0,3.0,17.0,2.64,-7.0
1986,1986-11-16,29.274,,,,,,,,,,,
1986,1986-11-20,29.278000000000002,,,,,,,,,,,
1986,1986-11-30,29.288,,,,,,,,,,,
1986,1986-12-08,29.296,5.0,10.0,50.0,55.0,0.0,1.0,27.1,4.0,14.0,5.5,1.0
1986,1986-12-14,29.302,,,,,,,,,,,
1986,1986-12-21,29.309,,,,,,,,,,,
1987,1987-09-13,30.21,9.0,16.0,56.25,97.0,0.0,0.0,74.2,2.0,3.0,6.06,6.06
1987,1987-09-20,30.217,,,,,,,,,,,
1987,1987-10-04,30.230999999999998,,,,,,,,,,,
1987,1987-10-12,30.239,,,,,,,,,,,
1987,1987-10-18,30.245,,,,,,,,,,,
1987,1987-10-25,30.252,13.0,27.0,48.15,173.0,2.0,2.0,62.7,2.0,17.0,6.41,4.56
1987,1987-11-01,30.259,,,,,,,,,,,
1987,1987-11-08,30.266,10.0,20.0,50.0,155.0,2.0,1.0,88.5,3.0,23.0,7.75,7.5
1987,1987-11-15,30.273000000000003,15.0,32.0,46.88,228.0,2.0,1.0,78.6,2.0,13.0,7.13,6.97
1987,1987-11-22,30.28,15.0,21.0,71.43,173.0,0.0,0.0,95.9,6.0,51.0,8.24,8.24
1987,1987-11-30,30.288,11.0,18.0,61.11,159.0,2.0,0.0,126.9,1.0,8.0,8.83,11.06
1987,1987-12-06,30.294,21.0,32.0,65.63,337.0,3.0,0.0,131.9,1.0,10.0,10.53,12.41
1987,1987-12-13,30.301,22.0,38.0,57.89,339.0,0.0,3.0,54.6,4.0,27.0,8.92,5.37
1987,1987-12-20,30.308000000000003,23.0,36.0,63.89,270.0,1.0,0.0,95.8,4.0,42.0,7.5,8.06
1987,1987-12-27,30.315,13.0,26.0,50.0,139.0,0.0,1.0,50.0,8.0,44.0,5.35,3.62
1989,1989-09-10,32.207,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-01,32.228,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-08,32.235,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-15,32.242,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-22,32.249,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-10-29,32.256,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-05,32.263000000000005,12.0,18.0,66.67,177.0,2.0,0.0,135.6,1.0,10.0,9.83,12.06
1989,1989-11-12,32.27,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-19,32.277,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-11-26,32.284,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1989,1989-12-03,32.291,17.0,31.0,54.84,255.0,0.0,1.0,68.6,1.0,16.0,8.23,6.77
1989,1989-12-10,32.298,17.0,37.0,45.95,261.0,0.0,1.0,58.5,5.0,30.0,7.05,5.84
1989,1989-12-17,32.305,27.0,56.0,48.21,297.0,1.0,2.0,55.4,3.0,15.0,5.3,4.05
1989,1989-12-24,32.312,2.0,8.0,25.0,16.0,0.0,1.0,0.0,0.0,0.0,2.0,-3.63
1990,1990-09-09,33.205999999999996,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1990,1990-09-16,33.213,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-09-23,33.22,23.0,41.0,56.1,267.0,1.0,2.0,63.8,6.0,57.0,6.51,4.8
1990,1990-09-30,33.227,19.0,41.0,46.34,184.0,0.0,3.0,28.9,2.0,15.0,4.49,1.2
1990,1990-10-07,33.234,20.0,33.0,60.61,227.0,1.0,2.0,66.1,2.0,14.0,6.88,4.76
1990,1990-10-18,33.245,18.0,38.0,47.37,187.0,1.0,0.0,70.8,5.0,39.0,4.92,5.45
1990,1990-10-28,33.255,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-11-04,33.262,12.0,25.0,48.0,233.0,2.0,1.0,90.9,2.0,9.0,9.32,9.12
1990,1990-11-11,33.269,8.0,23.0,34.78,87.0,0.0,0.0,46.8,3.0,15.0,3.78,3.78
1990,1990-11-18,33.275999999999996,21.0,33.0,63.64,234.0,0.0,2.0,59.4,4.0,38.0,7.09,4.36
1990,1990-11-25,33.283,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-02,33.29,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-09,33.297,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-15,33.303000000000004,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1990,1990-12-23,33.311,18.0,30.0,60.0,206.0,1.0,1.0,77.9,5.0,41.0,6.87,6.03
1990,1990-12-30,33.318000000000005,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
