Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2015,2015-09-13,21.318,13.0,15.0,86.67,209.0,4.0,0.0,158.3,2.0,24.0,13.93,19.27
2015,2015-09-20,21.325,21.0,37.0,56.76,257.0,2.0,0.0,96.3,7.0,38.0,6.95,8.03
2015,2015-09-27,21.331999999999997,27.0,44.0,61.36,367.0,2.0,2.0,84.2,3.0,22.0,8.34,7.2
2015,2015-10-11,21.346,21.0,32.0,65.63,187.0,0.0,1.0,68.1,2.0,8.0,5.84,4.44
2015,2015-10-18,21.353,21.0,33.0,63.64,219.0,1.0,2.0,67.6,5.0,37.0,6.64,4.52
2015,2015-11-08,22.009,28.0,39.0,71.79,371.0,4.0,0.0,135.7,0.0,0.0,9.51,11.56
2015,2015-11-15,22.016,16.0,24.0,66.67,185.0,0.0,1.0,72.4,1.0,7.0,7.71,5.83
2015,2015-11-19,22.02,22.0,35.0,62.86,231.0,0.0,0.0,82.0,4.0,19.0,6.6,6.6
2015,2015-11-29,22.03,17.0,37.0,45.95,218.0,3.0,2.0,69.4,2.0,13.0,5.89,5.08
2015,2015-12-06,22.037,20.0,29.0,68.97,268.0,3.0,1.0,118.2,4.0,11.0,9.24,9.76
2015,2015-12-13,22.044,21.0,39.0,53.85,274.0,0.0,1.0,65.5,5.0,47.0,7.03,5.87
2015,2015-12-20,22.051,3.0,6.0,50.0,32.0,0.0,0.0,66.0,3.0,32.0,5.33,5.33
2016,2016-09-11,22.316999999999997,25.0,41.0,60.98,271.0,2.0,1.0,86.5,2.0,19.0,6.61,6.49
2016,2016-09-18,22.324,25.0,33.0,75.76,238.0,2.0,1.0,102.8,3.0,14.0,7.21,7.06
2016,2016-09-25,22.331,17.0,33.0,51.52,214.0,0.0,2.0,46.8,1.0,2.0,6.48,3.76
2016,2016-10-02,22.338,13.0,29.0,44.83,202.0,0.0,1.0,54.1,1.0,6.0,6.97,5.41
2016,2016-10-09,22.345,20.0,29.0,68.97,163.0,3.0,0.0,117.5,0.0,0.0,5.62,7.69
2016,2016-10-16,22.351999999999997,17.0,24.0,70.83,284.0,3.0,1.0,132.6,2.0,14.0,11.83,12.46
2016,2016-10-23,22.359,22.0,37.0,59.46,232.0,2.0,0.0,95.8,3.0,25.0,6.27,7.35
2016,2016-10-27,22.363000000000003,18.0,22.0,81.82,270.0,2.0,0.0,148.1,0.0,0.0,12.27,14.09
2016,2016-11-06,23.006999999999998,27.0,43.0,62.79,313.0,3.0,2.0,88.6,0.0,0.0,7.28,6.58
2016,2016-11-13,23.014,19.0,26.0,73.08,295.0,4.0,0.0,149.8,1.0,13.0,11.35,14.42
2016,2016-11-20,23.021,25.0,38.0,65.79,290.0,2.0,0.0,106.2,5.0,36.0,7.63,8.68
2016,2016-11-27,23.028000000000002,15.0,23.0,65.22,226.0,2.0,0.0,126.4,0.0,0.0,9.83,11.57
2016,2016-12-11,23.041999999999998,6.0,20.0,30.0,88.0,0.0,0.0,45.4,2.0,15.0,4.4,4.4
2016,2016-12-18,23.049,19.0,33.0,57.58,241.0,0.0,1.0,67.9,1.0,0.0,7.3,5.94
2016,2016-12-24,23.055,8.0,20.0,40.0,99.0,1.0,0.0,72.7,2.0,12.0,4.95,5.95
2017,2017-09-10,23.315,25.0,41.0,60.98,256.0,0.0,0.0,78.9,1.0,1.0,6.24,6.24
2017,2017-09-17,23.322,15.0,27.0,55.56,215.0,1.0,1.0,78.5,1.0,4.0,7.96,7.04
2017,2017-09-24,23.329,20.0,32.0,62.5,225.0,2.0,0.0,104.3,0.0,0.0,7.03,8.28
2017,2017-10-01,23.336,6.0,10.0,60.0,96.0,0.0,2.0,52.5,0.0,0.0,9.6,0.6
2017,2017-10-16,23.351,23.0,32.0,71.88,306.0,1.0,1.0,99.2,1.0,1.0,9.56,8.78
2017,2017-10-22,23.357,21.0,34.0,61.76,203.0,0.0,0.0,78.4,2.0,14.0,5.97,5.97
2017,2017-11-05,24.006,19.0,28.0,67.86,218.0,2.0,1.0,100.0,3.0,32.0,7.79,7.61
2017,2017-11-12,24.013,25.0,44.0,56.82,264.0,1.0,1.0,72.5,4.0,28.0,6.0,5.43
2017,2017-11-16,24.017,22.0,33.0,66.67,306.0,1.0,4.0,66.8,5.0,42.0,9.27,4.42
2017,2017-11-26,24.026999999999997,17.0,25.0,68.0,184.0,1.0,2.0,69.4,0.0,0.0,7.36,4.56
2017,2017-12-03,24.034000000000002,15.0,23.0,65.22,150.0,1.0,0.0,98.1,2.0,4.0,6.52,7.39
2017,2017-12-10,24.041,16.0,31.0,51.61,159.0,0.0,2.0,39.6,3.0,20.0,5.13,2.23
2017,2017-12-17,24.048000000000002,23.0,33.0,69.7,241.0,2.0,0.0,110.8,1.0,3.0,7.3,8.52
2017,2017-12-24,24.055,22.0,39.0,56.41,275.0,0.0,1.0,67.8,1.0,6.0,7.05,5.9
2017,2017-12-31,24.061999999999998,12.0,21.0,57.14,134.0,1.0,0.0,92.2,3.0,18.0,6.38,7.33
2018,2018-09-09,24.314,9.0,16.0,56.25,103.0,0.0,2.0,36.2,0.0,0.0,6.44,0.81
2018,2018-09-23,24.328000000000003,12.0,18.0,66.67,100.0,0.0,0.0,80.8,1.0,8.0,5.56,5.56
2018,2018-09-30,24.335,30.0,43.0,69.77,344.0,2.0,1.0,99.4,3.0,17.0,8.0,7.88
2018,2018-10-07,24.342,14.0,26.0,53.85,129.0,0.0,1.0,51.6,2.0,8.0,4.96,3.23
2018,2018-10-14,24.349,10.0,15.0,66.67,117.0,0.0,0.0,90.1,11.0,66.0,7.8,7.8
2018,2018-10-21,24.355999999999998,24.0,32.0,75.0,237.0,1.0,1.0,92.8,2.0,11.0,7.41,6.63
2018,2018-11-05,25.006,21.0,29.0,72.41,240.0,2.0,0.0,119.9,4.0,25.0,8.28,9.66
2018,2018-11-11,25.011999999999997,16.0,24.0,66.67,228.0,2.0,0.0,125.0,2.0,14.0,9.5,11.17
2018,2018-11-18,25.019000000000002,10.0,13.0,76.92,85.0,0.0,1.0,61.4,4.0,19.0,6.54,3.08
2018,2018-11-26,25.026999999999997,22.0,23.0,95.65,303.0,2.0,0.0,147.7,6.0,43.0,13.17,14.91
2018,2018-12-02,25.033,20.0,35.0,57.14,282.0,2.0,1.0,90.4,3.0,9.0,8.06,7.91
2018,2018-12-06,25.037,18.0,24.0,75.0,162.0,0.0,1.0,75.3,1.0,0.0,6.75,4.88
2018,2018-12-16,25.046999999999997,12.0,20.0,60.0,88.0,0.0,0.0,70.4,1.0,8.0,4.4,4.4
2018,2018-12-22,25.053,10.0,13.0,76.92,110.0,0.0,0.0,101.4,2.0,15.0,8.46,8.46
2019,2019-09-08,25.313000000000002,14.0,24.0,58.33,248.0,3.0,0.0,133.3,4.0,32.0,10.33,12.83
2019,2019-09-15,25.32,19.0,28.0,67.86,154.0,1.0,0.0,93.5,4.0,35.0,5.5,6.21
2019,2019-09-19,25.324,23.0,40.0,57.5,304.0,0.0,0.0,81.7,9.0,55.0,7.6,7.6
2019,2019-09-29,25.334,18.0,27.0,66.67,227.0,3.0,0.0,129.7,0.0,0.0,8.41,10.63
2019,2019-10-06,25.340999999999998,13.0,22.0,59.09,183.0,0.0,0.0,86.0,5.0,33.0,8.32,8.32
2019,2019-10-13,25.348000000000003,7.0,18.0,38.89,63.0,0.0,2.0,9.5,3.0,7.0,3.5,-1.5
2019,2019-12-29,26.06,1.0,1.0,100.0,24.0,0.0,0.0,118.7,0.0,0.0,24.0,24.0
2020,2020-12-17,27.048000000000002,17.0,28.0,60.71,226.0,1.0,1.0,83.3,0.0,0.0,8.07,7.18
