Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1994,1994-10-20,24.033,11.0,24.0,45.83,79.0,0.0,0.0,54.0,2.0,16.0,3.29,3.29
1994,1994-12-11,24.085,1.0,3.0,33.33,16.0,0.0,0.0,52.1,0.0,0.0,5.33,5.33
1995,1995-09-03,24.351,3.0,9.0,33.33,15.0,0.0,1.0,2.8,3.0,22.0,1.67,-3.33
1995,1995-09-10,24.358,8.0,18.0,44.44,81.0,0.0,1.0,34.7,5.0,23.0,4.5,2.0
1995,1995-09-17,25.0,15.0,33.0,45.45,138.0,1.0,1.0,54.9,6.0,33.0,4.18,3.42
1995,1995-09-24,25.006999999999998,16.0,29.0,55.17,156.0,2.0,0.0,93.5,5.0,31.0,5.38,6.76
1995,1995-10-01,25.014,7.0,9.0,77.78,57.0,1.0,0.0,130.1,0.0,0.0,6.33,8.56
1995,1995-10-08,25.021,17.0,30.0,56.67,189.0,1.0,0.0,86.7,4.0,18.0,6.3,6.97
1995,1995-10-15,25.028000000000002,30.0,48.0,62.5,302.0,3.0,1.0,92.5,1.0,14.0,6.29,6.6
1995,1995-10-22,25.035,16.0,28.0,57.14,164.0,1.0,1.0,71.1,1.0,8.0,5.86,4.96
1995,1995-10-29,25.041999999999998,18.0,33.0,54.55,189.0,1.0,0.0,81.5,7.0,44.0,5.73,6.33
1995,1995-11-12,25.055999999999997,13.0,20.0,65.0,121.0,1.0,1.0,77.3,3.0,16.0,6.05,4.8
1995,1995-11-19,25.063000000000002,15.0,21.0,71.43,169.0,0.0,0.0,95.1,1.0,8.0,8.05,8.05
1995,1995-12-10,25.084,26.0,39.0,66.67,312.0,3.0,1.0,105.9,2.0,14.0,8.0,8.38
1995,1995-12-24,25.098000000000003,17.0,29.0,58.62,275.0,1.0,0.0,101.9,1.0,7.0,9.48,10.17
1996,1996-09-01,25.35,20.0,31.0,64.52,212.0,2.0,2.0,79.0,4.0,18.0,6.84,5.23
