Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1980,1980-12-22,22.03,,,,,,,,,,,
1981,1981-11-01,22.344,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-08,22.351,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-15,22.358,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-11-22,23.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-11-29,23.006999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-12-07,23.015,17.0,27.0,62.96,244.0,2.0,2.0,86.0,4.0,38.0,9.04,7.19
1981,1981-12-13,23.021,15.0,30.0,50.0,137.0,1.0,2.0,46.1,3.0,17.0,4.57,2.23
1981,1981-12-20,23.028000000000002,13.0,30.0,43.33,172.0,0.0,1.0,48.2,3.0,21.0,5.73,4.23
1983,1983-11-24,25.002,2.0,8.0,25.0,16.0,0.0,1.0,0.0,0.0,0.0,2.0,-3.63
1983,1983-12-18,25.026,7.0,12.0,58.33,108.0,1.0,1.0,81.3,1.0,11.0,9.0,6.92
1984,1984-09-02,25.285,11.0,24.0,45.83,233.0,1.0,1.0,77.3,2.0,21.0,9.71,8.67
1984,1984-10-01,25.314,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1984,1984-10-07,25.32,19.0,42.0,45.24,228.0,0.0,2.0,42.6,3.0,20.0,5.43,3.29
1984,1984-10-14,25.326999999999998,11.0,18.0,61.11,156.0,1.0,1.0,84.5,1.0,7.0,8.67,7.28
1984,1984-10-21,25.334,2.0,3.0,66.67,71.0,0.0,0.0,109.7,1.0,5.0,23.67,23.67
1984,1984-10-28,25.340999999999998,11.0,21.0,52.38,162.0,3.0,2.0,77.9,3.0,21.0,7.71,6.29
1984,1984-11-04,25.348000000000003,9.0,14.0,64.29,139.0,3.0,1.0,106.8,1.0,8.0,9.93,11.0
1984,1984-11-11,25.355,16.0,31.0,51.61,150.0,0.0,3.0,25.7,3.0,17.0,4.84,0.48
1984,1984-11-19,25.363000000000003,10.0,19.0,52.63,158.0,1.0,2.0,58.6,3.0,24.0,8.32,4.63
1984,1984-11-25,26.003,18.0,22.0,81.82,253.0,4.0,0.0,154.2,1.0,10.0,11.5,15.14
1984,1984-12-02,26.01,16.0,33.0,48.48,193.0,2.0,2.0,61.8,4.0,48.0,5.85,4.33
1984,1984-12-09,26.017,11.0,22.0,50.0,203.0,1.0,2.0,59.5,1.0,7.0,9.23,6.05
1984,1984-12-16,26.024,13.0,23.0,56.52,191.0,0.0,1.0,65.7,2.0,23.0,8.3,6.35
1985,1985-09-08,26.29,21.0,30.0,70.0,287.0,5.0,1.0,126.0,0.0,0.0,9.57,11.4
1985,1985-09-16,26.298000000000002,18.0,45.0,40.0,178.0,1.0,2.0,40.8,2.0,16.0,3.96,2.4
1985,1985-09-22,26.304000000000002,9.0,19.0,47.37,126.0,2.0,0.0,104.3,3.0,24.0,6.63,8.74
1985,1985-09-30,26.311999999999998,26.0,44.0,59.09,374.0,3.0,2.0,90.5,4.0,34.0,8.5,7.82
1985,1985-10-06,26.318,14.0,33.0,42.42,145.0,1.0,1.0,53.2,0.0,0.0,4.39,3.64
1985,1985-10-13,26.325,7.0,17.0,41.18,83.0,0.0,0.0,56.7,1.0,6.0,4.88,4.88
1985,1985-10-20,26.331999999999997,15.0,28.0,53.57,184.0,1.0,1.0,71.1,0.0,0.0,6.57,5.68
1985,1985-10-27,26.339000000000002,4.0,4.0,100.0,34.0,0.0,0.0,102.1,0.0,0.0,8.5,8.5
1985,1985-12-15,27.023000000000003,2.0,7.0,28.57,21.0,0.0,0.0,39.6,0.0,0.0,3.0,3.0
1985,1985-12-21,27.029,1.0,6.0,16.67,-4.0,0.0,0.0,39.6,0.0,0.0,-0.67,-0.67
1986,1986-09-07,27.289,9.0,27.0,33.33,79.0,0.0,3.0,2.8,1.0,18.0,2.93,-2.07
1986,1986-09-15,27.296999999999997,22.0,48.0,45.83,216.0,0.0,2.0,41.7,1.0,10.0,4.5,2.63
1986,1986-09-21,27.303,13.0,29.0,44.83,159.0,1.0,3.0,34.2,0.0,0.0,5.48,1.52
1986,1986-09-28,27.31,10.0,31.0,32.26,161.0,1.0,1.0,47.9,0.0,0.0,5.19,4.39
1986,1986-10-05,27.316999999999997,15.0,23.0,65.22,143.0,2.0,1.0,93.2,2.0,11.0,6.22,6.0
1986,1986-10-26,27.338,12.0,20.0,60.0,104.0,2.0,0.0,107.1,1.0,10.0,5.2,7.2
1986,1986-11-02,27.345,20.0,31.0,64.52,195.0,3.0,0.0,114.3,0.0,0.0,6.29,8.23
1986,1986-11-09,27.351999999999997,18.0,36.0,50.0,142.0,1.0,1.0,57.9,1.0,10.0,3.94,3.25
1986,1986-11-16,27.359,11.0,21.0,52.38,122.0,1.0,0.0,85.8,1.0,6.0,5.81,6.76
1986,1986-11-23,28.000999999999998,17.0,28.0,60.71,197.0,0.0,1.0,67.1,1.0,0.0,7.04,5.43
1986,1986-11-30,28.008000000000003,13.0,29.0,44.83,154.0,0.0,2.0,32.8,1.0,7.0,5.31,2.21
1986,1986-12-07,28.015,18.0,32.0,56.25,232.0,2.0,2.0,74.0,2.0,14.0,7.25,5.69
1986,1986-12-13,28.021,16.0,27.0,59.26,189.0,2.0,1.0,89.9,1.0,0.0,7.0,6.81
1986,1986-12-21,28.029,22.0,43.0,51.16,351.0,0.0,1.0,69.0,1.0,11.0,8.16,7.12
1987,1987-09-13,28.295,9.0,33.0,27.27,99.0,1.0,0.0,49.7,2.0,16.0,3.0,3.61
1987,1987-09-20,28.302,12.0,36.0,33.33,151.0,0.0,5.0,7.8,3.0,29.0,4.19,-2.06
1987,1987-10-25,28.337,18.0,30.0,60.0,218.0,1.0,0.0,93.5,2.0,14.0,7.27,7.93
1987,1987-11-01,28.344,18.0,36.0,50.0,205.0,1.0,1.0,65.2,1.0,6.0,5.69,5.0
1987,1987-11-08,28.351,14.0,31.0,45.16,157.0,2.0,2.0,55.4,2.0,16.0,5.06,3.45
1987,1987-11-15,28.358,7.0,22.0,31.82,89.0,0.0,1.0,26.5,1.0,6.0,4.05,2.0
1987,1987-11-22,29.0,15.0,28.0,53.57,194.0,1.0,2.0,57.7,0.0,0.0,6.93,4.43
1987,1987-11-29,29.006999999999998,16.0,31.0,51.61,213.0,0.0,3.0,34.1,4.0,41.0,6.87,2.52
1987,1987-12-06,29.014,11.0,18.0,61.11,99.0,0.0,0.0,75.9,0.0,0.0,5.5,5.5
1987,1987-12-13,29.021,13.0,26.0,50.0,164.0,0.0,0.0,70.0,2.0,14.0,6.31,6.31
1987,1987-12-20,29.028000000000002,12.0,27.0,44.44,181.0,0.0,3.0,27.5,1.0,9.0,6.7,1.7
1987,1987-12-26,29.034000000000002,11.0,18.0,61.11,126.0,0.0,2.0,42.6,0.0,0.0,7.0,2.0
1988,1988-09-11,29.294,11.0,22.0,50.0,115.0,0.0,1.0,46.6,2.0,9.0,5.23,3.18
1988,1988-10-02,29.315,7.0,14.0,50.0,82.0,0.0,1.0,38.4,1.0,3.0,5.86,2.64
1988,1988-10-09,29.322,1.0,2.0,50.0,11.0,0.0,0.0,66.7,0.0,0.0,5.5,5.5
1988,1988-10-16,29.329,25.0,38.0,65.79,294.0,2.0,2.0,84.8,1.0,11.0,7.74,6.42
1988,1988-10-23,29.336,13.0,30.0,43.33,121.0,0.0,0.0,55.0,0.0,0.0,4.03,4.03
1988,1988-10-30,29.343000000000004,20.0,32.0,62.5,169.0,2.0,1.0,84.0,0.0,0.0,5.28,5.13
1988,1988-11-06,29.35,12.0,25.0,48.0,147.0,0.0,2.0,33.2,0.0,0.0,5.88,2.28
1988,1988-11-20,29.364,4.0,6.0,66.67,128.0,0.0,1.0,70.1,0.0,0.0,21.33,13.83
1988,1988-11-27,30.005,17.0,32.0,53.13,136.0,0.0,2.0,38.0,1.0,3.0,4.25,1.44
1988,1988-12-04,30.011999999999997,14.0,37.0,37.84,138.0,1.0,3.0,24.4,3.0,15.0,3.73,0.62
1988,1988-12-11,30.019000000000002,17.0,24.0,70.83,148.0,1.0,0.0,100.7,1.0,4.0,6.17,7.0
1988,1988-12-18,30.026,6.0,10.0,60.0,91.0,0.0,0.0,90.0,0.0,0.0,9.1,9.1
1989,1989-10-22,30.334,2.0,2.0,100.0,13.0,0.0,0.0,93.7,0.0,0.0,6.5,6.5
