Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1988,1988-09-25,25.359,26.0,41.0,63.41,303.0,3.0,1.0,99.9,4.0,21.0,7.39,7.76
1988,1988-10-02,26.0,16.0,27.0,59.26,282.0,2.0,1.0,104.2,3.0,31.0,10.44,10.26
1988,1988-10-09,26.006999999999998,13.0,21.0,61.9,187.0,3.0,0.0,130.4,2.0,17.0,8.9,11.76
1988,1988-10-16,26.014,15.0,27.0,55.56,303.0,4.0,1.0,119.3,2.0,14.0,11.22,12.52
1988,1988-10-30,26.028000000000002,8.0,12.0,66.67,66.0,1.0,0.0,108.3,0.0,0.0,5.5,7.17
1988,1988-11-13,26.041999999999998,14.0,33.0,42.42,257.0,2.0,4.0,50.5,2.0,21.0,7.79,3.55
1988,1988-11-27,26.055999999999997,11.0,24.0,45.83,135.0,1.0,2.0,42.9,1.0,11.0,5.63,2.71
1988,1988-12-04,26.063000000000002,8.0,17.0,47.06,123.0,1.0,3.0,51.5,0.0,0.0,7.24,0.47
1988,1988-12-11,26.07,3.0,6.0,50.0,74.0,1.0,1.0,95.1,0.0,0.0,12.33,8.17
1989,1989-09-11,26.344,22.0,32.0,68.75,349.0,2.0,1.0,112.6,1.0,4.0,10.91,10.75
1989,1989-09-17,26.35,12.0,23.0,52.17,288.0,4.0,2.0,101.0,2.0,16.0,12.52,12.09
1989,1989-09-24,26.357,15.0,37.0,40.54,216.0,0.0,0.0,60.2,1.0,8.0,5.84,5.84
1989,1989-10-01,26.364,15.0,28.0,53.57,216.0,0.0,1.0,64.0,0.0,0.0,7.71,6.11
1989,1989-10-08,27.006,23.0,42.0,54.76,333.0,3.0,1.0,94.6,0.0,0.0,7.93,8.29
1989,1989-10-15,27.013,19.0,30.0,63.33,205.0,2.0,0.0,105.6,1.0,11.0,6.83,8.17
1989,1989-10-22,27.02,24.0,36.0,66.67,221.0,2.0,1.0,90.2,2.0,12.0,6.14,6.0
1989,1989-10-29,27.026999999999997,27.0,53.0,50.94,364.0,1.0,3.0,55.9,5.0,29.0,6.87,4.7
1989,1989-11-20,27.049,15.0,29.0,51.72,146.0,0.0,0.0,66.2,0.0,0.0,5.03,5.03
