Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2019,2019-09-15,24.06,12.0,19.0,63.16,112.0,2.0,1.0,92.4,0.0,0.0,5.89,5.63
2019,2019-09-22,24.066999999999997,14.0,27.0,51.85,174.0,2.0,1.0,81.4,2.0,14.0,6.44,6.26
2019,2019-09-30,24.075,24.0,28.0,85.71,229.0,2.0,0.0,124.6,0.0,0.0,8.18,9.61
2019,2019-10-06,24.081,13.0,20.0,65.0,131.0,1.0,0.0,100.2,1.0,11.0,6.55,7.55
2019,2019-10-28,24.103,20.0,36.0,55.56,251.0,2.0,1.0,84.4,2.0,15.0,6.97,6.83
2019,2019-11-03,24.109,26.0,35.0,74.29,191.0,1.0,1.0,84.3,1.0,8.0,5.46,4.74
2019,2019-11-10,24.116,22.0,38.0,57.89,242.0,1.0,0.0,85.6,3.0,11.0,6.37,6.89
2019,2019-11-14,24.12,23.0,44.0,52.27,221.0,1.0,4.0,36.3,4.0,43.0,5.02,1.39
2019,2019-11-24,24.13,8.0,16.0,50.0,85.0,0.0,1.0,39.8,1.0,13.0,5.31,2.5
2019,2019-12-22,24.158,14.0,20.0,70.0,129.0,1.0,0.0,104.0,1.0,9.0,6.45,7.45
2020,2020-10-18,25.093000000000004,1.0,1.0,100.0,6.0,0.0,0.0,91.7,0.0,0.0,6.0,6.0
2020,2020-11-08,25.114,2.0,3.0,66.67,3.0,0.0,0.0,70.1,0.0,0.0,1.0,1.0
2020,2020-11-15,25.121,,,,,,,,,,,
2020,2020-11-22,25.128,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
