Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2005,2005-10-02,23.138,2.0,4.0,50.0,15.0,0.0,1.0,19.8,0.0,0.0,3.75,-7.5
2005,2005-12-11,23.208000000000002,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2005,2006-01-01,23.229,11.0,20.0,55.0,168.0,2.0,0.0,116.2,1.0,1.0,8.4,10.4
2006,2006-10-30,24.166,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-11-19,24.186,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,,
2006,2006-12-10,24.206999999999997,2.0,3.0,66.67,12.0,0.0,0.0,74.3,1.0,4.0,4.0,4.0
2006,2006-12-17,24.214000000000002,3.0,4.0,75.0,20.0,0.0,0.0,85.4,0.0,0.0,5.0,5.0
2006,2006-12-24,24.221,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-31,24.228,0.0,1.0,0.0,0.0,0.0,0.0,39.6,1.0,6.0,0.0,0.0
2007,2007-09-09,25.115,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-09-23,25.129,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-01,25.136999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2007,2007-10-21,25.156999999999996,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
2007,2007-10-28,25.164,2.0,3.0,66.67,28.0,0.0,0.0,96.5,0.0,0.0,9.33,9.33
2007,2007-11-18,25.185,2.0,2.0,100.0,10.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
2008,2008-09-07,26.113000000000003,13.0,18.0,72.22,152.0,1.0,0.0,116.0,2.0,16.0,8.44,9.56
2008,2008-09-14,26.12,16.0,23.0,69.57,165.0,0.0,0.0,89.9,4.0,9.0,7.17,7.17
2008,2008-09-21,26.127,19.0,31.0,61.29,131.0,1.0,1.0,68.1,4.0,17.0,4.23,3.42
2008,2008-10-05,26.141,22.0,32.0,68.75,259.0,1.0,2.0,77.5,5.0,26.0,8.09,5.91
2008,2008-10-12,26.148000000000003,22.0,38.0,57.89,203.0,0.0,1.0,61.6,4.0,10.0,5.34,4.16
2008,2008-10-20,26.156,18.0,24.0,75.0,185.0,3.0,0.0,136.3,6.0,38.0,7.71,10.21
2008,2008-10-26,26.162,21.0,33.0,63.64,267.0,1.0,2.0,73.7,3.0,17.0,8.09,5.97
2008,2008-11-02,26.169,25.0,34.0,73.53,204.0,0.0,1.0,76.1,0.0,0.0,6.0,4.68
2008,2008-11-09,26.176,22.0,32.0,68.75,234.0,0.0,0.0,89.8,1.0,8.0,7.31,7.31
2008,2008-11-13,26.18,30.0,51.0,58.82,400.0,3.0,0.0,103.4,3.0,14.0,7.84,9.02
2008,2008-11-23,26.19,30.0,43.0,69.77,415.0,3.0,1.0,114.0,2.0,7.0,9.65,10.0
2008,2008-11-30,26.197,19.0,39.0,48.72,169.0,0.0,2.0,39.4,5.0,24.0,4.33,2.03
