Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1999,1999-09-12,23.351999999999997,,,,,,,,0.0,,,
1999,1999-09-19,23.359,,,,,,,,0.0,,,
1999,1999-09-26,24.000999999999998,,,,,,,,0.0,,,
1999,1999-10-10,24.015,,,,,,,,0.0,,,
1999,1999-10-17,24.022,,,,,,,,0.0,,,
1999,1999-10-24,24.029,0.0,3.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1999,1999-11-01,24.037,2.0,6.0,33.33,32.0,0.0,0.0,52.1,1.0,9.0,5.33,5.33
1999,1999-11-07,24.043000000000003,,,,,,,,0.0,,,
1999,1999-11-14,24.05,,,,,,,,0.0,,,
1999,1999-11-21,24.057,,,,,,,,0.0,,,
1999,1999-11-29,24.065,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1999,1999-12-05,24.070999999999998,,,,,,,,0.0,,,
1999,1999-12-12,24.078000000000003,,,,,,,,0.0,,,
1999,1999-12-20,24.086,1.0,1.0,100.0,9.0,1.0,0.0,143.7,0.0,0.0,9.0,29.0
1999,1999-12-26,24.092,,,,,,,,0.0,,,
1999,2000-01-02,24.099,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2000,2000-09-03,24.344,,,,,,,,0.0,,,
2000,2000-09-10,24.351,,,,,,,,0.0,,,
2000,2000-09-17,24.358,,,,,,,,0.0,,,
2000,2000-09-24,24.365,1.0,1.0,100.0,11.0,0.0,0.0,112.5,0.0,0.0,11.0,11.0
2000,2000-10-01,25.006,,,,,,,,0.0,,,
2000,2000-10-08,25.013,,,,,,,,0.0,,,
2000,2000-10-15,25.02,,,,,,,,0.0,,,
2000,2000-10-29,25.034000000000002,,,,,,,,0.0,,,
2000,2000-11-06,25.041999999999998,,,,,,,,0.0,,,
2000,2000-11-12,25.048000000000002,9.0,18.0,50.0,93.0,1.0,0.0,83.8,0.0,0.0,5.17,6.28
2000,2000-11-19,25.055,,,,,,,,0.0,,,
2000,2000-11-27,25.063000000000002,,,,,,,,0.0,,,
2000,2000-12-03,25.069000000000003,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,,
2000,2000-12-10,25.076,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2000,2000-12-17,25.083000000000002,,,,,,,,0.0,,,
2000,2000-12-24,25.09,,,,,,,,0.0,,,
