Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2006,2006-10-01,23.143,6.0,9.0,66.67,54.0,0.0,1.0,43.1,1.0,4.0,6.0,1.0
2006,2006-10-08,23.15,22.0,35.0,62.86,253.0,2.0,1.0,91.7,4.0,31.0,7.23,7.09
2006,2006-10-16,23.158,24.0,42.0,57.14,232.0,2.0,0.0,88.6,1.0,12.0,5.52,6.48
2006,2006-10-22,23.164,13.0,32.0,40.63,203.0,0.0,2.0,36.3,3.0,29.0,6.34,3.53
2006,2006-10-29,23.171,14.0,35.0,40.0,157.0,1.0,1.0,51.7,4.0,25.0,4.49,3.77
2006,2006-11-12,23.185,20.0,38.0,52.63,216.0,0.0,2.0,47.7,1.0,7.0,5.68,3.32
2006,2006-11-19,23.191999999999997,19.0,29.0,65.52,233.0,1.0,0.0,101.7,1.0,5.0,8.03,8.72
2006,2006-11-26,23.199,31.0,51.0,60.78,405.0,1.0,2.0,76.0,1.0,10.0,7.94,6.57
2006,2006-12-03,23.206,15.0,24.0,62.5,186.0,1.0,0.0,100.3,1.0,7.0,7.75,8.58
2006,2006-12-10,23.213,21.0,34.0,61.76,232.0,2.0,1.0,89.3,0.0,0.0,6.82,6.68
2006,2006-12-17,23.22,20.0,35.0,57.14,214.0,0.0,2.0,51.4,3.0,19.0,6.11,3.54
2006,2006-12-24,23.226999999999997,9.0,13.0,69.23,162.0,1.0,0.0,137.3,1.0,9.0,12.46,14.0
2007,2007-09-10,24.122,14.0,28.0,50.0,102.0,1.0,2.0,41.1,1.0,2.0,3.64,1.14
2007,2007-09-16,24.128,23.0,37.0,62.16,299.0,1.0,1.0,85.3,0.0,0.0,8.08,7.41
2007,2007-09-23,24.135,9.0,20.0,45.0,53.0,0.0,0.0,52.1,1.0,8.0,2.65,2.65
2007,2007-09-30,24.142,7.0,14.0,50.0,93.0,0.0,0.0,71.4,1.0,4.0,6.64,6.64
2007,2007-10-07,24.149,7.0,13.0,53.85,100.0,0.0,1.0,47.0,1.0,9.0,7.69,4.23
2008,2008-09-14,25.125999999999998,1.0,2.0,50.0,15.0,0.0,0.0,75.0,0.0,0.0,7.5,7.5
2008,2008-12-14,25.217,3.0,5.0,60.0,28.0,0.0,0.0,75.4,0.0,0.0,5.6,5.6
2008,2008-12-21,25.224,6.0,14.0,42.86,138.0,1.0,1.0,72.9,2.0,19.0,9.86,8.07
2008,2008-12-28,25.230999999999998,5.0,8.0,62.5,83.0,0.0,0.0,97.4,0.0,0.0,10.38,10.38
2009,2009-09-20,26.131999999999998,3.0,6.0,50.0,22.0,0.0,0.0,59.0,0.0,0.0,3.67,3.67
2009,2009-09-27,26.139,2.0,2.0,100.0,7.0,0.0,0.0,81.2,0.0,0.0,3.5,3.5
2009,2009-10-18,26.16,2.0,2.0,100.0,16.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
2009,2009-11-08,26.180999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-45.0
2009,2009-11-22,26.195,10.0,14.0,71.43,74.0,0.0,0.0,83.6,1.0,9.0,5.29,5.29
2009,2009-11-29,26.201999999999998,21.0,31.0,67.74,220.0,0.0,0.0,88.1,1.0,3.0,7.1,7.1
2009,2009-12-27,26.23,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2009,2010-01-03,26.237,13.0,21.0,61.9,96.0,0.0,2.0,33.1,0.0,0.0,4.57,0.29
2011,2011-11-13,28.186,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2011,2011-11-27,28.2,10.0,13.0,76.92,57.0,1.0,0.0,110.1,0.0,0.0,4.38,5.92
2012,2012-11-11,29.184,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2012,2012-12-23,29.226,16.0,32.0,50.0,115.0,0.0,1.0,45.7,1.0,9.0,3.59,2.19
