Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2008,2008-09-07,23.113000000000003,9.0,13.0,69.23,161.0,1.0,0.0,137.0,1.0,5.0,12.38,13.92
2008,2008-09-14,23.12,13.0,33.0,39.39,158.0,0.0,2.0,29.6,4.0,29.0,4.79,2.06
2008,2008-09-21,23.127,12.0,18.0,66.67,192.0,1.0,0.0,120.6,0.0,0.0,10.67,11.78
2008,2008-09-28,23.134,21.0,41.0,51.22,158.0,0.0,0.0,60.8,2.0,8.0,3.85,3.85
2008,2008-10-05,23.141,16.0,26.0,61.54,194.0,2.0,1.0,94.1,0.0,0.0,7.46,7.27
2008,2008-10-12,23.148000000000003,22.0,30.0,73.33,301.0,1.0,0.0,116.1,0.0,0.0,10.03,10.7
2008,2008-10-26,23.162,23.0,44.0,52.27,277.0,2.0,2.0,68.1,2.0,19.0,6.3,5.16
2008,2008-11-02,23.169,17.0,22.0,77.27,220.0,2.0,0.0,138.4,3.0,19.0,10.0,11.82
2008,2008-11-09,23.176,16.0,23.0,69.57,248.0,2.0,0.0,134.0,0.0,0.0,10.78,12.52
2008,2008-11-16,23.183000000000003,20.0,33.0,60.61,250.0,0.0,1.0,71.5,0.0,0.0,7.58,6.21
2008,2008-11-23,23.19,17.0,27.0,62.96,259.0,0.0,0.0,94.5,1.0,0.0,9.59,9.59
2008,2008-11-30,23.197,17.0,23.0,73.91,207.0,2.0,0.0,130.2,0.0,0.0,9.0,10.74
2008,2008-12-07,23.204,24.0,33.0,72.73,315.0,1.0,1.0,99.9,0.0,0.0,9.55,8.79
2008,2008-12-14,23.211,15.0,23.0,65.22,206.0,0.0,2.0,57.5,1.0,8.0,8.96,5.04
2008,2008-12-21,23.218000000000004,13.0,24.0,54.17,134.0,1.0,0.0,84.4,2.0,10.0,5.58,6.42
2008,2008-12-28,23.225,10.0,21.0,47.62,160.0,1.0,2.0,49.8,1.0,6.0,7.62,4.29
2009,2009-09-13,24.119,22.0,36.0,61.11,229.0,2.0,0.0,98.0,2.0,16.0,6.36,7.47
2009,2009-09-20,24.125999999999998,21.0,27.0,77.78,220.0,3.0,1.0,122.2,0.0,0.0,8.15,8.7
2009,2009-09-27,24.133000000000003,17.0,28.0,60.71,199.0,0.0,0.0,82.3,0.0,0.0,7.11,7.11
2009,2009-10-11,24.147,22.0,32.0,68.75,329.0,2.0,1.0,110.0,0.0,0.0,10.28,10.13
2009,2009-10-18,24.154,19.0,33.0,57.58,185.0,2.0,2.0,68.4,0.0,0.0,5.61,4.09
2009,2009-10-25,24.160999999999998,19.0,35.0,54.29,198.0,2.0,2.0,66.1,4.0,24.0,5.66,4.23
2009,2009-11-02,24.169,19.0,42.0,45.24,289.0,1.0,3.0,46.6,3.0,8.0,6.88,4.14
2009,2009-11-08,24.175,17.0,24.0,70.83,135.0,1.0,1.0,81.1,3.0,10.0,5.63,4.58
2009,2009-11-15,24.182,22.0,41.0,53.66,224.0,1.0,2.0,57.4,0.0,0.0,5.46,3.76
2009,2009-11-22,24.189,26.0,46.0,56.52,268.0,2.0,0.0,88.0,2.0,6.0,5.83,6.7
2009,2009-11-29,24.195999999999998,2.0,3.0,66.67,15.0,0.0,0.0,78.5,1.0,3.0,5.0,5.0
2009,2009-12-20,24.217,16.0,34.0,47.06,152.0,1.0,0.0,69.7,0.0,0.0,4.47,5.06
2009,2009-12-27,24.224,18.0,35.0,51.43,250.0,3.0,0.0,103.3,3.0,16.0,7.14,8.86
2009,2010-01-03,24.230999999999998,23.0,35.0,65.71,223.0,2.0,2.0,78.6,1.0,9.0,6.37,4.94
2010,2010-09-12,25.118000000000002,27.0,44.0,61.36,252.0,0.0,1.0,67.6,2.0,15.0,5.73,4.7
2010,2010-09-19,25.125,21.0,32.0,65.63,225.0,3.0,0.0,117.3,1.0,2.0,7.03,8.91
2010,2010-09-26,25.131999999999998,19.0,30.0,63.33,228.0,2.0,0.0,108.7,2.0,13.0,7.6,8.93
2010,2010-10-03,25.139,26.0,43.0,60.47,273.0,1.0,2.0,67.3,3.0,14.0,6.35,4.72
2010,2010-10-10,25.146,16.0,28.0,57.14,187.0,1.0,0.0,89.4,2.0,14.0,6.68,7.39
2010,2010-10-17,25.153000000000002,23.0,42.0,54.76,250.0,2.0,1.0,78.5,3.0,22.0,5.95,5.83
2010,2010-10-24,25.16,24.0,33.0,72.73,299.0,3.0,1.0,118.1,0.0,0.0,9.06,9.52
2010,2010-11-07,25.174,24.0,36.0,66.67,235.0,1.0,0.0,94.1,0.0,0.0,6.53,7.08
2010,2010-11-11,25.178,32.0,50.0,64.0,316.0,3.0,0.0,101.7,2.0,14.0,6.32,7.52
2010,2010-11-21,25.188000000000002,26.0,39.0,66.67,253.0,2.0,0.0,101.8,0.0,0.0,6.49,7.51
2010,2010-11-28,25.195,24.0,28.0,85.71,197.0,1.0,0.0,107.9,2.0,20.0,7.04,7.75
2010,2010-12-05,25.201999999999998,18.0,36.0,50.0,205.0,2.0,2.0,62.8,0.0,0.0,5.69,4.31
2010,2010-12-12,25.209,20.0,34.0,58.82,227.0,1.0,1.0,76.5,3.0,27.0,6.68,5.94
2010,2010-12-19,25.215999999999998,20.0,35.0,57.14,174.0,3.0,1.0,87.1,1.0,6.0,4.97,5.4
2010,2010-12-27,25.224,15.0,29.0,51.72,148.0,1.0,0.0,77.9,1.0,8.0,5.1,5.79
2010,2011-01-02,25.23,22.0,32.0,68.75,236.0,2.0,0.0,110.9,1.0,3.0,7.38,8.63
2011,2011-09-11,26.116999999999997,31.0,47.0,65.96,319.0,0.0,1.0,76.5,5.0,43.0,6.79,5.83
2011,2011-09-18,26.124000000000002,17.0,28.0,60.71,195.0,4.0,2.0,91.5,4.0,15.0,6.96,6.61
2011,2011-09-25,26.131,26.0,47.0,55.32,330.0,1.0,1.0,75.7,4.0,35.0,7.02,6.49
2011,2011-10-02,26.138,28.0,42.0,66.67,291.0,1.0,0.0,94.4,0.0,0.0,6.93,7.4
2011,2011-10-09,26.145,18.0,32.0,56.25,167.0,1.0,2.0,55.1,1.0,11.0,5.22,3.03
2011,2011-10-16,26.151999999999997,14.0,22.0,63.64,163.0,1.0,0.0,101.1,1.0,4.0,7.41,8.32
2011,2011-10-23,26.159000000000002,20.0,34.0,58.82,218.0,1.0,2.0,63.1,3.0,19.0,6.41,4.35
2011,2011-11-06,26.173000000000002,14.0,24.0,58.33,275.0,3.0,1.0,120.7,1.0,6.0,11.46,12.08
2011,2011-11-13,26.18,29.0,52.0,55.77,351.0,2.0,1.0,81.5,1.0,8.0,6.75,6.65
2011,2011-11-20,26.186999999999998,22.0,32.0,68.75,316.0,1.0,0.0,110.9,0.0,0.0,9.88,10.5
2011,2011-11-27,26.194000000000003,27.0,34.0,79.41,262.0,3.0,0.0,128.2,2.0,16.0,7.71,9.47
2011,2011-12-04,26.201,20.0,47.0,42.55,267.0,1.0,2.0,50.6,0.0,0.0,5.68,4.19
2011,2011-12-11,26.208000000000002,22.0,38.0,57.89,320.0,4.0,0.0,120.5,3.0,12.0,8.42,10.53
2011,2011-12-15,26.212,19.0,26.0,73.08,224.0,3.0,0.0,137.3,1.0,4.0,8.62,10.92
2011,2011-12-26,26.223000000000003,34.0,52.0,65.38,373.0,1.0,0.0,92.9,0.0,0.0,7.17,7.56
2011,2012-01-01,26.229,6.0,9.0,66.67,106.0,2.0,0.0,146.3,0.0,0.0,11.78,16.22
2012,2012-09-09,27.115,23.0,31.0,74.19,299.0,3.0,0.0,136.4,1.0,7.0,9.65,11.58
2012,2012-09-17,27.123,24.0,36.0,66.67,219.0,2.0,0.0,101.5,1.0,11.0,6.08,7.19
