Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2004,2004-10-03,23.1,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2004,2004-10-24,23.121,2.0,4.0,50.0,9.0,0.0,0.0,56.2,0.0,0.0,2.25,2.25
2004,2004-12-05,23.163,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
2004,2004-12-12,23.17,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2004,2004-12-26,23.184,17.0,41.0,41.46,188.0,0.0,2.0,35.4,3.0,14.0,4.59,2.39
2004,2005-01-02,23.191,14.0,22.0,63.64,133.0,1.0,1.0,76.5,1.0,0.0,6.05,4.91
2005,2005-09-12,24.079,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-09-18,24.085,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2005,2005-09-25,24.092,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-02,24.099,5.0,14.0,35.71,39.0,0.0,0.0,44.3,0.0,0.0,2.79,2.79
2005,2005-10-09,24.105999999999998,18.0,34.0,52.94,298.0,3.0,0.0,112.1,3.0,14.0,8.76,10.53
2005,2005-10-16,24.113000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-10-24,24.121,,,,,,,,0.0,,,
2005,2005-11-06,24.134,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-11-13,24.141,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-11-20,24.148000000000003,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,,
2005,2005-11-24,24.151999999999997,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-04,24.162,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-12,24.17,1.0,2.0,50.0,48.0,0.0,0.0,95.8,0.0,0.0,24.0,24.0
2005,2005-12-18,24.176,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2005-12-24,24.182,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2005,2006-01-01,24.19,9.0,13.0,69.23,110.0,1.0,0.0,120.7,2.0,12.0,8.46,10.0
2006,2006-09-10,25.076999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-09-17,25.084,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-09-25,25.092,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-01,25.098000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-15,25.112,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-22,25.119,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-10-29,25.125999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-11-05,25.133000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-11-12,25.14,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2006,2006-11-19,25.147,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-11-26,25.154,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-03,25.160999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-10,25.168000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-16,25.174,3.0,5.0,60.0,33.0,0.0,1.0,40.0,0.0,0.0,6.6,-2.4
2006,2006-12-24,25.182,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2006,2006-12-31,25.189,15.0,21.0,71.43,175.0,1.0,1.0,92.4,2.0,8.0,8.33,7.14
2007,2007-09-09,26.076,16.0,22.0,72.73,225.0,1.0,1.0,101.5,2.0,19.0,10.23,9.09
2007,2007-09-16,26.083000000000002,20.0,28.0,71.43,227.0,2.0,0.0,119.2,0.0,0.0,8.11,9.54
2007,2007-09-23,26.09,27.0,33.0,81.82,236.0,1.0,2.0,81.3,3.0,22.0,7.15,5.03
2007,2007-09-30,26.096999999999998,28.0,40.0,70.0,317.0,1.0,0.0,101.8,1.0,6.0,7.93,8.43
2007,2007-10-07,26.104,20.0,34.0,58.82,294.0,0.0,1.0,74.9,2.0,16.0,8.65,7.32
2007,2007-10-14,26.111,19.0,31.0,61.29,259.0,0.0,1.0,74.5,2.0,12.0,8.35,6.9
2007,2007-10-21,26.118000000000002,5.0,9.0,55.56,23.0,0.0,0.0,60.9,2.0,19.0,2.56,2.56
2007,2007-10-28,26.125,11.0,18.0,61.11,77.0,0.0,2.0,31.2,0.0,0.0,4.28,-0.72
2007,2007-11-18,26.146,21.0,33.0,63.64,293.0,2.0,0.0,112.3,1.0,6.0,8.88,10.09
2007,2007-11-25,26.153000000000002,22.0,36.0,61.11,256.0,2.0,2.0,78.0,2.0,19.0,7.11,5.72
2007,2007-12-02,26.16,3.0,5.0,60.0,34.0,0.0,0.0,80.4,1.0,7.0,6.8,6.8
2008,2008-09-07,27.074,25.0,33.0,75.76,202.0,1.0,2.0,75.6,5.0,43.0,6.12,4.0
2008,2008-09-21,27.088,17.0,37.0,45.95,188.0,0.0,3.0,27.8,3.0,17.0,5.08,1.43
2008,2008-09-28,27.095,29.0,40.0,72.5,307.0,3.0,0.0,119.5,0.0,0.0,7.68,9.18
2008,2008-10-12,27.109,22.0,42.0,52.38,379.0,1.0,2.0,71.4,1.0,8.0,9.02,7.36
2008,2008-10-19,27.116,26.0,31.0,83.87,267.0,2.0,0.0,124.1,3.0,13.0,8.61,9.9
2008,2008-10-26,27.123,24.0,28.0,85.71,280.0,3.0,0.0,144.0,1.0,5.0,10.0,12.14
2008,2008-11-02,27.13,11.0,16.0,68.75,139.0,0.0,1.0,69.5,3.0,20.0,8.69,5.88
2008,2008-12-07,27.165,28.0,42.0,66.67,414.0,2.0,1.0,104.7,1.0,6.0,9.86,9.74
