Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2001,2001-09-09,21.075,0.0,4.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2001,2001-09-23,21.089000000000002,2.0,2.0,100.0,27.0,0.0,0.0,118.7,1.0,11.0,13.5,13.5
2001,2001-10-07,21.103,12.0,18.0,66.67,186.0,0.0,0.0,100.7,5.0,28.0,10.33,10.33
2001,2001-11-04,21.131,2.0,9.0,22.22,56.0,0.0,0.0,53.0,3.0,15.0,6.22,6.22
2001,2001-11-11,21.138,4.0,12.0,33.33,32.0,1.0,0.0,70.1,2.0,5.0,2.67,4.33
2001,2001-12-02,21.159000000000002,7.0,18.0,38.89,94.0,0.0,0.0,56.2,2.0,16.0,5.22,5.22
2001,2001-12-30,21.186999999999998,11.0,20.0,55.0,214.0,1.0,2.0,69.6,3.0,21.0,10.7,7.2
2001,2002-01-06,21.194000000000003,12.0,30.0,40.0,176.0,0.0,1.0,46.0,5.0,17.0,5.87,4.37
2002,2002-09-08,22.074,15.0,23.0,65.22,209.0,1.0,0.0,108.8,4.0,15.0,9.09,9.96
2002,2002-09-15,22.081,17.0,28.0,60.71,166.0,1.0,0.0,89.3,4.0,31.0,5.93,6.64
2002,2002-09-22,22.088,16.0,26.0,61.54,174.0,2.0,0.0,106.9,1.0,11.0,6.69,8.23
2002,2002-10-06,22.101999999999997,4.0,12.0,33.33,37.0,0.0,0.0,42.7,3.0,14.0,3.08,3.08
2002,2002-10-20,22.116,16.0,22.0,72.73,178.0,0.0,0.0,96.4,1.0,8.0,8.09,8.09
2002,2002-10-27,22.123,16.0,24.0,66.67,195.0,0.0,0.0,91.5,3.0,9.0,8.13,8.13
2002,2002-11-03,22.13,12.0,24.0,50.0,136.0,0.0,1.0,50.0,3.0,21.0,5.67,3.79
2002,2002-11-10,22.136999999999997,24.0,46.0,52.17,294.0,1.0,0.0,79.4,3.0,15.0,6.39,6.83
2002,2002-11-17,22.144000000000002,11.0,23.0,47.83,160.0,2.0,1.0,81.8,3.0,23.0,6.96,6.74
2002,2002-11-24,22.151,19.0,24.0,79.17,272.0,2.0,0.0,141.7,0.0,0.0,11.33,13.0
2002,2002-12-01,22.158,11.0,28.0,39.29,173.0,1.0,1.0,57.6,2.0,21.0,6.18,5.29
2002,2002-12-08,22.165,12.0,25.0,48.0,125.0,1.0,1.0,59.6,1.0,6.0,5.0,4.0
2002,2002-12-15,22.171999999999997,21.0,38.0,55.26,240.0,2.0,2.0,70.1,2.0,17.0,6.32,5.0
2002,2002-12-22,22.179000000000002,20.0,38.0,52.63,337.0,2.0,1.0,89.5,1.0,1.0,8.87,8.74
2002,2002-12-29,22.186,17.0,40.0,42.5,240.0,1.0,1.0,60.4,2.0,14.0,6.0,5.38
2003,2003-11-30,23.156999999999996,8.0,11.0,72.73,60.0,0.0,0.0,85.4,1.0,2.0,5.45,5.45
2003,2003-12-07,23.164,16.0,33.0,48.48,179.0,0.0,1.0,52.5,3.0,23.0,5.42,4.06
2003,2003-12-14,23.171,6.0,19.0,31.58,47.0,0.0,1.0,19.0,4.0,37.0,2.47,0.11
2003,2003-12-20,23.177,8.0,15.0,53.33,119.0,2.0,0.0,119.2,0.0,0.0,7.93,10.6
2003,2003-12-28,23.185,12.0,22.0,54.55,180.0,2.0,1.0,93.0,1.0,2.0,8.18,7.95
2004,2004-09-12,24.078000000000003,13.0,22.0,59.09,163.0,1.0,1.0,78.4,4.0,31.0,7.41,6.27
2004,2004-09-19,24.085,14.0,19.0,73.68,179.0,1.0,0.0,120.3,1.0,5.0,9.42,10.47
2004,2004-09-26,24.092,10.0,20.0,50.0,115.0,0.0,1.0,46.9,6.0,26.0,5.75,3.5
2004,2004-10-03,24.099,10.0,18.0,55.56,148.0,0.0,0.0,82.6,0.0,0.0,8.22,8.22
2004,2004-10-10,24.105999999999998,18.0,29.0,62.07,196.0,0.0,1.0,67.6,6.0,35.0,6.76,5.21
2004,2004-10-17,24.113000000000003,12.0,21.0,57.14,218.0,2.0,1.0,104.9,3.0,12.0,10.38,10.14
2004,2004-10-24,24.12,7.0,21.0,33.33,119.0,0.0,2.0,13.9,4.0,25.0,5.67,1.38
2004,2004-10-31,24.127,18.0,24.0,75.0,252.0,2.0,0.0,136.1,1.0,5.0,10.5,12.17
2004,2004-11-14,24.141,8.0,16.0,50.0,147.0,1.0,1.0,76.8,5.0,27.0,9.19,7.63
2004,2004-11-21,24.148000000000003,12.0,20.0,60.0,115.0,2.0,0.0,109.4,2.0,18.0,5.75,7.75
2004,2004-11-28,24.155,16.0,29.0,55.17,212.0,2.0,1.0,87.1,2.0,2.0,7.31,7.14
2004,2004-12-05,24.162,13.0,27.0,48.15,115.0,0.0,2.0,29.1,5.0,23.0,4.26,0.93
2004,2004-12-12,24.169,13.0,20.0,65.0,145.0,0.0,0.0,86.5,1.0,10.0,7.25,7.25
2004,2004-12-18,24.175,11.0,28.0,39.29,154.0,2.0,2.0,51.8,4.0,29.0,5.5,3.71
2004,2005-01-02,24.19,6.0,7.0,85.71,35.0,1.0,0.0,127.1,2.0,18.0,5.0,7.86
2005,2005-09-12,25.078000000000003,12.0,23.0,52.17,156.0,0.0,1.0,55.7,4.0,37.0,6.78,4.83
2005,2005-09-18,25.084,11.0,19.0,57.89,123.0,1.0,0.0,94.8,3.0,15.0,6.47,7.53
2005,2005-09-25,25.090999999999998,15.0,27.0,55.56,167.0,2.0,1.0,83.4,0.0,0.0,6.19,6.0
2005,2005-10-02,25.098000000000003,6.0,8.0,75.0,49.0,1.0,0.0,129.7,1.0,5.0,6.13,8.63
2005,2005-10-16,25.112,11.0,23.0,47.83,112.0,1.0,1.0,58.6,1.0,6.0,4.87,3.78
2005,2005-10-24,25.12,11.0,26.0,42.31,116.0,0.0,3.0,16.3,3.0,11.0,4.46,-0.73
2005,2005-11-06,25.133000000000003,22.0,31.0,70.97,228.0,1.0,0.0,102.6,3.0,8.0,7.35,8.0
2005,2005-11-13,25.14,20.0,30.0,66.67,209.0,2.0,0.0,108.9,3.0,17.0,6.97,8.3
2005,2005-11-20,25.147,21.0,38.0,55.26,306.0,2.0,0.0,99.2,2.0,12.0,8.05,9.11
2005,2005-11-24,25.151,12.0,22.0,54.55,146.0,2.0,1.0,86.6,0.0,0.0,6.64,6.41
2005,2005-12-04,25.160999999999998,17.0,35.0,48.57,171.0,0.0,2.0,39.1,4.0,23.0,4.89,2.31
2005,2005-12-12,25.169,12.0,23.0,52.17,231.0,1.0,1.0,83.8,0.0,0.0,10.04,8.96
2005,2005-12-18,25.175,13.0,32.0,40.63,122.0,0.0,2.0,25.8,2.0,5.0,3.81,1.0
2005,2005-12-24,25.180999999999997,16.0,26.0,61.54,161.0,2.0,0.0,104.8,4.0,34.0,6.19,7.73
2005,2006-01-01,25.189,15.0,24.0,62.5,115.0,0.0,1.0,56.8,3.0,28.0,4.79,2.92
2006,2006-09-10,26.076,10.0,22.0,45.45,140.0,2.0,0.0,96.8,1.0,7.0,6.36,8.18
2006,2006-09-17,26.083000000000002,10.0,15.0,66.67,92.0,1.0,1.0,77.6,3.0,16.0,6.13,4.47
2006,2006-09-25,26.090999999999998,12.0,31.0,38.71,137.0,0.0,0.0,52.8,5.0,25.0,4.42,4.42
2006,2006-10-01,26.096999999999998,13.0,22.0,59.09,153.0,0.0,1.0,61.4,2.0,10.0,6.95,4.91
2006,2006-10-15,26.111,14.0,27.0,51.85,154.0,0.0,1.0,53.6,7.0,48.0,5.7,4.04
2006,2006-10-22,26.118000000000002,18.0,30.0,60.0,232.0,4.0,2.0,96.1,1.0,6.0,7.73,7.4
2006,2006-10-29,26.125,19.0,27.0,70.37,291.0,3.0,0.0,142.7,2.0,14.0,10.78,13.0
2006,2006-11-05,26.131999999999998,17.0,32.0,53.13,163.0,1.0,2.0,52.0,2.0,9.0,5.09,2.91
2006,2006-11-12,26.139,16.0,40.0,40.0,197.0,1.0,2.0,43.4,1.0,3.0,4.93,3.18
2006,2006-11-19,26.146,11.0,21.0,52.38,127.0,1.0,0.0,86.8,5.0,45.0,6.05,7.0
2006,2006-11-26,26.153000000000002,9.0,24.0,37.5,84.0,0.0,0.0,47.9,3.0,32.0,3.5,3.5
2006,2006-12-03,26.16,8.0,16.0,50.0,122.0,2.0,0.0,115.1,1.0,9.0,7.63,10.13
2006,2006-12-10,26.166999999999998,14.0,23.0,60.87,155.0,0.0,1.0,62.8,2.0,14.0,6.74,4.78
2006,2006-12-16,26.173000000000002,16.0,24.0,66.67,237.0,4.0,1.0,121.0,4.0,21.0,9.88,11.33
2006,2006-12-24,26.180999999999997,9.0,20.0,45.0,109.0,0.0,2.0,22.7,3.0,15.0,5.45,0.95
2006,2006-12-31,26.188000000000002,8.0,14.0,57.14,81.0,1.0,0.0,97.6,3.0,29.0,5.79,7.21
2009,2009-09-27,29.093000000000004,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2009-10-11,29.107,1.0,3.0,33.33,1.0,0.0,0.0,42.4,0.0,0.0,0.33,0.33
2009,2009-10-18,29.114,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-10-26,29.122,1.0,1.0,100.0,5.0,0.0,0.0,87.5,0.0,0.0,5.0,5.0
2009,2009-11-01,29.128,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-08,29.135,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2009,2009-11-15,29.142,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2009-11-22,29.149,1.0,1.0,100.0,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0
2009,2009-11-29,29.156,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2009,2009-12-06,29.163,2.0,2.0,100.0,48.0,1.0,0.0,158.3,0.0,0.0,24.0,34.0
2009,2009-12-13,29.17,1.0,2.0,50.0,32.0,0.0,0.0,95.8,0.0,0.0,16.0,16.0
2009,2009-12-20,29.177,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
2010,2010-09-12,30.078000000000003,16.0,24.0,66.67,175.0,1.0,0.0,101.9,3.0,11.0,7.29,8.13
2010,2010-09-19,30.085,21.0,34.0,61.76,284.0,2.0,0.0,108.0,5.0,36.0,8.35,9.53
2010,2010-09-26,30.092,17.0,31.0,54.84,291.0,3.0,0.0,119.2,3.0,24.0,9.39,11.32
2010,2010-10-03,30.099,5.0,7.0,71.43,49.0,0.0,0.0,90.8,0.0,0.0,7.0,7.0
2010,2010-11-07,30.134,17.0,29.0,58.62,218.0,1.0,0.0,93.7,3.0,11.0,7.52,8.21
2010,2010-11-15,30.142,20.0,28.0,71.43,333.0,4.0,0.0,150.7,1.0,1.0,11.89,14.75
2010,2010-11-21,30.148000000000003,24.0,38.0,63.16,258.0,0.0,0.0,83.0,3.0,14.0,6.79,6.79
2010,2010-11-28,30.155,29.0,44.0,65.91,333.0,2.0,1.0,94.2,4.0,40.0,7.57,7.45
2010,2010-12-02,30.159000000000002,22.0,33.0,66.67,302.0,2.0,1.0,103.3,1.0,1.0,9.15,9.0
2010,2010-12-12,30.169,16.0,26.0,61.54,270.0,2.0,2.0,90.2,2.0,12.0,10.38,8.46
2010,2010-12-19,30.176,21.0,35.0,60.0,242.0,3.0,1.0,97.6,3.0,21.0,6.91,7.34
2010,2010-12-28,30.185,25.0,43.0,58.14,263.0,1.0,1.0,74.1,6.0,39.0,6.12,5.53
2011,2011-09-11,31.076999999999998,14.0,32.0,43.75,187.0,2.0,0.0,83.7,3.0,20.0,5.84,7.09
2011,2011-09-18,31.084,19.0,28.0,67.86,242.0,2.0,1.0,103.6,0.0,0.0,8.64,8.46
2011,2011-09-25,31.090999999999998,16.0,23.0,69.57,176.0,0.0,1.0,73.8,1.0,6.0,7.65,5.7
2011,2011-10-02,31.098000000000003,30.0,46.0,65.22,416.0,2.0,1.0,99.5,2.0,11.0,9.04,8.93
2011,2011-10-09,31.105,26.0,40.0,65.0,315.0,2.0,4.0,66.1,0.0,0.0,7.88,4.38
2011,2011-10-16,31.112,18.0,31.0,58.06,237.0,1.0,1.0,79.6,2.0,7.0,7.65,6.84
2011,2011-10-30,31.125999999999998,21.0,28.0,75.0,279.0,2.0,0.0,129.9,4.0,23.0,9.96,11.39
2011,2011-11-07,31.134,21.0,38.0,55.26,213.0,0.0,1.0,60.5,1.0,2.0,5.61,4.42
2011,2011-11-13,31.14,16.0,34.0,47.06,128.0,0.0,2.0,32.5,2.0,5.0,3.76,1.12
2011,2011-12-11,31.168000000000003,15.0,30.0,50.0,208.0,1.0,1.0,69.9,4.0,20.0,6.93,6.1
2011,2011-12-18,31.175,15.0,22.0,68.18,274.0,1.0,1.0,107.0,0.0,0.0,12.45,11.32
2011,2011-12-24,31.180999999999997,18.0,32.0,56.25,293.0,2.0,0.0,107.9,2.0,12.0,9.16,10.41
2011,2012-01-01,31.189,24.0,39.0,61.54,335.0,3.0,1.0,104.1,2.0,20.0,8.59,8.97
2012,2012-09-09,32.075,29.0,56.0,51.79,317.0,2.0,4.0,51.0,2.0,11.0,5.66,3.16
2012,2012-09-16,32.082,23.0,32.0,71.88,371.0,1.0,2.0,94.7,2.0,14.0,11.59,9.41
2012,2012-09-23,32.089,17.0,37.0,45.95,217.0,0.0,0.0,64.8,5.0,23.0,5.86,5.86
2012,2012-09-30,32.096,19.0,30.0,63.33,241.0,1.0,0.0,99.4,2.0,10.0,8.03,8.7
2012,2012-10-07,32.103,20.0,30.0,66.67,175.0,2.0,0.0,104.2,3.0,7.0,5.83,7.17
2012,2012-10-14,32.11,28.0,46.0,60.87,311.0,2.0,2.0,77.4,3.0,25.0,6.76,5.67
2012,2012-10-28,32.124,21.0,35.0,60.0,191.0,1.0,0.0,84.3,3.0,13.0,5.46,6.03
2012,2012-11-05,32.132,22.0,41.0,53.66,272.0,1.0,1.0,72.4,7.0,46.0,6.63,6.02
2012,2012-11-11,32.138000000000005,6.0,9.0,66.67,70.0,1.0,0.0,127.1,0.0,0.0,7.78,10.0
2012,2012-12-30,32.187,19.0,35.0,54.29,197.0,1.0,1.0,68.4,1.0,4.0,5.63,4.91
2013,2013-09-09,33.075,15.0,25.0,60.0,203.0,2.0,0.0,112.6,3.0,23.0,8.12,9.72
2013,2013-09-15,33.080999999999996,23.0,36.0,63.89,428.0,2.0,0.0,123.4,2.0,17.0,11.89,13.0
2013,2013-09-19,33.085,13.0,30.0,43.33,201.0,1.0,2.0,49.4,6.0,34.0,6.7,4.37
2013,2013-09-29,33.095,14.0,27.0,51.85,248.0,0.0,0.0,83.6,3.0,13.0,9.19,9.19
2013,2013-10-06,33.102,6.0,14.0,42.86,105.0,0.0,0.0,69.0,0.0,0.0,7.5,7.5
2013,2013-10-27,33.123000000000005,6.0,9.0,66.67,30.0,0.0,1.0,31.9,1.0,12.0,3.33,-1.67
2013,2013-12-22,33.179,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-09-07,34.073,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2014,2014-09-14,34.08,0.0,0.0,,0.0,0.0,0.0,,1.0,3.0,,
2014,2014-09-22,34.088,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-10-05,34.101,8.0,19.0,42.11,47.0,0.0,0.0,49.7,2.0,14.0,2.47,2.47
2014,2014-10-16,34.111999999999995,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2014,2014-10-26,34.122,18.0,36.0,50.0,153.0,0.0,1.0,49.9,4.0,21.0,4.25,3.0
2014,2014-11-02,34.129,21.0,28.0,75.0,196.0,1.0,0.0,105.7,3.0,10.0,7.0,7.71
2014,2014-11-09,34.135999999999996,10.0,18.0,55.56,132.0,2.0,0.0,116.0,4.0,7.0,7.33,9.56
2014,2014-11-24,34.150999999999996,7.0,19.0,36.84,76.0,0.0,1.0,27.5,5.0,30.0,4.0,1.63
2014,2014-12-28,34.185,,,,,,,,,,,
2015,2015-09-20,35.086,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2015,2015-09-27,35.093,5.0,6.0,83.33,38.0,0.0,0.0,93.1,2.0,11.0,6.33,6.33
2015,2015-10-01,35.097,19.0,26.0,73.08,124.0,1.0,0.0,95.7,4.0,28.0,4.77,5.54
2015,2015-10-12,35.108000000000004,13.0,26.0,50.0,203.0,1.0,1.0,73.1,3.0,9.0,7.81,6.85
2015,2015-10-18,35.114000000000004,3.0,8.0,37.5,6.0,0.0,0.0,45.8,1.0,5.0,0.75,0.75
