Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2013,2013-09-29,23.291,24.0,43.0,55.81,193.0,1.0,2.0,55.7,2.0,20.0,4.49,2.86
2013,2013-10-13,23.305,26.0,43.0,60.47,273.0,2.0,1.0,84.7,2.0,16.0,6.35,6.23
2013,2013-10-20,23.311999999999998,26.0,44.0,59.09,256.0,2.0,0.0,90.7,3.0,30.0,5.82,6.73
2013,2013-10-24,23.316,30.0,51.0,58.82,275.0,1.0,0.0,80.1,3.0,26.0,5.39,5.78
2013,2013-11-03,23.326,17.0,23.0,73.91,168.0,2.0,0.0,123.1,3.0,25.0,7.3,9.04
2013,2013-11-11,23.334,11.0,21.0,52.38,139.0,1.0,1.0,69.3,2.0,15.0,6.62,5.43
2013,2013-11-17,23.34,20.0,23.0,86.96,231.0,2.0,0.0,137.5,2.0,7.0,10.04,11.78
2013,2013-11-24,23.346999999999998,14.0,21.0,66.67,247.0,2.0,0.0,138.4,4.0,40.0,11.76,13.67
2013,2013-12-01,23.354,14.0,21.0,66.67,180.0,0.0,1.0,73.5,5.0,40.0,8.57,6.43
2013,2013-12-08,23.361,9.0,25.0,36.0,90.0,2.0,2.0,40.4,1.0,9.0,3.6,1.6
2013,2013-12-15,24.003,18.0,34.0,52.94,179.0,2.0,1.0,75.5,4.0,35.0,5.26,5.12
2013,2013-12-22,24.01,16.0,26.0,61.54,158.0,0.0,0.0,78.7,7.0,47.0,6.08,6.08
2013,2013-12-29,24.017,22.0,41.0,53.66,219.0,2.0,1.0,75.2,2.0,4.0,5.34,5.22
2014,2014-09-18,24.28,17.0,24.0,70.83,121.0,1.0,0.0,96.0,2.0,18.0,5.04,5.88
2014,2014-09-28,24.29,21.0,42.0,50.0,302.0,2.0,1.0,79.7,1.0,15.0,7.19,7.07
2014,2014-10-05,24.296999999999997,19.0,32.0,59.38,249.0,2.0,1.0,91.8,1.0,1.0,7.78,7.63
2014,2014-10-12,24.304000000000002,24.0,44.0,54.55,314.0,2.0,1.0,83.0,5.0,37.0,7.14,7.02
2014,2014-10-26,24.318,19.0,28.0,67.86,171.0,1.0,1.0,81.1,5.0,12.0,6.11,5.21
2014,2014-11-02,24.325,17.0,33.0,51.52,260.0,2.0,2.0,72.8,2.0,8.0,7.88,6.36
2016,2016-11-03,26.326999999999998,10.0,11.0,90.91,75.0,1.0,0.0,125.4,0.0,0.0,6.82,8.64
2016,2016-11-13,26.337,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-09-10,27.272,26.0,40.0,65.0,213.0,1.0,0.0,86.8,4.0,37.0,5.33,5.83
2017,2017-09-17,27.279,31.0,45.0,68.89,301.0,1.0,2.0,76.2,1.0,11.0,6.69,5.13
2017,2017-09-24,27.285999999999998,15.0,22.0,68.18,101.0,1.0,1.0,74.2,2.0,17.0,4.59,3.45
2017,2017-09-28,27.29,21.0,33.0,63.64,218.0,1.0,2.0,67.5,1.0,13.0,6.61,4.48
2018,2018-12-16,29.004,10.0,14.0,71.43,111.0,1.0,0.0,118.5,1.0,8.0,7.93,9.36
2018,2018-12-23,29.011,5.0,7.0,71.43,63.0,0.0,0.0,99.1,0.0,0.0,9.0,9.0
2019,2019-10-20,29.311999999999998,2.0,3.0,66.67,36.0,1.0,0.0,147.2,0.0,0.0,12.0,18.67
2019,2019-11-24,29.346999999999998,4.0,7.0,57.14,20.0,0.0,0.0,62.2,0.0,0.0,2.86,2.86
2020,2020-11-29,30.353,20.0,35.0,57.14,235.0,2.0,0.0,96.7,0.0,0.0,6.71,7.86
2020,2020-12-06,30.36,28.0,42.0,66.67,280.0,1.0,2.0,73.5,2.0,14.0,6.67,5.0
2020,2020-12-13,31.000999999999998,13.0,23.0,56.52,85.0,0.0,1.0,46.5,0.0,0.0,3.7,1.74
2020,2020-12-27,31.015,24.0,37.0,64.86,211.0,2.0,2.0,75.4,1.0,8.0,5.7,4.35
