Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1982,1982-09-12,21.364,7.0,15.0,46.67,71.0,0.0,1.0,32.9,1.0,8.0,4.73,1.73
1982,1982-09-19,22.006,8.0,16.0,50.0,124.0,1.0,0.0,96.9,3.0,33.0,7.75,9.0
1982,1982-11-21,22.069000000000003,17.0,34.0,50.0,230.0,0.0,2.0,47.4,0.0,0.0,6.76,4.12
1982,1982-11-28,22.076,3.0,17.0,17.65,62.0,0.0,0.0,42.3,1.0,10.0,3.65,3.65
1982,1982-12-05,22.083000000000002,11.0,20.0,55.0,146.0,2.0,0.0,111.7,2.0,23.0,7.3,9.3
1982,1982-12-12,22.09,14.0,32.0,43.75,116.0,0.0,2.0,27.6,0.0,0.0,3.63,0.81
1982,1982-12-19,22.096999999999998,23.0,39.0,58.97,211.0,1.0,0.0,82.3,3.0,26.0,5.41,5.92
1982,1982-12-26,22.104,17.0,25.0,68.0,186.0,1.0,1.0,86.4,1.0,9.0,7.44,6.44
1982,1983-01-02,22.111,11.0,23.0,47.83,135.0,0.0,1.0,48.3,5.0,20.0,5.87,3.91
1983,1983-09-04,22.355999999999998,17.0,31.0,54.84,292.0,2.0,1.0,95.1,2.0,9.0,9.42,9.26
1983,1983-09-11,22.363000000000003,10.0,25.0,40.0,120.0,0.0,2.0,22.1,4.0,19.0,4.8,1.2
1983,1983-09-18,23.005,12.0,26.0,46.15,235.0,1.0,0.0,91.0,1.0,10.0,9.04,9.81
1983,1983-09-25,23.011999999999997,19.0,30.0,63.33,251.0,1.0,2.0,73.1,1.0,6.0,8.37,6.03
1983,1983-10-02,23.019000000000002,12.0,19.0,63.16,124.0,0.0,0.0,81.9,4.0,26.0,6.53,6.53
1983,1983-10-09,23.026,7.0,17.0,41.18,137.0,1.0,1.0,65.1,2.0,11.0,8.06,6.59
1983,1983-10-16,23.033,2.0,10.0,20.0,73.0,1.0,2.0,51.2,4.0,34.0,7.3,0.3
1983,1983-10-23,23.04,15.0,31.0,48.39,190.0,1.0,2.0,51.8,3.0,17.0,6.13,3.87
1983,1983-10-30,23.046999999999997,8.0,18.0,44.44,92.0,0.0,0.0,60.4,3.0,19.0,5.11,5.11
1983,1983-11-06,23.054000000000002,9.0,17.0,52.94,129.0,1.0,0.0,97.4,4.0,30.0,7.59,8.76
1983,1983-11-13,23.061,6.0,14.0,42.86,82.0,0.0,1.0,32.4,1.0,7.0,5.86,2.64
1983,1983-11-27,23.075,15.0,26.0,57.69,164.0,2.0,2.0,70.0,2.0,18.0,6.31,4.38
1983,1983-12-04,23.081999999999997,13.0,24.0,54.17,192.0,0.0,2.0,45.8,5.0,28.0,8.0,4.25
1983,1983-12-11,23.089000000000002,13.0,27.0,48.15,217.0,1.0,1.0,72.6,2.0,16.0,8.04,7.11
1983,1983-12-18,23.096,5.0,13.0,38.46,55.0,1.0,1.0,45.4,2.0,28.0,4.23,2.31
1984,1984-09-02,23.355,17.0,26.0,65.38,199.0,0.0,1.0,72.4,4.0,27.0,7.65,5.92
1984,1984-09-09,23.362,15.0,20.0,75.0,215.0,3.0,0.0,149.0,0.0,0.0,10.75,13.75
1984,1984-09-16,24.003,11.0,25.0,44.0,173.0,1.0,2.0,47.6,4.0,26.0,6.92,4.12
1984,1984-09-23,24.01,8.0,15.0,53.33,104.0,1.0,2.0,58.1,4.0,30.0,6.93,2.27
1984,1984-09-30,24.017,14.0,23.0,60.87,152.0,1.0,0.0,94.8,1.0,10.0,6.61,7.48
1984,1984-10-07,24.024,10.0,23.0,43.48,140.0,0.0,2.0,27.4,3.0,17.0,6.09,2.17
1984,1984-10-14,24.031,8.0,18.0,44.44,89.0,0.0,0.0,59.7,5.0,30.0,4.94,4.94
1984,1984-10-21,24.038,13.0,17.0,76.47,178.0,1.0,0.0,129.0,3.0,28.0,10.47,11.65
1984,1984-10-28,24.045,3.0,10.0,30.0,29.0,0.0,0.0,39.6,1.0,5.0,2.9,2.9
1984,1984-11-11,24.059,4.0,12.0,33.33,37.0,0.0,0.0,42.7,0.0,0.0,3.08,3.08
1984,1984-12-09,24.087,11.0,23.0,47.83,110.0,1.0,1.0,58.2,3.0,28.0,4.78,3.7
1985,1985-09-08,24.36,1.0,4.0,25.0,11.0,0.0,0.0,39.6,0.0,0.0,2.75,2.75
1985,1985-09-15,25.002,16.0,32.0,50.0,214.0,1.0,1.0,69.0,2.0,12.0,6.69,5.91
1985,1985-09-22,25.009,14.0,32.0,43.75,135.0,0.0,2.0,30.1,1.0,8.0,4.22,1.41
1985,1985-09-29,25.016,17.0,30.0,56.67,217.0,2.0,1.0,87.8,0.0,0.0,7.23,7.07
1985,1985-10-06,25.023000000000003,14.0,25.0,56.0,183.0,1.0,1.0,75.9,0.0,0.0,7.32,6.32
1985,1985-10-13,25.03,14.0,30.0,46.67,140.0,1.0,1.0,57.6,3.0,23.0,4.67,3.83
1985,1985-10-20,25.037,7.0,22.0,31.82,78.0,0.0,2.0,5.5,2.0,13.0,3.55,-0.55
1985,1985-10-27,25.044,17.0,28.0,60.71,224.0,1.0,0.0,97.9,1.0,13.0,8.0,8.71
1985,1985-11-03,25.051,11.0,23.0,47.83,171.0,1.0,0.0,87.4,4.0,32.0,7.43,8.3
1985,1985-11-10,25.058000000000003,10.0,19.0,52.63,93.0,1.0,1.0,62.0,3.0,18.0,4.89,3.58
1985,1985-11-17,25.065,14.0,33.0,42.42,222.0,1.0,2.0,50.3,3.0,12.0,6.73,4.61
1985,1985-11-24,25.072,8.0,13.0,61.54,104.0,0.0,1.0,54.6,2.0,19.0,8.0,4.54
1985,1985-12-01,25.079,15.0,28.0,53.57,174.0,1.0,2.0,54.8,1.0,10.0,6.21,3.71
1985,1985-12-08,25.086,10.0,24.0,41.67,143.0,1.0,0.0,75.5,1.0,10.0,5.96,6.79
1985,1985-12-15,25.093000000000004,17.0,28.0,60.71,127.0,0.0,1.0,56.7,0.0,0.0,4.54,2.93
1985,1985-12-22,25.1,14.0,22.0,63.64,178.0,3.0,0.0,128.4,2.0,10.0,8.09,10.82
