Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1985,1985-09-29,22.340999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-10-21,22.363000000000003,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-10,23.018,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-17,23.025,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1985,1985-11-24,23.031999999999996,2.0,4.0,50.0,33.0,0.0,0.0,78.1,0.0,0.0,8.25,8.25
1985,1985-12-22,23.06,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1986,1986-09-07,23.319000000000003,3.0,6.0,50.0,48.0,0.0,0.0,77.1,0.0,0.0,8.0,8.0
1986,1986-09-14,23.326,10.0,20.0,50.0,116.0,0.0,2.0,28.3,2.0,16.0,5.8,1.3
1986,1986-09-22,23.334,9.0,13.0,69.23,74.0,0.0,0.0,83.5,0.0,0.0,5.69,5.69
1986,1986-09-28,23.34,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1986,1986-10-19,23.361,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-22.5
1986,1986-11-03,24.011,2.0,8.0,25.0,28.0,0.0,0.0,41.7,1.0,7.0,3.5,3.5
1986,1986-11-09,24.017,11.0,24.0,45.83,265.0,1.0,1.0,82.8,1.0,7.0,11.04,10.0
1986,1986-11-16,24.024,9.0,22.0,40.91,203.0,0.0,2.0,36.7,0.0,0.0,9.23,5.14
1986,1986-11-23,24.031,3.0,6.0,50.0,7.0,0.0,0.0,56.2,0.0,0.0,1.17,1.17
1986,1986-11-30,24.038,19.0,30.0,63.33,235.0,0.0,2.0,59.7,0.0,0.0,7.83,4.83
1986,1986-12-07,24.045,7.0,11.0,63.64,108.0,1.0,1.0,88.4,0.0,0.0,9.82,7.55
1986,1986-12-15,24.053,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
