Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2017,2017-10-09,23.05,12.0,25.0,48.0,128.0,1.0,1.0,60.1,1.0,7.0,5.12,4.12
2017,2017-10-15,23.055999999999997,8.0,16.0,50.0,113.0,1.0,0.0,94.0,4.0,23.0,7.06,8.31
2017,2017-10-22,23.063000000000002,4.0,7.0,57.14,107.0,0.0,0.0,101.8,4.0,22.0,15.29,15.29
2017,2017-10-29,23.07,14.0,32.0,43.75,164.0,0.0,1.0,46.9,2.0,14.0,5.13,3.72
2017,2017-11-12,23.084,21.0,35.0,60.0,297.0,1.0,0.0,97.0,5.0,29.0,8.49,9.06
2017,2017-11-19,23.090999999999998,18.0,30.0,60.0,179.0,1.0,0.0,88.1,1.0,3.0,5.97,6.63
2017,2017-11-26,23.098000000000003,17.0,33.0,51.52,147.0,0.0,2.0,38.3,2.0,13.0,4.45,1.73
2017,2017-12-03,23.105,12.0,15.0,80.0,102.0,1.0,0.0,117.2,2.0,17.0,6.8,8.13
2017,2017-12-10,23.112,25.0,32.0,78.13,271.0,1.0,0.0,112.4,2.0,21.0,8.47,9.09
2017,2017-12-16,23.118000000000002,31.0,46.0,67.39,314.0,1.0,3.0,66.8,2.0,8.0,6.83,4.33
2017,2017-12-24,23.125999999999998,14.0,23.0,60.87,193.0,0.0,0.0,87.8,5.0,32.0,8.39,8.39
2017,2017-12-31,23.133000000000003,20.0,36.0,55.56,178.0,0.0,0.0,69.0,1.0,7.0,4.94,4.94
2018,2018-09-09,24.02,23.0,35.0,65.71,171.0,0.0,0.0,77.2,4.0,16.0,4.89,4.89
2018,2018-09-17,24.028000000000002,25.0,34.0,73.53,200.0,2.0,2.0,83.0,2.0,15.0,5.88,4.41
2018,2018-09-23,24.034000000000002,24.0,35.0,68.57,220.0,0.0,1.0,73.5,3.0,26.0,6.29,5.0
