Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
1981,1981-09-06,22.201,14.0,30.0,46.67,151.0,0.0,1.0,48.1,3.0,26.0,5.03,3.53
1981,1981-09-13,22.208000000000002,14.0,41.0,34.15,295.0,1.0,2.0,48.3,4.0,33.0,7.2,5.49
1981,1981-09-20,22.215,0.0,0.0,,0.0,0.0,0.0,,0.0,,,
1981,1981-09-27,22.221999999999998,1.0,1.0,100.0,8.0,0.0,0.0,100.0,0.0,0.0,8.0,8.0
1981,1981-10-11,22.236,2.0,3.0,66.67,26.0,0.0,0.0,93.7,2.0,20.0,8.67,8.67
1981,1981-10-18,22.243000000000002,0.0,2.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
1981,1981-11-01,22.256999999999998,3.0,8.0,37.5,29.0,0.0,0.0,48.4,0.0,0.0,3.63,3.63
1981,1981-11-08,22.264,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,24.0,0.0,-15.0
1981,1981-11-15,22.271,13.0,23.0,56.52,102.0,1.0,1.0,64.0,2.0,22.0,4.43,3.35
1981,1981-11-22,22.278000000000002,12.0,21.0,57.14,219.0,0.0,0.0,93.2,1.0,8.0,10.43,10.43
1981,1981-11-29,22.285,20.0,28.0,71.43,280.0,1.0,0.0,115.2,3.0,25.0,10.0,10.71
1981,1981-12-06,22.291999999999998,13.0,19.0,68.42,173.0,0.0,1.0,75.1,4.0,38.0,9.11,6.74
1981,1981-12-13,22.299,16.0,31.0,51.61,163.0,1.0,1.0,64.3,3.0,33.0,5.26,4.45
1981,1981-12-20,22.305999999999997,11.0,26.0,42.31,129.0,0.0,3.0,18.4,7.0,57.0,4.96,-0.23
1982,1982-09-12,23.206999999999997,10.0,18.0,55.56,92.0,1.0,0.0,88.2,6.0,38.0,5.11,6.22
1982,1982-09-19,23.214000000000002,22.0,38.0,57.89,291.0,1.0,1.0,80.0,5.0,42.0,7.66,7.0
1982,1982-11-21,23.276999999999997,9.0,23.0,39.13,82.0,1.0,0.0,64.0,1.0,8.0,3.57,4.43
1982,1982-11-28,23.284000000000002,10.0,15.0,66.67,109.0,0.0,0.0,87.9,1.0,13.0,7.27,7.27
1982,1982-12-05,23.291,13.0,22.0,59.09,148.0,0.0,0.0,79.4,3.0,20.0,6.73,6.73
1982,1982-12-12,23.298000000000002,8.0,14.0,57.14,160.0,0.0,0.0,97.3,3.0,26.0,11.43,11.43
1982,1982-12-19,23.305,5.0,17.0,29.41,74.0,0.0,1.0,20.7,3.0,17.0,4.35,1.71
1982,1982-12-26,23.311999999999998,14.0,24.0,58.33,212.0,2.0,1.0,97.9,4.0,26.0,8.83,8.63
1982,1983-01-02,23.319000000000003,18.0,34.0,52.94,199.0,0.0,3.0,33.8,5.0,44.0,5.85,1.88
1983,1983-09-04,24.199,11.0,16.0,68.75,111.0,1.0,0.0,109.1,1.0,8.0,6.94,8.19
1983,1983-09-18,24.213,16.0,35.0,45.71,194.0,2.0,2.0,58.5,3.0,22.0,5.54,4.11
1983,1983-10-09,24.234,20.0,31.0,64.52,251.0,1.0,1.0,86.9,3.0,24.0,8.1,7.29
1983,1983-10-16,24.241,17.0,22.0,77.27,166.0,3.0,1.0,118.6,3.0,23.0,7.55,8.23
1983,1983-10-24,24.249000000000002,16.0,33.0,48.48,204.0,0.0,3.0,30.4,3.0,20.0,6.18,2.09
1983,1983-10-30,24.255,19.0,28.0,67.86,241.0,3.0,0.0,130.2,1.0,7.0,8.61,10.75
1983,1983-11-06,24.261999999999997,17.0,35.0,48.57,212.0,1.0,1.0,65.4,5.0,24.0,6.06,5.34
1983,1983-11-13,24.269000000000002,21.0,27.0,77.78,253.0,4.0,0.0,145.3,3.0,22.0,9.37,12.33
1983,1983-11-20,24.276,12.0,20.0,60.0,247.0,2.0,1.0,116.0,4.0,42.0,12.35,12.1
1983,1983-11-24,24.28,18.0,30.0,60.0,230.0,2.0,0.0,106.2,7.0,41.0,7.67,9.0
1983,1983-12-04,24.29,11.0,25.0,44.0,122.0,1.0,1.0,55.7,5.0,41.0,4.88,3.88
1983,1983-12-11,24.296999999999997,17.0,24.0,70.83,227.0,2.0,0.0,128.3,1.0,10.0,9.46,11.13
1983,1983-12-18,24.304000000000002,14.0,28.0,50.0,178.0,2.0,1.0,79.2,4.0,31.0,6.36,6.18
1984,1984-09-02,25.198,25.0,35.0,71.43,270.0,2.0,1.0,100.9,2.0,10.0,7.71,7.57
1984,1984-09-09,25.205,21.0,29.0,72.41,265.0,2.0,0.0,123.5,0.0,0.0,9.14,10.52
1984,1984-09-16,25.212,16.0,39.0,41.03,270.0,2.0,3.0,50.2,1.0,5.0,6.92,4.49
