Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A
2012,2012-11-11,23.296,22.0,32.0,68.75,219.0,1.0,1.0,85.3,2.0,11.0,6.84,6.06
2012,2012-11-18,23.303,21.0,46.0,45.65,204.0,0.0,2.0,40.5,4.0,27.0,4.43,2.48
2012,2012-11-26,23.311,16.0,21.0,76.19,119.0,0.0,0.0,89.2,1.0,12.0,5.67,5.67
2012,2012-12-02,23.316999999999997,22.0,34.0,64.71,251.0,1.0,0.0,96.6,1.0,11.0,7.38,7.97
2012,2012-12-09,23.324,32.0,51.0,62.75,381.0,2.0,0.0,98.6,6.0,43.0,7.47,8.25
2012,2012-12-13,23.328000000000003,16.0,33.0,48.48,180.0,1.0,1.0,62.7,1.0,3.0,5.45,4.7
2012,2012-12-23,23.338,32.0,48.0,66.67,345.0,1.0,1.0,85.9,5.0,24.0,7.19,6.67
2013,2013-09-15,24.238000000000003,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
2013,2013-09-29,24.252,3.0,4.0,75.0,49.0,1.0,0.0,155.2,0.0,0.0,12.25,17.25
2013,2013-10-06,24.259,16.0,25.0,64.0,197.0,2.0,0.0,114.9,1.0,3.0,7.88,9.48
2013,2013-10-13,24.266,22.0,31.0,70.97,296.0,3.0,0.0,133.3,1.0,9.0,9.55,11.48
2013,2013-10-20,24.273000000000003,11.0,29.0,37.93,80.0,0.0,0.0,46.2,3.0,15.0,2.76,2.76
2013,2013-11-03,24.287,22.0,28.0,78.57,406.0,7.0,0.0,158.3,1.0,1.0,14.5,19.5
2013,2013-11-10,24.294,12.0,18.0,66.67,228.0,3.0,0.0,149.3,3.0,17.0,12.67,16.0
2013,2013-11-17,24.301,17.0,26.0,65.38,298.0,0.0,0.0,104.3,3.0,22.0,11.46,11.46
2013,2013-12-01,24.315,21.0,34.0,61.76,237.0,3.0,0.0,112.0,5.0,35.0,6.97,8.74
2013,2013-12-08,24.322,11.0,22.0,50.0,179.0,1.0,1.0,73.9,0.0,0.0,8.14,7.0
2013,2013-12-15,24.329,30.0,48.0,62.5,428.0,3.0,1.0,103.5,4.0,32.0,8.92,9.23
2013,2013-12-22,24.336,21.0,25.0,84.0,230.0,2.0,0.0,131.7,2.0,5.0,9.2,10.8
2013,2013-12-29,24.343000000000004,17.0,26.0,65.38,263.0,2.0,0.0,124.4,5.0,34.0,10.12,11.65
2014,2014-09-07,25.23,27.0,45.0,60.0,322.0,2.0,1.0,87.5,5.0,47.0,7.16,7.04
2014,2014-09-15,25.238000000000003,21.0,37.0,56.76,331.0,1.0,1.0,84.4,0.0,0.0,8.95,8.27
2014,2014-09-21,25.244,27.0,41.0,65.85,325.0,3.0,0.0,114.4,0.0,0.0,7.93,9.39
2014,2014-09-28,25.250999999999998,21.0,43.0,48.84,195.0,0.0,2.0,42.3,1.0,4.0,4.53,2.44
2014,2014-10-05,25.258000000000003,24.0,37.0,64.86,207.0,2.0,1.0,86.2,0.0,0.0,5.59,5.46
2014,2014-10-12,25.265,21.0,34.0,61.76,248.0,2.0,2.0,79.0,1.0,3.0,7.29,5.82
2014,2014-10-26,25.279,36.0,62.0,58.06,411.0,2.0,2.0,75.4,0.0,0.0,6.63,5.82
2014,2014-11-02,25.285999999999998,9.0,12.0,75.0,124.0,1.0,1.0,100.7,2.0,20.0,10.33,8.25
2015,2015-09-13,26.236,18.0,27.0,66.67,297.0,1.0,0.0,115.8,2.0,21.0,11.0,11.74
2015,2015-09-20,26.243000000000002,17.0,32.0,53.13,150.0,1.0,0.0,76.3,1.0,4.0,4.69,5.31
2015,2015-09-27,26.25,19.0,28.0,67.86,197.0,0.0,1.0,73.1,2.0,10.0,7.04,5.43
2015,2015-10-04,26.256999999999998,16.0,24.0,66.67,171.0,3.0,0.0,126.9,1.0,7.0,7.13,9.63
2015,2015-10-11,26.264,11.0,30.0,36.67,141.0,1.0,4.0,23.7,3.0,18.0,4.7,-0.63
2015,2015-10-25,26.278000000000002,15.0,23.0,65.22,163.0,0.0,0.0,86.0,2.0,13.0,7.09,7.09
2015,2015-11-01,26.285,14.0,23.0,60.87,191.0,1.0,0.0,101.9,0.0,0.0,8.3,9.17
2015,2015-11-08,26.291999999999998,18.0,33.0,54.55,168.0,0.0,0.0,68.7,1.0,8.0,5.09,5.09
2015,2015-11-15,26.299,17.0,36.0,47.22,200.0,0.0,1.0,53.0,1.0,9.0,5.56,4.31
2015,2015-11-29,26.313000000000002,30.0,46.0,65.22,228.0,0.0,3.0,49.9,1.0,8.0,4.96,2.02
2015,2015-12-06,26.32,15.0,35.0,42.86,146.0,0.0,1.0,43.3,0.0,0.0,4.17,2.89
2016,2016-10-30,27.284000000000002,16.0,22.0,72.73,223.0,2.0,0.0,135.2,2.0,16.0,10.14,11.95
2016,2016-11-06,27.291,20.0,33.0,60.61,187.0,1.0,0.0,86.3,2.0,18.0,5.67,6.27
2016,2017-01-01,27.346999999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-10-29,28.281999999999996,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,
2017,2017-11-05,28.289,1.0,1.0,100.0,35.0,0.0,0.0,118.7,1.0,8.0,35.0,35.0
2017,2017-11-26,28.31,3.0,3.0,100.0,21.0,0.0,0.0,95.8,0.0,0.0,7.0,7.0
2017,2017-12-10,28.324,6.0,10.0,60.0,42.0,0.0,0.0,69.6,1.0,7.0,4.2,4.2
2017,2017-12-17,28.331,24.0,38.0,63.16,237.0,4.0,0.0,115.8,1.0,4.0,6.24,8.34
2017,2017-12-25,28.339000000000002,19.0,38.0,50.0,163.0,1.0,1.0,59.4,2.0,25.0,4.29,3.63
2017,2017-12-31,28.345,4.0,11.0,36.36,39.0,0.0,1.0,9.3,0.0,0.0,3.55,-0.55
2018,2018-09-06,29.229,19.0,34.0,55.88,117.0,0.0,1.0,50.7,2.0,13.0,3.44,2.12
2018,2018-09-16,29.239,35.0,48.0,72.92,334.0,1.0,0.0,98.8,3.0,13.0,6.96,7.38
2018,2018-12-16,29.33,24.0,31.0,77.42,270.0,0.0,1.0,89.4,0.0,0.0,8.71,7.26
2018,2018-12-23,29.337,35.0,49.0,71.43,471.0,4.0,1.0,120.4,1.0,9.0,9.61,10.33
2018,2018-12-30,29.344,28.0,33.0,84.85,221.0,2.0,1.0,102.1,3.0,12.0,6.7,6.55
2019,2019-09-08,30.230999999999998,5.0,8.0,62.5,75.0,1.0,0.0,132.8,0.0,0.0,9.38,11.88
2019,2019-11-17,30.301,33.0,47.0,70.21,296.0,2.0,1.0,92.2,2.0,17.0,6.3,6.19
2019,2019-11-24,30.308000000000003,32.0,48.0,66.67,272.0,0.0,0.0,81.2,3.0,20.0,5.67,5.67
2019,2019-12-01,30.315,7.0,14.0,50.0,93.0,0.0,1.0,41.7,3.0,23.0,6.64,3.43
2020,2020-09-27,31.250999999999998,16.0,29.0,55.17,188.0,3.0,1.0,95.2,0.0,0.0,6.48,7.0
2020,2020-10-04,31.258000000000003,26.0,42.0,61.9,249.0,1.0,1.0,76.4,1.0,8.0,5.93,5.33
2020,2020-10-08,31.261999999999997,30.0,42.0,71.43,243.0,1.0,1.0,83.7,3.0,35.0,5.79,5.19
2020,2020-10-18,31.272,23.0,39.0,58.97,198.0,1.0,1.0,70.2,0.0,0.0,5.08,4.44
2020,2020-10-26,31.28,28.0,40.0,70.0,261.0,0.0,2.0,66.8,4.0,31.0,6.53,4.28
2020,2020-11-01,31.285999999999998,28.0,41.0,68.29,272.0,2.0,1.0,92.7,5.0,39.0,6.63,6.51
2020,2020-11-08,31.293000000000003,36.0,52.0,69.23,335.0,2.0,0.0,99.4,3.0,16.0,6.44,7.21
2020,2020-11-16,31.301,15.0,26.0,57.69,106.0,0.0,1.0,51.1,2.0,16.0,4.08,2.35
2020,2020-12-27,31.342,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0
